4001,-1
4002,-1
4003,-1
4004,0
4005,-1
4006,1
4007,-1
4008,-1
4009,-1
4010,-1
4011,0
4012,-1
4013,-1
4014,0
4015,-1
4016,1
4017,1
4018,-1
4019,1
4020,-1
4021,-1
4022,0
4023,1
4024,0
4025,-1
4026,0
4027,-1
4028,-1
4029,0
4030,-1
4031,1
4032,1
4033,0
4034,0
4035,-1
4036,1
4037,1
4038,-1
4039,0
4040,0
4041,0
4042,-1
4043,-1
4044,0
4045,-1
4046,0
4047,-1
4048,-1
4049,0
4050,0
4051,0
4052,-1
4053,-1
4054,1
4055,-1
4056,-1
4057,0
4058,-1
4059,0
4060,-1
4061,0
4062,0
4063,-1
4064,-1
4065,1
4066,0
4067,0
4068,0
4069,-1
4070,0
4071,-1
4072,0
4073,0
4074,-1
4075,0
4076,0
4077,0
4078,0
4079,0
4080,0
4081,1
4082,0
4083,-1
4084,-1
4085,-1
4086,-1
4087,0
4088,-1
4089,0
4090,1
4091,0
4092,-1
4093,1
4094,0
4095,-1
4096,0
4097,0
4098,-1
4099,-1
4100,0
4101,1
4102,-1
4103,0
4104,0
4105,1
4106,1
4107,0
4108,1
4109,0
4110,1
4111,0
4112,-1
4113,0
4114,0
4115,-1
4116,-1
4117,-1
4118,0
4119,-1
4120,0
4121,-1
4122,0
4123,-1
4124,1
4125,0
4126,1
4127,-1
4128,0
4129,0
4130,1
4131,-1
4132,0
4133,0
4134,0
4135,0
4136,0
4137,0
4138,0
4139,-1
4140,0
4141,0
4142,-1
4143,-1
4144,0
4145,1
4146,1
4147,0
4148,-1
4149,0
4150,1
4151,-1
4152,0
4153,0
4154,0
4155,-1
4156,1
4157,0
4158,-1
4159,-1
4160,1
4161,1
4162,-1
4163,0
4164,-1
4165,1
4166,-1
4167,1
4168,-1
4169,0
4170,1
4171,-1
4172,0
4173,-1
4174,0
4175,0
4176,-1
4177,-1
4178,-1
4179,-1
4180,-1
4181,0
4182,1
4183,0
4184,0
4185,-1
4186,-1
4187,-1
4188,-1
4189,0
4190,0
4191,-1
4192,-1
4193,-1
4194,0
4195,-1
4196,0
4197,0
4198,-1
4199,0
4200,0
4201,0
4202,1
4203,0
4204,-1
4205,0
4206,-1
4207,1
4208,0
4209,0
4210,0
4211,0
4212,-1
4213,0
4214,-1
4215,-1
4216,-1
4217,0
4218,1
4219,0
4220,1
4221,0
4222,-1
4223,0
4224,-1
4225,-1
4226,0
4227,0
4228,0
4229,1
4230,0
4231,0
4232,1
4233,1
4234,1
4235,0
4236,-1
4237,0
4238,-1
4239,0
4240,0
4241,1
4242,-1
4243,1
4244,-1
4245,1
4246,-1
4247,0
4248,0
4249,-1
4250,0
4251,1
4252,0
4253,-1
4254,0
4255,0
4256,-1
4257,0
4258,-1
4259,0
4260,1
4261,1
4262,-1
4263,0
4264,0
4265,-1
4266,0
