No,Payout,Rotation
4001,-2862,3475
4002,-1508,1208
4003,1146,817
4004,2916,2019
4005,-1875,1572
4006,2051,3031
4007,1018,1216
4008,-416,900
4009,1621,1628
4010,-2564,2064
4011,-611,927
4012,-1032,1039
4013,1261,1431
4014,-555,1616
4015,663,958
4016,-2089,1479
4017,-1280,731
4018,556,3466
4019,133,4459
4020,-1323,2408
4021,3861,6839
4022,-1269,1279
4023,-75,4580
4024,356,4286
4025,3033,5738
4026,93,3496
4027,-824,591
4028,-1052,1154
4029,5479,7871
4030,0,-
4031,-49,18
4032,62,3147
4033,-1777,1558
4034,-618,778
4035,-1407,2414
4036,2087,1339
4037,143,264
4038,-95,75
4039,-6,13
4040,0,-
4041,-488,730
4042,-73,210
4043,-1990,3913
4044,1890,7812
4045,-1150,2568
4046,167,5867
4047,801,4357
4048,-388,1046
4049,-540,4438
4050,-623,1247
4051,-2,3213
4052,871,5111
4053,-940,5386
4054,-1160,1940
4055,-193,164
4056,-535,594
4057,-53,266
4058,-1440,1389
4059,-281,213
4060,-547,755
4061,-148,136
4062,-587,1495
4063,0,-
4064,0,-
4065,-111,105
4066,0,-
4067,0,-
4068,0,-
4069,0,-
4070,316,1738
4071,0,-
4072,351,633
4073,-147,905
4074,-65,448
4075,99,337
4076,-523,1875
4077,1985,747
4078,-714,803
4079,-458,552
4080,1386,1415
4081,2699,139
4082,154,525
4083,-1583,1603
4084,-704,1060
4085,-1394,1166
4086,-916,604
4087,1401,4279
4088,-284,485
4089,-123,391
4090,34,1537
4091,-372,305
4092,601,4810
4093,-423,489
4094,2437,6872
4095,1516,1855
4096,-361,1252
4097,-389,560
4098,-299,771
4099,-94,72
4100,-207,3086
4101,0,-
4102,-775,535
4103,-624,1230
4104,-323,892
4105,-306,1284
4106,-274,379
4107,-509,4399
4108,90,6476
4109,-184,3237
4110,143,614
4111,51,425
4112,-379,606
4113,1263,2369
4114,-325,885
4115,-824,861
4116,27,2026
4117,716,3083
4118,-215,921
4119,185,3061
4120,-43,51
4121,114,238
4122,-374,243
4123,-1033,1121
4124,0,-
4125,-252,244
4126,0,-
4127,-874,1282
4128,-328,195
4129,-1410,3306
4130,-140,224
4131,0,-
4132,0,-
4133,-113,228
4134,-177,196
4135,0,-
4136,1450,243
4137,-1206,2496
4138,0,-
4139,-439,302
4140,-137,94
4141,0,-
4142,-247,187
4143,1419,500
4144,-822,1105
4145,-34,15
4146,-1236,1157
4147,-85,720
4148,-739,3003
4149,-1021,2294
4150,650,2924
4151,-21,9059
4152,95,1162
4153,134,3556
4154,-218,685
4155,804,6221
4156,-220,387
4157,330,3261
4158,1509,5605
4159,-1144,924
4160,-174,3328
4161,-480,816
4162,-1140,4702
4163,81,1711
4164,-1205,4652
4165,-964,2129
4166,-874,940
4167,305,4177
4168,-300,954
4169,2032,2196
4170,-497,4138
4171,375,1141
4172,-34,1407
4173,-292,1094
4174,-657,1016
4175,-10,3686
4176,-1413,6217
4177,-313,1221
4178,-147,2933
4179,-372,495
4180,-1166,3414
4181,1275,4472
4182,1369,3784
4183,-588,436
4184,2164,6501
4185,-247,457
4186,-589,1262
4187,-643,2733
4188,-582,3059
4189,-595,366
4190,225,3804
4191,-163,558
4192,51,503
4193,-1028,733
4194,-1320,2408
4195,-353,1799
4196,-69,2347
4197,-605,801
4198,-1017,3280
4199,-777,2463
4200,283,4899
4201,64,1363
4202,-589,489
4203,92,1609
4204,-207,1924
4205,2298,3705
4206,657,4979
4207,-99,307
4208,-350,832
4209,372,3643
4210,1498,2391
4211,2958,5101
4212,-71,2309
4213,-441,275
4214,2896,7417
4215,583,1941
4216,9,296
4217,2984,5697
4218,-293,182
4219,-275,555
4220,2163,4234
4221,-112,308
4222,85,872
4223,-415,1621
4224,-1270,2407
4225,247,1919
4226,-596,437
4227,803,2136
4228,-2118,2382
4229,2551,1303
4230,3224,2278
4231,-165,776
4232,-3158,2788
4233,-587,4449
4234,-1222,2074
4235,932,2562
4236,1946,4490
4237,-988,998
4238,-1101,2406
4239,-449,2534
4240,1183,1957
4241,-1200,3115
4242,1585,2843
4243,-2716,2841
4244,-992,2696
4245,375,901
4246,2100,1213
4247,-2814,4574
4248,-484,2164
4249,-1064,1314
4250,-1169,1577
4251,159,2542
4252,-854,1741
4253,-108,925
4254,-94,61
4255,-306,5527
4256,-257,160
4257,-221,2071
4258,658,1450
4259,-990,2013
4260,-187,1055
4261,0,776
4262,-741,1228
4263,-498,2265
4264,-1091,906
4265,4,2241
4266,-2030,2734
total,-18826,502575
