lotno,payout,rotation
4001,-5322,4670
4002,-1379,4814
4003,-963,2755
4004,1864,2918
4005,6011,3097
4006,-1068,3231
4007,4145,3463
4008,-944,1098
4009,1662,2602
4010,-1702,1052
4011,-3793,4675
4012,-53,842
4013,-175,1336
4014,-482,1274
4015,-436,1899
4016,-750,539
4017,3907,1044
4018,675,3649
4019,488,6902
4020,3295,6328
4021,2104,4297
4022,1547,5657
4023,1576,6881
4024,843,3896
4025,-1616,5287
4026,-1464,4604
4027,548,5143
4028,-1177,7066
4029,641,2206
4030,-1826,1862
4031,2079,6753
4032,-777,3352
4033,-3068,2129
4034,1332,2034
4035,-3170,4542
4036,-1166,2435
4037,-498,586
4038,-397,539
4039,414,641
4040,-314,757
4041,674,860
4042,-59,118
4043,5960,7464
4044,-1689,7375
4045,-391,7540
4046,1897,7135
4047,554,8007
4048,2241,8484
4049,-1934,5934
4050,1663,8127
4051,-2119,7163
4052,-1589,8203
4053,1707,7479
4054,-95,4333
4055,1974,4265
4056,-2287,4312
4057,-2139,3292
4058,-2533,3749
4059,1990,4060
4060,-1273,4691
4061,-2201,4136
4062,-1330,1434
4063,-1060,1532
4064,-371,1699
4065,-1000,832
4066,-1015,939
4067,694,3397
4068,-1334,1313
4069,-1392,2038
4070,-2568,2513
4071,-1134,4738
4072,-3312,4279
4073,-582,3583
4074,-735,1351
4075,2076,3094
4076,-77,177
4077,-734,2023
4078,-552,3552
4079,3217,2704
4080,-2770,4090
4081,327,2430
4082,698,3843
4083,-2081,2186
4084,-1705,5478
4085,-1866,1685
4086,2012,4593
4087,-1102,3787
4088,966,4752
4089,-1525,2625
4090,-849,2431
4091,-275,2603
4092,17,8326
4093,-889,1841
4094,-497,3854
4095,-417,2159
4096,188,1143
4097,-736,1062
4098,-575,914
4099,-126,1753
4100,-783,1559
4101,-1028,1453
4102,-1984,2809
4103,-692,3315
4104,1289,2724
4105,-501,3169
4106,-384,587
4107,-1161,4744
4108,2308,7958
4109,-747,5212
4110,-538,1365
4111,-391,850
4112,249,5923
4113,-222,138
4114,1287,5086
4115,-562,1157
4116,2789,8098
4117,-1349,1174
4118,197,3465
4119,1593,5500
4120,-456,2583
4121,-1137,2322
4122,-887,1112
4123,563,2342
4124,915,830
4125,3812,3202
4126,884,898
4127,-157,535
4128,-21,5456
4129,-251,1746
4130,-1487,2145
4131,-998,1402
4132,192,2266
4133,-1215,1677
4134,-644,3296
4135,373,4013
4136,-352,640
4137,-2192,5344
4138,192,761
4139,-157,3327
4140,-329,296
4141,-1332,2422
4142,-421,3219
4143,-975,1237
4144,-2120,3671
4145,-2546,2031
4146,-993,6529
4147,-275,2776
4148,-1892,2409
4149,-1921,3431
4150,79,6844
4151,-168,3100
4152,-1270,3441
4153,-174,744
4154,720,4503
4155,-1072,1900
4156,-1249,1553
4157,1345,4246
4158,1646,6312
4159,433,6600
4160,-341,3580
4161,-1736,3129
4162,-721,5138
4163,2171,6377
4164,-457,3248
4165,-576,1261
4166,1409,6002
4167,1162,2704
4168,-849,2110
4169,-877,4733
4170,414,1859
4171,-244,4142
4172,1771,4482
4173,-928,2571
4174,-17,3217
4175,-139,3673
4176,-515,4999
4177,544,2871
4178,2034,6266
4179,-759,1197
4180,2470,7024
4181,-560,3368
4182,-1151,4120
4183,-317,1715
4184,1573,5229
4185,-858,2483
4186,590,1867
4187,-824,1411
4188,-574,1667
4189,1124,7179
4190,-296,977
4191,1312,2326
4192,1330,4418
4193,3735,6718
4194,642,2326
4195,-1791,1862
4196,-1235,4397
4197,-1043,3557
4198,-678,1723
4199,-45,4426
4200,-893,6151
4201,-1803,3022
4202,-414,855
4203,2691,6447
4204,447,4230
4205,-247,666
4206,1957,4668
4207,-696,1187
4208,1088,3613
4209,-585,1636
4210,-176,7089
4211,897,4854
4212,-571,3661
4213,-732,2162
4214,1214,5950
4215,3621,4744
4216,1899,2538
4217,-356,2271
4218,2751,6269
4219,-1085,1666
4220,-177,3867
4221,-146,3630
4222,-728,1755
4223,-1158,4912
4224,-2567,5074
4225,-110,2743
4226,-1808,5328
4227,1827,1838
4228,-1937,3078
4229,749,2281
4230,-2255,3415
4231,7120,3809
4232,-378,1136
4233,-740,3178
4234,-1770,3281
4235,-3057,4073
4236,-1527,3822
4237,-3048,4587
4238,-1087,2101
4239,10509,2729
4240,-858,2328
4241,-599,3957
4242,-2355,2106
4243,-985,4689
4244,-1669,1885
4245,-5424,4911
4246,-3478,3448
4247,-164,2669
4248,-734,1138
4249,3126,4495
4250,-2450,1250
4251,2356,3463
4252,20,3061
4253,272,3870
4254,-937,883
4255,-1155,1658
4256,549,4050
4257,-347,3558
4258,-735,807
4259,2180,5234
4260,-537,4734
4261,-347,632
4262,-551,4922
4263,-779,1990
4264,-754,2801
4265,-749,1733
4266,-2047,2559
total,-45321,889281
