No,Payout,Rotation
4001,-1927,2266
4002,2931,1187
4003,5058,1005
4004,-1315,1161
4005,-1619,1179
4006,-2617,2170
4007,1877,1269
4008,-193,435
4009,-2232,1934
4010,-644,828
4011,-478,1684
4012,324,925
4013,-1339,1042
4014,1112,323
4015,-2320,1653
4016,1969,747
4017,-396,1119
4018,-474,1502
4019,3870,6899
4020,-1855,5526
4021,3808,8078
4022,595,7766
4023,-545,7405
4024,331,7818
4025,-2081,4238
4026,-1690,6787
4027,6485,8051
4028,-2508,4490
4029,-447,7772
4030,2548,5468
4031,-679,2677
4032,-803,2813
4033,20,2641
4034,-1535,1155
4035,-1810,1452
4036,-229,1978
4037,-109,660
4038,547,221
4039,-710,1200
4040,-918,1509
4041,-258,422
4042,666,365
4043,2080,4641
4044,1737,6925
4045,2221,5657
4046,437,3509
4047,235,4396
4048,1381,5965
4049,483,6959
4050,-255,5585
4051,2069,4837
4052,769,7607
4053,3585,7911
4054,162,1238
4055,2299,1866
4056,-42,813
4057,-757,1404
4058,-493,821
4059,298,1011
4060,-966,2899
4061,-251,2927
4062,-876,940
4063,-415,308
4064,513,707
4065,-59,384
4066,409,1828
4067,-286,511
4068,-643,482
4069,1341,1377
4070,-387,508
4071,-1578,2285
4072,1452,1809
4073,-1656,2167
4074,-344,380
4075,-678,1065
4076,375,1232
4077,-136,96
4078,-1453,1838
4079,-2170,3122
4080,-723,2187
4081,-1238,1924
4082,-400,1017
4083,-746,2828
4084,-1872,4959
4085,-653,2130
4086,-21,2274
4087,-599,778
4088,353,1298
4089,462,1040
4090,494,2007
4091,558,3914
4092,-186,2491
4093,-784,1672
4094,238,2719
4095,-426,250
4096,-510,1511
4097,-27,364
4098,-1105,2689
4099,-201,106
4100,-213,116
4101,-329,223
4102,-317,386
4103,-369,804
4104,1358,3537
4105,525,761
4106,62,578
4107,250,7050
4108,-2142,3446
4109,-703,6437
4110,46,1344
4111,-863,905
4112,133,7769
4113,-1116,5404
4114,625,690
4115,1863,8345
4116,-99,1219
4117,1302,6453
4118,-577,2110
4119,797,8266
4120,-373,224
4121,-159,1069
4122,-410,611
4123,884,2577
4124,0,-
4125,-516,1689
4126,-93,214
4127,-523,580
4128,2072,3081
4129,1426,1979
4130,1166,3921
4131,592,450
4132,-356,5638
4133,-387,450
4134,-923,951
4135,496,3808
4136,0,-
4137,3740,5177
4138,2256,1417
4139,-738,1358
4140,-796,1391
4141,-1069,1067
4142,-753,1308
4143,344,1030
4144,-1567,1309
4145,-442,1203
4146,-1008,2232
4147,-3193,3496
4148,-475,3495
4149,-772,2758
4150,1755,5888
4151,-1473,1433
4152,-691,2609
4153,-227,5408
4154,-345,1726
4155,3770,8543
4156,-619,606
4157,260,3536
4158,1200,4761
4159,2195,5468
4160,-700,743
4161,1674,6344
4162,-1960,4843
4163,1081,5897
4164,-185,4118
4165,336,4429
4166,-1862,2591
4167,1601,7719
4168,302,1719
4169,473,5022
4170,-572,631
4171,2013,5355
4172,-536,2235
4173,-310,1471
4174,543,4816
4175,537,2003
4176,-281,6050
4177,1020,5719
4178,3810,5966
4179,-519,334
4180,3403,8557
4181,282,1534
4182,-13,3708
4183,312,3019
4184,3333,7240
4185,-475,3300
4186,-145,1853
4187,-155,3895
4188,-716,1623
4189,-259,2066
4190,-1223,2856
4191,9,3110
4192,134,765
4193,287,5970
4194,-772,1268
4195,-405,4522
4196,985,5696
4197,-697,799
4198,-831,1658
4199,928,5507
4200,-1474,1534
4201,-412,5683
4202,-1231,5339
4203,993,1987
4204,-1534,3203
4205,10,4425
4206,-94,276
4207,193,3124
4208,-2225,3797
4209,3589,5595
4210,-1853,5070
4211,-184,2496
4212,-1741,3110
4213,216,4277
4214,-124,546
4215,-925,2331
4216,-430,1232
4217,319,1837
4218,-814,1983
4219,-340,2583
4220,816,5064
4221,-775,624
4222,-1065,2836
4223,-1013,1570
4224,1323,3038
4225,-1355,1409
4226,9033,2159
4227,652,678
4228,2373,2308
4229,-2197,1562
4230,1101,651
4231,785,3496
4232,6223,1329
4233,1100,2618
4234,-3465,3341
4235,1780,1810
4236,2513,4715
4237,351,2260
4238,-7,3236
4239,656,1585
4240,-866,3105
4241,-996,2817
4242,-979,2717
4243,-1427,1264
4244,-1900,2983
4245,8793,3965
4246,850,3075
4247,-1522,2238
4248,1253,5077
4249,1170,4747
4250,2444,2213
4251,5463,5045
4252,-628,3057
4253,-397,1236
4254,-755,1904
4255,411,1830
4256,-1524,3379
4257,-554,1104
4258,-823,2068
4259,531,1739
4260,-802,7135
4261,-456,757
4262,-1215,1952
4263,287,3787
4264,-2072,3491
4265,-705,1348
4266,-1165,4166
total,29537,748159
