No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-234,133,-,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,0,-,-,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-886,1204,4,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,0,-,-,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-37,18,-,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1173,1025,3,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-562,296,-,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-47,19,-,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-422,224,-,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-187,81,-,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-6,169,1,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-57,26,-,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-284,151,-,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-157,736,1,2
4020,魔法少女まどか☆ﾏｷﾞｶ,-1080,958,2,1
4021,魔法少女まどか☆ﾏｷﾞｶ,0,-,-,-
4022,魔法少女まどか☆ﾏｷﾞｶ,-383,836,2,3
4023,魔法少女まどか☆ﾏｷﾞｶ,0,-,-,-
4024,魔法少女まどか☆ﾏｷﾞｶ,0,-,-,-
4025,魔法少女まどか☆ﾏｷﾞｶ,0,-,-,-
4026,魔法少女まどか☆ﾏｷﾞｶ,0,-,-,-
4027,魔法少女まどか☆ﾏｷﾞｶ,-512,451,2,-
4028,魔法少女まどか☆ﾏｷﾞｶ,-28,14,-,-
4029,魔法少女まどか☆ﾏｷﾞｶ,-1080,1251,4,2
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-327,316,-,1
4031,SLOT魔法少女まどかﾏｷﾞｶ2,0,-,-,-
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-414,1077,4,2
4033,SLOT魔法少女まどかﾏｷﾞｶ2,1413,1537,9,6
4034,SLOT魔法少女まどかﾏｷﾞｶ2,0,-,-,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-830,1503,5,3
4036,花の慶次~天を穿つ戦槍~,-116,91,-,-
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,0,-,-,-
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,0,-,-,-
4039,ﾊﾟﾁｽﾛ北斗　転生の章,2226,192,18,2
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-20,14,-,-
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-526,343,-,-
4042,ﾊﾟﾁｽﾛ北斗　転生の章,184,56,2,1
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-184,499,2,2
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-707,1053,5,4
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-428,280,1,-
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-235,189,1,-
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1843,1475,23,18
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-35,25,-,-
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,212,1524,19,9
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-296,245,2,-
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-347,264,1,-
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,22,132,1,1
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,816,1592,16,10
4054,押忍!番長3,-357,353,-,-
4055,押忍!番長3,0,-,-,-
4056,押忍!番長3,0,-,-,-
4057,押忍!番長3,0,-,-,-
4058,押忍!番長3,0,-,-,-
4059,押忍!番長3,0,-,-,-
4060,押忍!番長3,-1588,1663,4,-
4061,押忍!番長3,0,-,-,-
4062,押忍!番長3,0,-,-,-
4063,地獄少女 宵伽,0,-,-,-
4064,地獄少女 宵伽,0,-,-,-
4065,地獄少女 宵伽,0,-,-,-
4066,地獄少女 宵伽,0,-,-,-
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,203,391,2,3
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,0,-,-,-
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,0,-,-,-
