lotno,payout,rotation
4001,-742,2353
4002,-854,473
4003,-1028,1453
4004,-124,69
4005,-1772,2469
4006,301,1684
4007,-517,251
4008,-233,126
4009,-531,989
4010,-271,152
4011,2197,1013
4012,-94,41
4013,-281,746
4014,-2113,1190
4015,2415,562
4016,7508,778
4017,-70,164
4018,-884,1713
4019,-175,4288
4020,3509,6912
4021,94,1478
4022,8107,7648
4023,-1129,3076
4024,2197,6704
4025,-650,3411
4026,7874,6787
4027,-4307,3442
4028,455,4705
4029,536,3065
4030,-1078,2995
4031,-1116,1806
4032,-371,300
4033,-673,814
4034,-553,1101
4035,37,719
4036,-674,1362
4037,-45,31
4038,0,-
4039,-356,813
4040,831,382
4041,0,-
4042,0,-
4043,-1637,6193
4044,1074,2811
4045,-551,3016
4046,2521,8960
4047,-1362,2488
4048,-1821,4324
4049,1040,8535
4050,-192,2648
4051,-1108,2266
4052,1460,6355
4053,321,3664
4054,-2411,3394
4055,-482,857
4056,89,769
4057,-369,404
4058,-203,378
4059,1912,2692
4060,-464,336
4061,-519,6405
4062,-362,308
4063,0,-
4064,-662,658
4065,-329,386
4066,608,190
4067,-1277,1425
4068,-277,369
4069,-744,1597
4070,831,3079
4071,-246,501
4072,-237,835
4073,354,1816
4074,167,545
4075,-574,768
4076,-46,199
4077,-49,45
4078,-1560,2698
4079,1246,2182
4080,11445,1281
4081,-838,1053
4082,-972,1432
4083,-1173,1012
4084,1418,1074
4085,-582,484
4086,-2156,1962
4087,1096,3592
4088,585,1080
4089,-413,319
4090,-997,1842
4091,2218,4077
4092,121,1930
4093,-365,789
4094,422,2951
4095,-157,1432
4096,-524,1538
4097,1162,3961
4098,482,1252
4099,7341,5404
4100,0,-
4101,540,2717
4102,-752,546
4103,1291,2466
4104,151,5133
4105,-311,595
4106,-836,984
4107,-372,3810
4108,-1662,3826
4109,2897,8119
4110,-311,181
4111,-374,319
4112,319,2060
4113,-405,270
4114,310,2849
4115,-517,486
4116,-263,909
4117,394,1710
4118,51,771
4119,-1559,3823
4120,-262,183
4121,-1764,3106
4122,385,1887
4123,0,-
4124,2630,2876
4125,2540,1930
4126,708,497
4127,-143,914
4128,-2280,2974
4129,-731,1890
4130,-603,1964
4131,-1459,1998
4132,870,1273
4133,2076,956
4134,-102,2208
4135,-282,181
4136,1432,851
4137,-534,4845
4138,-195,302
4139,1890,1573
4140,-763,620
4141,-1211,1546
4142,696,714
4143,-67,72
4144,526,2512
4145,-223,995
4146,-994,1437
4147,490,2452
4148,-602,883
4149,947,3661
4150,-626,3102
4151,-383,1150
4152,-401,4489
4153,-301,1135
4154,1385,5764
4155,-515,677
4156,1000,4154
4157,412,2881
4158,-418,1165
4159,-331,3135
4160,-1321,1692
4161,-970,2876
4162,379,4809
4163,917,2830
4164,-1308,3564
4165,407,1101
4166,-875,3181
4167,-176,1919
4168,3095,6420
4169,-563,1292
4170,-842,2046
4171,-255,2463
4172,-797,1801
4173,-727,1086
4174,-474,692
4175,-807,4714
4176,-601,1663
4177,230,5371
4178,-207,3141
4179,615,1982
4180,-776,1235
4181,-442,4206
4182,89,3137
4183,-390,2651
4184,-279,646
4185,4,5527
4186,-148,416
4187,-431,1056
4188,1659,5493
4189,246,472
4190,1582,5812
4191,-97,380
4192,-53,1395
4193,457,3998
4194,-66,4117
4195,-632,543
4196,-1045,2339
4197,1264,3396
4198,-191,206
4199,1411,7177
4200,-47,1148
4201,50,5072
4202,538,6198
4203,-204,766
4204,55,3099
4205,-115,2627
4206,-367,290
4207,642,3006
4208,-116,2753
4209,-25,1164
4210,252,659
4211,336,1009
4212,-1703,1709
4213,2015,3811
4214,727,4724
4215,1158,4785
4216,-353,200
4217,-161,693
4218,-430,2430
4219,-405,302
4220,-492,2112
4221,12,1843
4222,-688,614
4223,-379,941
4224,695,3228
4225,-811,2285
4226,-1360,805
4227,-1090,595
4228,-529,1954
4229,-154,1280
4230,-761,1304
4231,-1785,1285
4232,1162,1464
4233,-673,756
4234,-2340,2745
4235,-1971,1431
4236,2022,2715
4237,-970,1034
4238,-395,2834
4239,-1205,844
4240,-2700,1966
4241,-858,4055
4242,-943,722
4243,-999,1758
4244,3620,964
4245,-2847,2729
4246,-528,743
4247,-835,4751
4248,-458,222
4249,4966,3350
4250,-1049,623
4251,-920,1277
4252,2433,6406
4253,-190,121
4254,-2280,3484
4255,-529,756
4256,-906,1621
4257,-848,577
4258,-606,664
4259,-1698,4471
4260,-458,390
4261,195,1076
4262,1616,5216
4263,-1122,2270
4264,336,1444
4265,221,3104
4266,1031,3085
total,10723,562356
