No,Payout,Rotation,Big,Reg
4001,-1388,1153,2,-
4002,1267,1855,6,-
4003,51,179,1,-
4004,-2533,2572,6,-
4005,-848,988,3,-
4006,-1372,943,2,-
4007,352,892,8,1
4008,-747,679,2,-
4009,800,805,8,-
4010,-696,653,2,-
4011,1659,144,6,1
4012,1282,2497,20,-
4013,177,242,2,-
4014,929,992,10,1
4015,-1460,900,1,-
4016,-1286,788,1,-
4017,-2022,1071,1,-
4018,6501,668,27,-
4019,1023,6341,11,16
4020,-1785,4210,10,9
4021,187,6637,26,14
4022,1278,4273,13,6
4023,-941,1118,2,2
4024,-262,6340,15,13
4025,-321,2784,7,7
4026,347,2510,5,2
4027,6794,6602,16,12
4028,-2124,4198,11,7
4029,1652,3942,16,17
4030,-39,1222,2,2
4031,-398,3169,13,10
4032,-433,354,1,-
4033,-1312,6044,18,16
4034,-175,429,2,2
4035,-116,84,-,-
4036,-305,705,2,2
4037,0,-,-,-
4038,-280,924,1,6
4039,-1068,833,3,1
4040,82,2027,26,6
4041,371,778,13,4
4042,-300,1266,14,3
4043,-496,7087,47,24
4044,-1851,2461,15,3
4045,-886,6492,41,24
4046,316,3574,28,19
4047,4371,4703,42,31
4048,-381,7205,59,29
4049,978,2275,13,11
4050,-899,6571,47,27
4051,2909,4836,58,39
4052,-349,7090,47,25
4053,13,2346,21,13
4054,-691,1609,10,-
4055,-698,1522,7,2
4056,-182,1310,9,2
4057,-153,139,-,-
4058,2980,1499,42,5
4059,-1987,2026,3,1
4060,-523,1147,9,-
4061,-447,299,-,-
4062,-694,689,2,-
4063,-121,93,-,-
4064,-47,42,-,-
4065,0,-,-,-
4066,-319,254,-,-
4067,-141,154,1,-
4068,1082,1464,7,14
4069,1272,2955,14,21
4070,1609,5206,30,29
4071,-753,1014,2,-
4072,1407,103,18,-
4073,0,-,-,-
4074,-1037,1697,7,6
4075,-5,1278,13,2
4076,-387,323,-,-
4077,-1141,2183,9,6
4078,654,4025,43,5
4079,3616,583,47,-
4080,7384,2122,88,5
4081,-1305,1531,2,-
4082,-296,257,1,-
4083,-105,537,6,-
4084,-1024,1406,8,-
4085,-95,675,6,-
4086,1308,3547,50,-
4087,521,3029,12,8
4088,-123,443,1,1
4089,-1952,1908,1,4
4090,-52,864,3,2
4091,-11,944,3,2
4092,-139,388,1,1
4093,-376,477,1,-
4094,499,2192,8,7
4095,15,956,4,1
4096,-325,183,-,-
4097,298,1426,2,5
4098,-351,200,-,-
4099,0,-,-,-
4100,-94,45,-,-
4101,0,-,-,-
4102,2694,3868,23,28
4103,-355,414,1,-
4104,-182,347,1,-
4105,85,161,1,-
4106,-923,2925,9,7
4107,-272,2061,8,3
4108,917,5745,24,22
4109,-242,251,-,1
4110,-368,1487,5,3
4111,-824,1578,2,7
4112,-140,74,-,-
4113,102,1138,4,3
4114,-26,302,1,1
4115,1102,1645,9,2
4116,-123,177,-,1
4117,472,1940,7,7
4118,-757,2136,4,6
4119,123,2736,16,5
4120,-355,202,-,-
4121,4124,5883,39,23
4122,-401,706,3,1
4123,-139,120,-,-
4124,260,1257,12,5
4125,-187,179,-,-
4126,594,646,6,2
4127,-107,209,-,1
4128,-18,303,2,2
4129,0,-,-,-
4130,1784,6662,19,18
4131,-95,50,-,-
4132,102,442,2,1
4133,-235,158,-,-
4134,3182,1694,27,7
4135,0,-,-,-
4136,544,2781,29,14
4137,-448,447,-,1
4138,0,-,-,-
4139,0,-,-,-
4140,-52,318,1,-
4141,-275,482,2,1
4142,-251,309,2,-
4143,5761,773,94,2
4144,-367,253,-,-
4145,-124,91,-,-
4146,181,2389,10,11
4147,-659,1153,9,7
4148,-24,16,-,-
4149,-401,5287,17,15
4150,-1228,2842,7,5
4151,-765,2964,9,7
4152,-1079,2519,7,3
4153,-1153,2682,6,7
4154,-1493,1693,2,2
4155,2137,5844,25,21
4156,-2236,2235,1,7
4157,-997,1671,3,3
4158,-1210,2192,5,3
4159,1154,1515,11,-
4160,-1331,2005,3,3
4161,647,6005,24,18
4162,872,2918,14,6
4163,211,3041,11,10
4164,42,2067,8,4
4165,800,6177,21,26
4166,-660,3565,11,10
4167,-523,768,1,3
4168,-1778,2296,5,1
4169,-232,1444,5,3
4170,-190,2384,10,2
4171,-368,1142,4,1
4172,-22,2711,11,5
4173,-691,946,2,-
4174,-774,1434,3,4
4175,638,4204,19,9
4176,750,4521,20,8
4177,-1063,1932,3,7
4178,224,1742,7,3
4179,-597,427,-,1
4180,-1203,4557,12,14
4181,-411,793,2,1
4182,-663,1459,4,1
4183,-577,1902,5,6
4184,-820,1052,2,-
4185,-525,2180,5,9
4186,-357,446,1,-
4187,273,1172,5,3
4188,-918,2859,6,12
4189,-1091,1374,2,2
4190,595,1682,9,7
4191,2,1469,6,3
4192,66,660,3,1
4193,1826,2342,14,4
4194,-495,1055,2,5
4195,-832,1547,3,6
4196,-469,3025,9,13
4197,-29,1641,6,4
4198,2064,5965,22,30
4199,680,4251,16,17
4200,1818,3733,17,14
4201,-914,1381,3,6
4202,-1811,4430,11,13
4203,-1298,2147,4,7
4204,343,5090,21,14
4205,-301,207,-,-
4206,-1040,3727,11,9
4207,265,2000,8,9
4208,-421,549,1,1
4209,499,2060,9,7
4210,-458,3906,12,15
4211,-731,1193,1,6
4212,-173,1857,7,4
4213,68,4780,18,15
4214,-370,1170,4,1
4215,-10,1108,5,1
4216,-111,468,2,-
4217,1755,3018,17,9
4218,-74,532,2,2
4219,3893,6796,34,31
4220,-331,379,-,2
4221,-611,5506,17,23
4222,-771,1532,4,3
4223,218,2020,9,5
4224,-1171,3274,23,6
4225,-3558,3110,12,4
4226,-14,3142,24,10
4227,-2115,1446,3,2
4228,-1090,1217,5,3
4229,-161,2446,14,14
4230,568,1621,16,4
4231,-942,949,5,-
4232,-1002,2060,15,2
4233,1992,1487,20,6
4234,-1046,2270,14,5
4235,-1911,3678,20,11
4236,-1347,725,1,-
4237,-3610,2248,3,4
4238,159,1729,17,2
4239,-722,1742,10,6
4240,1746,1228,17,5
4241,2255,2317,24,14
4242,-1035,954,4,1
4243,-2840,2102,6,2
4244,329,2097,20,4
4245,1356,1918,21,6
4246,106,1473,14,1
4247,1017,824,9,6
4248,9266,4250,66,28
4249,1992,2424,22,17
4250,-198,901,6,3
4251,-711,1996,11,7
4252,-257,963,3,1
4253,-818,1048,2,1
4254,-586,2120,6,8
4255,-174,386,1,-
4256,393,4324,16,15
4257,-585,473,-,1
4258,-762,922,1,2
4259,115,3626,13,12
4260,1287,2885,14,7
4261,-484,966,3,1
4262,-669,2516,6,11
4263,-546,515,-,2
4264,-983,807,1,-
4265,-1141,2026,4,4
4266,125,2825,10,9
total,4877,516926,-,-
