No,Payout,Rotation
4001,2899,1438
4002,-1163,947
4003,-3270,2703
4004,-1896,1862
4005,-290,327
4006,-806,1605
4007,-706,1011
4008,1835,2217
4009,-1201,785
4010,-325,313
4011,842,3809
4012,-3617,2762
4013,-470,231
4014,-2023,3056
4015,-821,2249
4016,-1669,1152
4017,-652,3606
4018,-3758,3461
4019,-1974,2359
4020,4844,4799
4021,1691,1995
4022,2175,5451
4023,-1038,1129
4024,-3113,6262
4025,377,2301
4026,-1983,3431
4027,-2017,3878
4028,3905,6727
4029,1178,1029
4030,593,5687
4031,-437,397
4032,563,2178
4033,-1595,1173
4034,-1252,1857
4035,-1550,2095
4036,1007,2062
4037,2677,640
4038,-401,357
4039,-1088,1594
4040,-420,422
4041,-1592,1648
4042,-133,208
4043,-2115,5647
4044,6,2900
4045,1596,2443
4046,666,4190
4047,-167,614
4048,-1718,7069
4049,-557,3723
4050,242,2314
4051,-34,3146
4052,-974,5510
4053,2331,6000
4054,-19,769
4055,1833,3075
4056,-158,130
4057,5739,3796
4058,-132,117
4059,-265,653
4060,618,708
4061,-680,1515
4062,3216,1342
4063,-473,542
4064,-970,980
4065,-238,895
4066,-515,693
4067,-360,1014
4068,-309,212
4069,-413,577
4070,-231,1016
4071,-228,1632
4072,-153,724
4073,264,594
4074,2189,388
4075,-372,423
4076,-878,1099
4077,-109,93
4078,63,738
4079,2375,5420
4080,2732,1083
4081,4872,2200
4082,-284,5159
4083,-210,127
4084,-652,1471
4085,-1981,2182
4086,-585,1297
4087,-691,1079
4088,-282,191
4089,488,803
4090,-163,1183
4091,-878,2194
4092,474,1246
4093,369,1737
4094,-546,506
4095,-96,514
4096,38,1100
4097,-180,681
4098,-153,366
4099,-145,2017
4100,-75,57
4101,-637,837
4102,-280,288
4103,-1324,4040
4104,1203,1676
4105,-44,387
4106,-81,703
4107,1340,3410
4108,-95,682
4109,-474,5913
4110,-350,254
4111,164,1191
4112,-80,565
4113,-76,1123
4114,-347,941
4115,-252,862
4116,1221,5494
4117,-604,846
4118,538,2019
4119,245,550
4120,-166,244
4121,-715,457
4122,540,522
4123,-218,720
4124,41,1219
4125,-371,1310
4126,-781,2548
4127,-360,1417
4128,3424,4255
4129,-2029,2102
4130,-265,2403
4131,-1092,1483
4132,29,585
4133,593,732
4134,0,-
4135,-1111,1491
4136,-187,98
4137,-474,1761
4138,-387,335
4139,-127,79
4140,1143,1822
4141,0,-
4142,77,1072
4143,-142,116
4144,2605,4211
4145,-187,159
4146,-953,1402
4147,121,1097
4148,-487,1386
4149,-214,4660
4150,-798,2950
4151,3385,5925
4152,-426,1154
4153,-979,5351
4154,-890,1182
4155,-591,798
4156,394,6822
4157,-383,1349
4158,-671,1364
4159,-385,2348
4160,-307,2345
4161,-1197,6056
4162,-1021,2729
4163,-273,2588
4164,350,3474
4165,-983,1884
4166,928,4690
4167,-266,627
4168,-1015,1583
4169,-537,442
4170,-917,3720
4171,819,2107
4172,-205,2923
4173,-259,1507
4174,-990,5552
4175,-620,1334
4176,-221,4649
4177,-105,2967
4178,-839,1705
4179,-2622,2966
4180,-461,2243
4181,1537,5970
4182,-67,3759
4183,-503,1293
4184,-872,2182
4185,-729,1078
4186,-7,247
4187,384,3928
4188,311,991
4189,-640,445
4190,-153,2105
4191,-641,1524
4192,2421,3284
4193,-311,424
4194,-833,1742
4195,-206,4300
4196,-184,454
4197,-247,1865
4198,1771,2637
4199,2000,5142
4200,-1580,1553
4201,-1764,4748
4202,1617,3822
4203,-478,327
4204,207,4059
4205,-453,338
4206,1020,2893
4207,-308,499
4208,626,4424
4209,159,1160
4210,-903,4375
4211,-237,429
4212,630,6157
4213,-495,1797
4214,240,4337
4215,-165,306
4216,-840,2624
4217,-363,960
4218,-610,1122
4219,-561,1033
4220,1512,5810
4221,-781,1293
4222,-739,722
4223,-124,1619
4224,932,1598
4225,2489,3297
4226,-886,870
4227,-768,3382
4228,278,960
4229,1929,1276
4230,-739,701
4231,-1033,1517
4232,-5171,4747
4233,1186,2436
4234,-5050,5345
4235,-5729,3783
4236,-1185,1530
4237,92,2613
4238,-215,2966
4239,-2848,3467
4240,-545,249
4241,4406,2782
4242,-177,271
4243,-269,629
4244,3798,3298
4245,-3650,2747
4246,1185,3396
4247,-406,419
4248,1632,721
4249,-1306,2122
4250,-908,1662
4251,-240,2646
4252,-758,2999
4253,-414,1933
4254,1225,3484
4255,-413,1037
4256,-1087,1403
4257,-18,4802
4258,873,1076
4259,-647,1151
4260,-579,797
4261,1684,2922
4262,-172,137
4263,4920,6709
4264,-1055,4070
4265,1795,6115
4266,-630,611
total,-29096,552361
