No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1155,4805,24,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-468,413,1,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1811,2344,8,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-943,1075,3,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-958,2181,9,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1469,2656,14,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-4646,2686,2,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3289,944,17,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-94,47,-,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,343,213,3,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,8047,1614,37,2
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-372,573,3,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1621,1751,6,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2213,1502,2,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-545,268,-,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-734,4144,26,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,440,93,2,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,5444,2279,33,-
4019,魔法少女まどか☆ﾏｷﾞｶ,3779,3018,11,3
4020,魔法少女まどか☆ﾏｷﾞｶ,-446,512,1,2
4021,魔法少女まどか☆ﾏｷﾞｶ,859,1950,3,5
4022,魔法少女まどか☆ﾏｷﾞｶ,-794,1236,3,-
4023,魔法少女まどか☆ﾏｷﾞｶ,3305,3634,12,5
4024,魔法少女まどか☆ﾏｷﾞｶ,64,2620,9,3
4025,魔法少女まどか☆ﾏｷﾞｶ,-4260,4635,6,11
4026,魔法少女まどか☆ﾏｷﾞｶ,-1474,1585,4,2
4027,魔法少女まどか☆ﾏｷﾞｶ,705,5155,16,15
4028,魔法少女まどか☆ﾏｷﾞｶ,-536,620,1,1
4029,魔法少女まどか☆ﾏｷﾞｶ,-1034,3837,7,9
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-200,111,-,-
4031,SLOT魔法少女まどかﾏｷﾞｶ2,6649,9140,31,35
4032,SLOT魔法少女まどかﾏｷﾞｶ2,0,-,-,-
4033,SLOT魔法少女まどかﾏｷﾞｶ2,2903,4209,17,16
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-32,35,-,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,1705,2263,12,12
4036,花の慶次~天を穿つ戦槍~,-392,1867,11,3
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-716,925,4,3
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-327,371,-,1
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-2425,1876,6,3
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-314,1169,12,3
4041,ﾊﾟﾁｽﾛ北斗　転生の章,683,761,13,1
4042,ﾊﾟﾁｽﾛ北斗　転生の章,878,3465,52,15
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-168,3749,32,11
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,5855,5514,51,43
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,820,6487,55,33
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2462,2854,15,3
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1256,7413,61,38
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1648,4026,34,22
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,423,4228,33,24
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,93,7092,48,32
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2464,2520,13,5
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-838,3906,30,17
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-674,3371,21,9
4054,押忍!番長3,-1322,2052,11,-
4055,押忍!番長3,-747,764,1,-
4056,押忍!番長3,-1119,4157,31,5
4057,押忍!番長3,-1653,2556,13,1
4058,押忍!番長3,-675,676,3,-
4059,押忍!番長3,-925,3022,26,2
4060,押忍!番長3,-276,668,4,-
4061,押忍!番長3,113,3534,34,8
4062,押忍!番長3,-2098,1653,1,-
4063,地獄少女 宵伽,-127,110,-,-
4064,地獄少女 宵伽,-1084,1126,2,-
4065,地獄少女 宵伽,-66,40,-,-
4066,地獄少女 宵伽,-684,1644,6,-
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-140,61,-,-
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,2442,3387,16,33
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-431,321,1,-
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,3034,5603,34,41
4071,GI優駿倶楽部,-114,473,6,-
4072,GI優駿倶楽部,-552,1113,5,-
4073,GI優駿倶楽部,-312,404,1,-
4074,GI優駿倶楽部,648,782,11,-
4075,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-405,308,-,-
4076,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-130,104,-,-
4077,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,3202,605,43,2
4078,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-78,98,-,-
4079,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-1336,1188,1,-
4080,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-918,2023,10,1
4081,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-423,1937,24,2
4082,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-180,2480,23,3
4083,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-245,130,-,-
4084,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-2439,2624,15,-
4085,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-263,157,-,-
4086,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,773,727,12,-
4087,ﾆｭｰﾊﾟﾙｻｰSPII,-543,909,2,2
4088,ﾆｭｰﾊﾟﾙｻｰSPII,290,1187,5,4
4089,ﾆｭｰﾊﾟﾙｻｰSPII,-228,148,-,-
4090,ﾆｭｰﾊﾟﾙｻｰSPII,-618,1156,1,4
