No,Payout,Rotation,Big,Reg
4001,6050,3588,21,-
4002,-2306,1868,3,-
4003,1212,3017,12,-
4004,4094,1745,8,-
4005,3859,2504,10,-
4006,-1281,3870,22,1
4007,-3083,3430,15,1
4008,-2315,3937,17,1
4009,279,2667,19,1
4010,3481,3559,37,2
4011,-1567,2716,14,1
4012,-3146,3319,12,-
4013,3469,4511,40,-
4014,-4095,3360,9,-
4015,-874,3490,21,2
4016,2082,1840,21,2
4017,-5089,5174,19,-
4018,1265,3371,28,1
4019,-2879,5922,14,10
4020,1506,4687,15,9
4021,-2193,6374,19,13
4022,-1009,4725,9,6
4023,2292,6317,19,10
4024,10002,6934,22,9
4025,612,4386,8,9
4026,2344,6869,19,19
4027,-430,5766,28,10
4028,1728,5621,16,11
4029,-2355,1878,3,1
4030,2100,5430,22,20
4031,-325,1912,6,3
4032,3676,8707,25,26
4033,-418,1030,5,1
4034,-394,1661,7,4
4035,-732,1026,2,1
4036,-1472,3449,16,10
4037,-1451,3470,14,14
4038,-843,1940,9,6
4039,-1124,4859,54,13
4040,-4640,4030,18,9
4041,3887,4483,88,21
4042,889,5104,66,9
4043,-2131,6371,45,23
4044,3830,6955,60,38
4045,2950,8615,69,46
4046,2414,7592,65,37
4047,-2313,3913,20,8
4048,-2551,4382,27,11
4049,2305,6940,50,27
4050,-401,7099,56,42
4051,-3629,8115,54,26
4052,282,8321,58,41
4053,8014,8085,65,46
4054,2053,4209,62,6
4055,-441,3576,33,4
4056,1875,4868,59,14
4057,6271,3494,79,21
4058,-903,3105,23,2
4059,995,4771,63,9
4060,1024,3649,45,6
4061,-1796,3189,16,1
4062,-1642,5213,37,4
4063,1325,2654,11,-
4064,-1087,1101,2,-
4065,564,1303,5,-
4066,-1166,1572,3,-
4067,3282,3741,15,38
4068,-1336,1311,3,3
4069,-1183,1034,3,1
4070,1197,7234,32,50
4071,-276,2237,12,-
4072,-1269,2313,14,-
4073,-1380,2796,15,-
4074,-880,1267,4,4
4075,5693,1978,85,10
4076,-643,2237,17,4
4077,-1238,2301,14,4
4078,8366,2096,101,8
4079,5808,3059,86,7
4080,1868,4248,62,2
4081,-3095,4533,16,2
4082,-879,3889,34,-
4083,2491,5529,76,-
4084,-2087,1491,4,-
4085,-1708,1523,7,-
4086,953,4043,52,-
4087,83,5304,19,15
4088,-922,2588,7,6
4089,2142,5502,26,19
4090,-536,3849,13,9
4091,631,1305,7,1
4092,644,7476,26,22
4093,-452,1183,3,2
4094,263,6745,23,16
4095,1177,2596,11,6
4096,-1078,716,-,-
4097,97,2915,10,5
4098,-470,577,1,-
4099,-1322,1984,8,5
4100,-1129,1560,6,1
4101,-1099,1574,8,3
4102,352,5735,24,27
4103,-840,2977,8,8
4104,-816,2193,5,6
4105,-413,681,2,-
4106,165,4973,19,12
4107,-1136,2632,7,6
4108,-1613,7821,18,35
4109,-37,422,2,-
4110,477,1264,7,1
4111,-840,1095,2,2
4112,-1186,1527,2,2
4113,-1265,3172,8,6
4114,-130,1573,5,4
4115,1049,6825,22,22
4116,-1619,2546,3,10
4117,-485,3063,9,5
4118,4,2755,7,3
4119,-2092,3039,10,1
4120,-1130,2823,8,9
4121,-918,1686,8,5
4122,982,2351,25,9
4123,-1289,1532,-,3
4124,-1518,3226,12,4
4125,-1109,2300,10,4
4126,-270,798,4,2
4127,-1058,2468,3,15
4128,-985,3193,15,15
4129,-1037,1579,6,3
4130,-613,6350,18,15
4131,403,4116,34,4
4132,-585,738,1,1
4133,-608,1821,9,3
4134,-1084,2195,8,6
4135,2285,4622,26,46
4136,-1201,2637,15,7
4137,4333,7474,88,11
4138,-1671,2020,14,7
4139,438,2957,8,23
4140,-887,834,2,-
4141,-2479,3188,16,3
4142,1501,765,24,-
4143,-1471,2691,19,7
4144,-328,3585,9,8
4145,-327,3430,15,12
4146,6124,6631,24,24
4147,391,3494,43,22
4148,-912,1372,7,5
4149,-867,2313,7,3
4150,1958,7374,30,26
4151,-2762,6907,12,31
4152,-1353,6668,22,13
4153,-501,3265,10,8
4154,-831,1628,4,2
4155,2482,8046,38,21
4156,-735,2931,7,11
4157,-313,8175,25,33
4158,-349,4348,16,10
4159,-351,5192,15,19
4160,1130,6422,25,18
4161,-1339,6446,19,15
4162,-471,3937,14,5
4163,1715,4263,20,14
4164,461,4021,18,7
4165,446,3848,15,10
4166,-1584,5336,13,18
4167,-924,4135,12,11
4168,903,4252,19,9
4169,223,7267,25,24
4170,137,3727,12,13
4171,-1073,3961,12,9
4172,-325,4664,16,15
4173,163,3955,13,14
4174,-559,1058,2,2
4175,-546,5726,17,21
4176,2085,5241,24,16
4177,-1153,3785,10,11
4178,-2021,1877,2,2
4179,-613,3874,13,11
4180,-128,2856,11,5
4181,199,5486,21,9
4182,-256,2818,8,12
4183,655,6625,23,25
4184,-636,658,1,-
4185,-465,3786,14,5
4186,-1301,951,-,1
4187,-12,2417,10,4
4188,-732,5331,16,21
4189,-1787,3231,7,7
4190,-568,1847,6,2
4191,-299,1650,5,3
4192,1112,6451,29,13
4193,-348,1773,6,4
4194,323,3835,15,11
4195,-456,2857,10,6
4196,-113,2672,9,9
4197,-2483,5198,10,19
4198,-53,2393,8,10
4199,51,5780,20,21
4200,-318,4157,14,12
4201,1488,8097,35,28
4202,-585,3854,13,11
4203,-614,952,2,2
4204,-658,941,2,1
4205,-1765,7340,17,36
4206,-651,469,-,1
4207,-1308,6083,17,26
4208,211,3976,15,14
4209,-599,687,1,1
4210,-407,1007,3,2
4211,-454,4202,14,12
4212,1586,4507,20,18
4213,-468,2194,6,8
4214,-1501,5012,15,15
4215,-352,1143,3,3
4216,-160,1297,5,2
4217,-416,5917,21,18
4218,-1,1002,4,2
4219,-415,1062,3,2
4220,-614,4637,15,16
4221,-1155,852,-,-
4222,60,4105,16,9
4223,-2172,2398,3,4
4224,1290,2597,24,11
4225,-1978,2154,12,-
4226,1429,2118,23,7
4227,-2205,3196,16,8
4228,-3880,2395,3,4
4229,-2724,3352,14,9
4230,4809,2156,36,11
4231,-214,1946,16,4
4232,-416,2142,12,11
4233,1971,2935,29,13
4234,-2693,2714,12,5
4235,-5456,4408,15,6
4236,1268,2843,28,10
4237,1887,6267,51,29
4238,-3205,3533,15,8
4239,-922,2512,16,7
4240,-925,2593,15,9
4241,-143,2578,19,9
4242,-1053,4133,29,14
4243,-3329,5472,28,15
4244,3857,4064,43,22
4245,4681,4129,53,16
4246,1996,2185,24,10
4247,-2004,1431,5,-
4248,2819,3157,38,10
4249,-1555,823,1,-
4250,3423,2900,36,12
4251,-4279,4673,19,10
4252,-528,4110,15,10
4253,2108,4243,20,17
4254,630,1898,11,-
4255,-390,1765,5,5
4256,1101,2049,12,2
4257,385,6290,21,23
4258,-525,701,1,1
4259,-1114,1792,3,6
4260,70,2753,11,6
4261,-382,4245,13,15
4262,-252,2517,7,10
4263,431,4746,20,9
4264,-1012,2390,5,8
4265,-1087,2520,6,6
4266,715,3563,16,6
total,-10020,945677,-,-
