lotno,payout,rotation
4001,902,2326
4002,-3884,3663
4003,-2826,2109
4004,-3764,3482
4005,-3756,3233
4006,-2108,2465
4007,1356,2168
4008,-888,1842
4009,-42,3388
4010,-4461,2588
4011,303,4952
4012,-1084,980
4013,114,3264
4014,3016,2364
4015,10924,2186
4016,-3250,1961
4017,1183,1061
4018,-1537,3548
4019,-1795,4345
4020,2926,5769
4021,3953,7206
4022,2227,6358
4023,414,4247
4024,-2535,6863
4025,338,4605
4026,899,6812
4027,1462,4614
4028,-824,5736
4029,-1294,1083
4030,2216,5489
4031,3975,7942
4032,-71,619
4033,1366,3742
4034,1391,2492
4035,-446,2292
4036,4544,4731
4037,-2101,3238
4038,-145,491
4039,1375,482
4040,826,870
4041,-561,1514
4042,1378,1740
4043,4768,6975
4044,-1669,5530
4045,1373,7327
4046,7812,7746
4047,3430,8017
4048,-874,3710
4049,7889,8626
4050,-2418,3849
4051,-3036,8560
4052,8767,8281
4053,-1551,7048
4054,2371,3334
4055,2100,1386
4056,-2265,5491
4057,-67,1947
4058,63,1457
4059,-2383,4060
4060,3318,4777
4061,2057,4903
4062,1940,5157
4063,115,1224
4064,-722,735
4065,-773,1013
4066,611,2475
4067,-1190,1528
4068,-642,802
4069,-404,440
4070,-1741,2464
4071,-3336,3406
4072,-846,1477
4073,-765,923
4074,-2168,3883
4075,-463,805
4076,2610,1727
4077,-439,547
4078,4712,4438
4079,-39,1571
4080,-3311,4264
4081,-2663,3607
4082,-1509,3821
4083,681,2908
4084,1305,1872
4085,94,1546
4086,-3462,3890
4087,69,2929
4088,3065,6787
4089,-211,1340
4090,-710,2598
4091,-1012,1148
4092,-1736,2592
4093,597,2251
4094,-202,976
4095,1799,5680
4096,973,3350
4097,-2547,2917
4098,127,6242
4099,81,79
4100,714,1968
4101,-589,458
4102,-1431,1765
4103,-584,665
4104,-834,756
4105,175,845
4106,3609,7538
4107,-2779,3031
4108,-426,7367
4109,1257,6352
4110,-445,327
4111,-271,4414
4112,-421,551
4113,2685,5936
4114,-176,387
4115,-726,514
4116,-155,573
4117,2097,6944
4118,-269,668
4119,535,6030
4120,1349,2201
4121,914,4125
4122,-935,1928
4123,-543,701
4124,-996,1347
4125,-1274,1938
4126,1131,1530
4127,188,4288
4128,-910,1077
4129,-575,4099
4130,1449,3460
4131,-367,1059
4132,-2240,2935
4133,-1147,1611
4134,-1150,956
4135,539,4081
4136,-673,907
4137,141,2945
4138,-141,255
4139,623,2024
4140,-198,1568
4141,475,1499
4142,-222,3290
4143,2645,3917
4144,1440,4218
4145,-80,190
4146,-1911,4576
4147,-1711,2860
4148,-382,1314
4149,-1733,2197
4150,69,8973
4151,-784,2057
4152,-459,4871
4153,-1397,1713
4154,787,4294
4155,-770,2002
4156,-1130,3856
4157,-1253,2184
4158,-400,693
4159,2836,7107
4160,359,1222
4161,-126,3330
4162,-472,4305
4163,2846,7911
4164,-352,3392
4165,-461,2632
4166,-58,714
4167,-1855,3179
4168,-610,1339
4169,-638,1182
4170,-828,1434
4171,-473,1624
4172,-687,1122
4173,-495,426
4174,4827,6377
4175,1411,5658
4176,697,5153
4177,959,2759
4178,-1839,4193
4179,1922,5446
4180,-1028,2886
4181,-1800,6467
4182,-1588,2167
4183,-898,2318
4184,-151,3375
4185,1384,6258
4186,-370,807
4187,-550,4684
4188,-1265,2112
4189,-859,4627
4190,-498,1851
4191,949,3769
4192,-825,1994
4193,-483,2991
4194,-1408,2507
4195,632,4728
4196,-847,3312
4197,-498,1876
4198,779,7595
4199,-135,3446
4200,208,4104
4201,-729,757
4202,1056,7036
4203,-798,1187
4204,-734,3751
4205,-543,6078
4206,-888,1567
4207,-935,2980
4208,-239,3798
4209,-740,1633
4210,-290,3271
4211,-251,6401
4212,-300,4337
4213,-180,2588
4214,-178,3148
4215,-24,2463
4216,-2234,1686
4217,418,4542
4218,-702,7102
4219,-550,3384
4220,-1672,2731
4221,-148,847
4222,3200,6391
4223,25,4279
4224,-3888,3912
4225,-3807,3703
4226,-5010,3379
4227,77,3212
4228,-1602,3931
4229,-2093,2522
4230,-1285,2319
4231,-811,2452
4232,967,2069
4233,-1883,2333
4234,-1821,3200
4235,-2663,2398
4236,3974,3029
4237,5485,2778
4238,1081,3931
4239,-2639,3831
4240,470,2051
4241,1522,2588
4242,-347,1152
4243,-1760,3574
4244,-2464,5523
4245,-1245,3635
4246,76,2695
4247,2155,3387
4248,2007,2049
4249,-2334,1966
4250,-1885,2937
4251,1075,4613
4252,-106,2629
4253,-198,1288
4254,2497,6816
4255,-519,849
4256,1206,2996
4257,-139,1723
4258,2039,4748
4259,2859,5199
4260,-333,1022
4261,1037,4744
4262,-59,1668
4263,-736,1014
4264,-15,7720
4265,-729,784
4266,-35,2945
total,-3979,853774
