No,Payout,Rotation,Big,Reg
4246,7073,2393,41,23
4247,1691,5879,54,19
4248,-295,1328,9,4
4249,-1416,3925,27,9
4250,-3058,3804,17,10
4251,-4339,4347,17,8
4252,-332,2244,6,9
4253,4139,6221,31,28
4254,611,1519,9,1
4255,-311,4848,16,14
4256,-747,1128,3,1
4257,-85,4142,15,11
4258,-1912,3188,7,6
4259,-1513,2121,3,5
4260,-1205,2007,4,3
4261,-727,3779,12,8
4262,-447,2732,8,9
4263,-302,3937,13,12
4264,-483,1744,6,1
4265,-687,5977,18,22
4266,-1641,3781,10,7
total,-26906,896681,-,-
