No,Payout,Rotation,Big,Reg
4001,-3479,3868,7,-
4002,838,4774,22,-
4003,7614,2721,21,-
4004,2177,984,5,-
4005,-642,4519,17,-
4006,-396,2905,13,-
4007,1299,2308,19,-
4008,4160,1657,25,-
4009,-2754,2660,9,-
4010,-854,574,1,-
4011,-3858,3754,13,-
4012,-4554,3146,6,-
4013,-417,1488,9,-
4014,-1497,930,1,-
4015,-2771,2756,9,-
4016,-1832,2336,9,-
4017,-1890,1310,3,-
4018,-2256,3277,14,-
4019,-3418,3778,5,6
4020,-2289,3188,9,5
4021,-117,2021,5,2
4022,4640,4489,15,8
4023,-1686,1852,7,3
4024,-691,3871,12,5
4025,2765,8224,15,20
4026,-266,1794,4,5
4027,-102,3329,7,7
4028,-4215,3713,5,5
4029,4757,7922,36,31
4030,1637,3276,10,11
4031,1860,7075,23,26
4032,1415,5511,29,20
4033,-617,3762,46,14
4034,-1260,2846,25,5
4035,-232,2258,30,8
4036,-880,1868,16,4
4037,-956,2712,19,11
4038,-133,1557,11,6
4039,8,2838,34,10
4040,-600,823,4,3
4041,-241,338,1,1
4042,441,425,6,2
4043,-480,7253,52,33
4044,4320,8876,73,52
4045,-2664,6067,43,16
4046,-1636,5960,42,16
4047,-1806,6555,48,24
4048,1581,9805,81,53
4049,-3089,8327,57,26
4050,-303,6566,42,25
4051,-395,8214,55,31
4052,508,8000,64,32
4053,-3741,7593,47,19
4054,7783,4542,96,25
4055,162,2483,29,2
4056,-1667,3902,25,3
4057,185,5521,56,9
4058,-1768,3284,17,3
4059,-1078,2376,18,1
4060,1309,4975,58,9
4061,-2291,2372,4,-
4062,-2014,2813,11,1
4063,282,3226,12,-
4064,-798,1274,3,-
4065,-221,585,3,-
4066,400,1126,4,-
4067,-659,571,1,-
4068,-841,1980,12,2
4069,351,1666,6,11
4070,-1389,2467,9,5
4071,-312,2576,24,-
4072,993,4046,45,-
4073,1320,1559,34,-
4074,2466,545,30,3
4075,-3335,4079,11,9
4076,-230,519,2,2
4077,-308,554,1,1
4078,-135,3609,35,3
4079,-892,3020,19,2
4080,-1265,2249,8,1
4081,-387,2206,21,1
4082,750,4144,54,-
4083,136,4087,46,-
4084,514,3718,37,-
4085,-3020,2917,13,-
4086,1706,5853,75,-
4087,892,7401,29,18
4088,373,791,4,-
4089,-1046,908,-,1
4090,-627,4015,13,9
4091,-810,2286,7,3
4092,3731,6562,31,19
4093,1942,5936,25,11
4094,-1255,1323,1,3
4095,662,3475,13,7
4096,-141,399,1,-
4097,1755,5088,17,11
4098,1251,4257,13,15
4099,1041,3026,13,21
4100,-98,310,2,1
4101,-60,24,-,-
4102,413,4145,18,20
4103,-710,808,1,1
4104,-663,443,-,-
4105,-516,1413,3,4
4106,-333,737,2,1
4107,730,1769,7,8
4108,-746,2050,5,5
4109,-780,5631,17,19
4110,720,2485,12,5
4111,-984,1996,4,7
4112,-654,1976,5,7
4113,-491,2522,6,6
4114,955,2661,12,3
4115,963,3424,13,13
4116,-761,732,-,2
4117,393,5377,16,18
4118,412,4316,11,7
4119,36,1702,7,2
4120,1842,4093,23,15
4121,-248,337,1,1
4122,141,3676,30,9
4123,-189,160,-,-
4124,-923,1388,3,2
4125,1290,3387,28,11
4126,-489,608,1,1
4127,2788,4266,11,63
4128,1303,1941,7,24
4129,53,1163,6,7
4130,-1063,2598,7,4
4131,-1934,3303,11,5
4132,-1015,1800,3,2
4133,-1330,1456,3,-
4134,-692,898,2,2
4135,-1161,2545,11,12
4136,-304,344,1,1
4137,5346,5559,81,5
4138,-183,352,3,2
4139,-217,2853,11,15
4140,-1409,1537,2,1
4141,4898,2758,32,-
4142,-1359,2439,14,-
4143,-641,4621,54,11
4144,-1819,2108,3,3
4145,67,2583,9,8
4146,-333,6262,23,19
4147,811,3656,43,16
4148,925,5700,33,66
4149,651,5933,24,14
4150,-834,1592,3,4
4151,-731,2767,7,8
4152,-279,2005,6,6
4153,2513,6148,30,18
4154,-618,1538,4,3
4155,325,3971,15,13
4156,668,5448,21,18
4157,-1110,2949,8,8
4158,504,3212,12,12
4159,564,4167,15,14
4160,637,7966,29,25
4161,-137,368,1,-
4162,-2141,5048,12,12
4163,905,5949,23,21
4164,1634,7814,32,27
4165,-611,4633,15,11
4166,-599,1609,5,2
4167,-697,1274,4,-
4168,-1158,8140,24,30
4169,-616,4742,14,17
4170,-1614,2482,4,5
4171,-366,969,3,1
4172,829,5948,23,21
4173,-477,916,2,2
4174,-56,1672,7,2
4175,1520,6700,29,20
4176,1700,4807,22,14
4177,-669,3001,8,9
4178,4670,6836,38,25
4179,-407,1472,4,4
4180,-852,3197,8,10
4181,-316,743,2,2
4182,1756,4258,21,12
4183,979,6955,25,29
4184,410,2011,9,6
4185,-889,4444,11,19
4186,-451,1364,4,2
4187,-1679,2590,5,2
4188,-182,6285,22,17
4189,-1256,4284,13,10
4190,-1080,987,-,3
4191,-590,6709,22,17
4192,-796,1292,2,4
4193,-1631,3077,6,10
4194,133,4188,15,12
4195,427,4832,17,16
4196,-390,1340,4,2
4197,-2012,6103,18,13
4198,-1557,2694,5,8
4199,-688,6567,20,20
