No,Payout,Rotation,Big,Reg
4001,-771,570,1,-
4002,93,2375,9,-
4003,-2175,1914,5,-
4004,673,1998,9,-
4005,-704,509,1,-
4006,-84,2232,14,-
4007,308,346,3,-
4008,-1212,785,1,-
4009,67,949,6,-
4010,-1253,1484,6,-
4011,-774,879,3,-
4012,566,473,5,-
4013,-304,287,1,-
4014,1138,1838,16,-
4015,-484,540,2,-
4016,95,1338,11,-
4017,320,1897,14,1
4018,-9,769,5,-
4019,-1268,2165,3,7
4020,-1036,807,1,1
4021,-469,1838,8,2
4022,-171,482,3,-
4023,-2506,2728,7,4
4024,3902,4394,14,8
4025,5665,3539,6,9
4026,-137,192,2,-
4027,-1604,4738,9,9
4028,3189,2247,7,3
4029,-138,71,-,-
4030,135,2132,8,5
4031,107,618,1,1
4032,-8,483,-,1
4033,1517,5381,21,19
4034,-517,420,1,1
4035,-451,724,1,1
4036,-674,1078,4,2
4037,1045,928,22,4
4038,342,2311,26,7
4039,-621,376,-,-
4040,4790,1230,47,2
4041,-1124,1415,11,4
4042,-177,1139,13,3
4043,92,3632,30,18
4044,3238,3563,29,20
4045,-464,4817,32,17
4046,-1028,1113,5,1
4047,4970,6986,65,49
4048,471,1521,13,9
4049,-996,2035,13,6
4050,683,3556,35,19
4051,-2200,3060,14,4
4052,-2463,3161,20,8
4053,-50,7703,48,34
4054,-1619,1444,2,-
4055,-856,2073,12,2
4056,-368,1307,11,-
4057,-1041,1543,9,-
4058,-583,491,1,-
4059,25,828,7,3
4060,2,854,8,1
4061,245,650,9,2
4062,-485,600,1,-
4063,0,-,-,-
4064,665,297,3,-
4065,-99,89,-,-
4066,-279,140,-,-
4067,-119,73,-,-
4068,-624,619,1,-
4069,-12,4,-,-
4070,-48,23,-,-
4071,0,-,-,-
4072,0,-,-,-
4073,1299,1117,18,-
4074,-377,826,6,2
4075,-627,749,1,1
4076,-313,250,-,-
4077,516,428,10,1
4078,-1244,1919,10,1
4079,-984,1632,8,1
4080,-610,689,1,-
4081,-489,4962,43,5
4082,-224,123,-,-
4083,513,2829,37,-
4084,-1991,1676,5,-
4085,-190,126,-,-
4086,-240,2087,22,-
4087,-41,1022,4,2
4088,-310,753,2,1
4089,-350,3970,11,15
4090,-183,1140,4,3
4091,-182,1545,7,2
4092,-425,460,1,-
4093,-1039,1903,4,5
4094,250,1690,6,4
4095,-154,536,1,1
4096,-188,101,-,-
4097,475,2282,9,5
4098,-279,175,-,-
4099,-139,72,-,-
4100,0,-,-,-
4101,1491,1744,8,16
4102,-94,60,-,-
4103,-551,1444,4,2
4104,-61,1579,6,2
4105,-314,446,1,-
4106,-1206,2844,5,11
4107,-1092,3706,11,10
4108,951,2955,12,11
4109,-327,455,1,1
4110,718,1468,8,3
4111,108,2281,10,4
4112,-349,906,2,2
4113,-443,752,1,2
4114,-3,1551,5,4
4115,-208,576,1,2
4116,-510,519,1,-
4117,50,1000,4,1
4118,1512,3932,14,7
4119,0,-,-,-
4120,-89,91,1,-
4121,-805,841,4,1
4122,0,-,-,-
4123,0,-,-,-
4124,-93,75,-,-
4125,-465,600,1,1
4126,0,-,-,-
4127,2192,4616,12,55
4128,-64,36,-,-
4129,-767,3370,18,10
4130,415,1730,4,6
4131,47,300,2,1
4132,0,-,-,-
