Lotno,Payout,Rotation,Big,Reg
4252,-1118,1643,4,2
4253,-701,1587,5,1
4254,-444,1465,4,3
4255,-734,1712,5,2
4256,-363,1484,4,4
4257,131,2623,11,5
4258,-144,1197,4,3
4259,2477,3893,22,14
4260,-715,809,1,-
4261,-1051,6331,20,16
4262,-182,336,1,-
4263,37,727,3,-
4264,-1000,5340,16,17
4265,-319,1872,5,6
4266,-200,2711,9,9
total,33805,590976,-,-
