lotno,payout,rotation
4001,-1462,1817
4002,-2393,1780
4003,204,701
4004,-2064,2267
4005,715,1337
4006,345,663
4007,290,250
4008,-2065,1181
4009,2224,576
4010,3741,1122
4011,785,921
4012,1517,1612
4013,-204,363
4014,-1221,805
4015,1522,634
4016,-308,144
4017,8196,1492
4018,-45,20
4019,74,5497
4020,218,1285
4021,168,3096
4022,6411,7186
4023,-1795,5884
4024,-919,804
4025,-2420,2313
4026,569,3730
4027,-751,3824
4028,767,1016
4029,-231,232
4030,-138,1547
4031,-117,1559
4032,146,4043
4033,-1166,2326
4034,-1751,1316
4035,-1573,1474
4036,-3057,3965
4037,-1379,3265
4038,-42,388
4039,-423,513
4040,0,-
4041,5,445
4042,297,89
4043,-2132,4435
4044,-1807,1922
4045,-2168,3189
4046,-1195,2145
4047,-1800,3710
4048,1170,1774
4049,834,5281
4050,-1317,1671
4051,4637,7356
4052,8513,8485
4053,385,2519
4054,-823,4580
4055,-732,1057
4056,-186,132
4057,701,814
4058,-56,74
4059,556,775
4060,-118,76
4061,-1530,2716
4062,131,345
4063,-327,223
4064,-23,158
4065,-329,218
4066,-677,1259
4067,-94,1670
4068,0,-
4069,-21,16
4070,-326,228
4071,1521,429
4072,204,518
4073,-3,1
4074,-54,96
4075,-83,129
4076,-88,103
4077,-761,1166
4078,-1311,3741
4079,-2953,5181
4080,-537,3151
4081,-1079,4528
4082,-1234,1860
4083,-1277,2814
4084,-547,1079
4085,334,689
4086,-159,319
4087,-1617,3139
4088,1984,2750
4089,-662,759
4090,252,792
4091,-163,1778
4092,-474,1174
4093,27,3864
4094,581,4260
4095,308,931
4096,-525,284
4097,215,956
4098,-887,872
4099,-247,957
4100,-15,5
4101,-47,34
4102,1281,1301
4103,-1068,764
4104,-196,186
4105,-105,61
4106,-156,93
4107,934,6349
4108,-2050,4773
4109,-1300,4489
4110,170,722
4111,82,337
4112,-412,297
4113,-63,2041
4114,88,1498
4115,-118,926
4116,-360,208
4117,-537,451
4118,-1881,2456
4119,-312,373
4120,0,-
4121,5128,4929
4122,-30,15
4123,-186,351
4124,-514,785
4125,-542,732
4126,-278,255
4127,-267,1447
4128,1743,2313
4129,0,-
4130,-384,2387
4131,-920,2122
4132,-786,712
4133,1450,342
4134,-66,718
4135,2403,2068
4136,0,-
4137,247,5038
4138,-45,47
4139,-93,45
4140,-281,1644
4141,0,-
4142,-891,1144
4143,-1174,3303
4144,-140,125
4145,-95,56
4146,0,-
4147,-1661,1670
4148,-1452,3345
4149,-1351,3471
4150,-354,1412
4151,435,7839
4152,-83,1396
4153,-748,5714
4154,-383,2975
4155,-1453,3243
4156,-526,1234
4157,-208,7094
4158,-888,914
4159,360,3155
4160,-275,3212
4161,1227,7158
4162,-310,1514
4163,1208,7266
4164,-136,4344
4165,-176,1576
4166,2012,5589
4167,-500,1831
4168,969,3782
4169,1027,4581
4170,-203,392
4171,2758,7405
4172,-1087,1266
4173,366,2341
4174,-684,1180
4175,2239,7020
4176,201,6138
4177,-709,2219
4178,2228,1872
4179,-387,1770
4180,249,3967
4181,-491,1018
4182,2954,5205
4183,-799,1110
4184,-270,2295
4185,-180,1051
4186,776,4694
4187,-901,1058
4188,-1875,2532
4189,-338,192
4190,173,6422
4191,-258,158
4192,573,1374
4193,-546,3350
4194,-402,1526
4195,-1119,3118
4196,-1151,2510
4197,-345,772
4198,-1138,2271
4199,-1076,3480
4200,-67,3769
4201,-722,1042
4202,1347,4363
4203,-437,703
4204,433,3911
4205,95,612
4206,85,1949
4207,-203,1233
4208,-366,663
4209,-1026,1295
4210,-167,6002
4211,-122,372
4212,-736,3039
4213,-998,1374
4214,933,5496
4215,92,1132
4216,-122,945
4217,105,4896
4218,-453,340
4219,338,678
4220,646,1466
4221,-506,1289
4222,513,1514
4223,1355,4226
4224,-3978,4703
4225,-2235,1475
4226,-1067,2039
4227,3949,3356
4228,266,567
4229,-1324,1026
4230,-558,269
4231,76,634
4232,-311,2186
4233,-1997,1173
4234,-2666,2996
4235,-486,2160
4236,-798,1117
4237,-130,3810
4238,-1970,2341
4239,-964,526
4240,-2379,1786
4241,-597,280
4242,-1352,2977
4243,-824,452
4244,2490,3690
4245,-376,613
4246,-578,272
4247,4323,2085
4248,3678,1672
4249,807,827
4250,-593,271
4251,4626,1215
4252,-254,3614
4253,53,2677
4254,-509,563
4255,-335,1920
4256,143,1733
4257,-60,5051
4258,-266,381
4259,-423,290
4260,1060,4656
4261,-250,1759
4262,2582,4544
4263,31,2335
4264,-425,1564
4265,670,2360
4266,-1013,2191
total,-15740,535058
