No,Payout,Rotation,Big,Reg
4118,-847,800,-,1
4119,-1130,2357,9,2
4120,1649,2654,15,17
4121,-1459,1018,3,-
4122,-381,350,-,-
4123,-788,872,2,1
4124,2392,933,23,2
4125,-603,612,1,1
4126,-104,64,-,-
4127,-708,650,-,1
4128,-64,966,1,8
4129,-1141,1554,2,3
4130,2116,1975,6,6
4131,-1373,1751,4,3
4132,-2635,2549,1,1
4133,464,668,7,3
4134,-502,479,1,1
4135,4434,7666,46,81
4136,773,436,9,3
4137,4463,5143,133,3
4138,-120,137,-,1
4139,-2126,1652,1,1
4140,-530,318,-,-
4141,-220,975,3,1
4142,-720,1260,7,-
4143,-286,490,1,1
4144,3068,2756,18,17
4145,-555,548,3,-
4146,-83,280,-,1
4147,-8,3677,41,18
4148,-1567,2886,13,11
4149,667,6865,25,23
4150,-295,5133,16,20
4151,55,3840,14,10
4152,-204,2365,7,7
4153,-986,1838,4,3
4154,2023,5874,29,12
4155,-692,2719,7,9
4156,389,3633,14,12
4157,-1418,3924,10,12
4158,-14,2965,9,10
4159,254,2089,8,4
4160,1639,5972,25,21
4161,-837,7171,22,22
4162,-345,4705,16,13
4163,-230,4230,14,13
4164,-567,1554,4,5
4165,-904,2987,7,10
4166,-923,4108,11,15
4167,99,7498,27,20
4168,-198,4115,14,13
4169,-444,1361,5,1
4170,564,4264,17,13
4171,830,2215,11,5
4172,-1512,1800,1,6
4173,-21,4427,16,11
4174,119,2936,11,6
4175,-1318,3801,10,9
4176,-158,2287,8,7
4177,-797,4109,13,11
4178,697,3734,13,15
4179,-1995,5064,11,18
4180,-579,1412,3,5
4181,830,3680,17,4
4182,2148,2292,14,8
4183,282,1446,7,2
4184,-485,1674,5,3
4185,-798,1592,3,4
4186,-663,930,2,-
4187,-548,1695,5,4
4188,1239,3431,17,8
4189,100,3329,12,9
4190,-323,466,1,-
4191,1906,5319,25,15
4192,526,2037,8,8
4193,-2306,8127,20,31
4194,924,1568,9,2
4195,837,2871,14,7
4196,-350,1189,4,1
4197,-415,2128,7,4
4198,-105,1422,6,1
4199,-524,4834,17,11
4200,-1121,1512,2,3
4201,891,5149,21,21
4202,342,3221,13,10
4203,-342,987,3,1
4204,-744,767,1,1
4205,-282,1515,5,4
4206,3391,6246,36,15
4207,-276,1243,4,3
4208,-196,2171,8,5
4209,-167,1771,7,3
4210,166,2719,11,8
4211,988,4643,21,14
4212,-597,690,1,1
4213,1168,3727,18,11
4214,-293,1099,3,3
4215,-238,3368,11,12
4216,178,2081,8,7
4217,-1100,2244,5,5
4218,-363,3558,12,9
4219,-1016,1844,4,5
4220,-938,2504,5,8
4221,-785,2522,8,4
4222,-830,774,1,1
4223,2378,5163,26,18
4224,4506,4473,52,21
4225,-2298,3658,19,9
4226,-1249,1429,6,4
4227,293,1960,16,8
4228,185,2224,18,7
4229,-2174,1469,3,2
4230,-614,2087,11,9
4231,5305,1481,33,13
4232,-454,1718,12,4
4233,-1162,839,2,1
4234,-3826,3551,13,6
4235,926,4099,35,15
4236,-3545,2693,7,4
4237,-1915,2199,8,7
4238,-1854,1693,5,5
4239,-2315,6001,32,23
4240,-796,1304,8,1
4241,-1252,1015,4,-
4242,-2776,4793,25,14
4243,-4196,3956,12,11
4244,-3789,4828,24,9
4245,-3379,2466,6,4
4246,3611,3119,36,17
4247,-1301,1459,4,7
4248,1319,2958,28,11
4249,-1450,1013,2,2
4250,1718,4768,50,7
4251,2222,4108,41,17
4252,-347,1532,5,4
4253,284,5497,19,18
4254,208,2318,9,7
4255,-918,650,2,-
4256,216,3897,14,12
4257,-142,1059,3,3
4258,-381,2848,9,11
4259,148,780,4,-
4260,654,3506,14,11
4261,-449,978,2,3
4262,912,2781,10,13
4263,-378,4342,14,11
4264,742,3764,17,9
4265,625,1875,10,3
4266,-2194,4010,9,10
total,-19154,632282,-,-
