No,Payout,Rotation,Big,Reg
4001,-1720,2406,7,-
4002,-614,558,1,-
4003,-3197,2144,3,-
4004,-873,1906,4,-
4005,481,940,5,-
4006,-2597,1758,3,-
4007,-398,1167,6,1
4008,-1078,613,1,-
4009,-406,928,5,-
4010,-1783,1593,5,-
4011,-498,1906,10,-
4012,-90,47,-,-
4013,-1820,1658,5,-
4014,-562,394,1,-
4015,-864,1684,10,1
4016,-976,620,1,-
4017,5925,2708,37,1
4018,-204,101,-,-
4019,3020,6950,18,16
4020,-283,5564,23,11
4021,885,3730,12,7
4022,-362,1015,2,4
4023,-2417,2917,4,7
4024,1769,1757,8,1
4025,3816,4887,16,11
4026,-1088,1131,3,2
4027,2830,5374,18,7
4028,-1411,1392,-,3
4029,-97,85,-,-
4030,605,898,5,3
4031,-77,763,5,1
4032,788,1160,4,3
4033,-467,812,5,-
4034,297,1362,10,2
4035,693,216,8,1
4036,365,877,8,3
4037,-257,1758,18,6
4038,-406,367,-,1
4039,-1383,2935,28,8
4040,654,1620,26,5
4041,-773,599,2,1
4042,-919,656,2,1
4043,-1186,5313,45,19
4044,2332,4891,43,29
4045,80,5657,44,21
4046,-1472,3312,23,7
4047,-2533,5325,31,17
4048,-619,5118,32,19
4049,5213,7601,81,50
4050,1065,4370,35,20
4051,2963,4957,52,35
4052,8018,6660,58,42
4053,-916,5492,44,23
4054,-375,915,3,1
4055,-462,1088,8,1
4056,-552,2804,18,4
4057,-389,931,5,-
4058,-963,861,1,-
4059,-530,1217,9,1
4060,129,348,5,-
4061,53,732,6,1
4062,1608,3068,47,2
4063,-173,121,-,-
4064,-100,71,-,-
4065,-679,1053,3,-
4066,-546,1047,2,-
4067,-715,1170,3,3
4068,-317,787,2,4
4069,-658,536,1,-
4070,-482,977,2,3
4071,-243,749,2,-
4072,-39,32,-,-
4073,-504,1887,11,-
4074,-562,763,2,2
4075,-429,452,1,1
4076,-170,125,-,-
4077,-328,384,1,1
4078,-153,108,-,-
4079,-3277,5690,24,3
4080,-1653,3356,22,2
4081,-345,1491,12,2
4082,-420,1537,14,-
4083,-395,224,-,-
4084,-79,2754,32,-
4085,6887,1713,65,-
4086,-363,478,3,-
4087,-132,5152,17,14
4088,-176,150,-,-
4089,86,3414,13,8
4090,148,468,2,-
4091,-388,230,-,-
4092,-324,5263,15,13
4093,-205,114,-,-
4094,562,3415,13,11
4095,94,872,3,1
4096,-234,249,-,1
4097,252,2146,6,4
4098,-149,939,3,1
4099,2995,3305,14,30
4100,-126,1017,3,4
4101,-661,1839,8,4
4102,-1503,927,1,-
4103,-263,777,2,1
4104,-56,1325,4,4
4105,316,3887,14,9
4106,-315,300,-,1
4107,318,3995,14,16
4108,63,3069,12,10
4109,-328,229,-,-
4110,-459,1934,5,7
4111,4459,4900,30,17
4112,-865,1308,2,5
4113,-877,699,-,2
4114,1207,3430,13,7
4115,284,1314,6,2
4116,-318,911,2,3
4117,1695,6366,25,19
