No,Payout,Rotation,Big,Reg
4001,-1127,771,1,-
4002,7186,1814,12,-
4003,1484,1181,7,-
4004,-416,1244,5,-
4005,2710,2623,16,-
4006,-2954,2328,6,-
4007,2233,1417,19,-
4008,-1203,948,2,-
4009,-1185,725,1,-
4010,-1269,2412,12,-
4011,-419,1634,9,-
4012,2579,2393,24,1
4013,-3055,3667,16,-
4014,2866,2702,28,1
4015,-2702,1626,2,-
4016,-2224,2939,12,-
4017,1306,945,10,-
4018,5422,2258,34,1
4019,2185,3465,12,5
4020,-1146,915,1,1
4021,2665,7047,19,13
4022,801,2975,10,6
4023,4335,4717,15,12
4024,11064,6949,16,10
4025,-123,1192,2,2
4026,-4,1304,4,1
4027,-2411,2761,4,4
4028,-4451,4625,7,7
4029,-134,287,2,-
4030,-454,1897,8,5
4031,-26,1109,5,3
4032,-61,161,1,-
4033,-331,1100,5,3
4034,-88,85,-,-
4035,-900,1002,1,1
4036,-476,605,2,2
4037,-651,1280,5,6
4038,-357,1017,4,6
4039,-1609,3348,32,7
4040,-2997,3869,28,12
4041,-435,1745,17,4
4042,1748,268,15,1
4043,-2353,3915,26,11
4044,-3141,4875,30,13
4045,-1127,3062,20,10
4046,457,7830,53,37
4047,570,1874,17,10
4048,-122,6451,42,22
4049,76,3987,34,22
4050,2752,7030,62,43
4051,-767,2511,17,9
4052,-891,1307,7,3
4053,-660,6214,45,22
4054,360,2280,29,4
4055,8023,1186,82,11
4056,-260,198,-,-
4057,-133,97,-,-
4058,-1869,2556,12,1
4059,-327,414,1,-
4060,80,1197,14,2
4061,-173,173,-,-
4062,-520,3321,25,5
4063,0,-,-,-
4064,-10,4,-,-
4065,-279,130,-,-
4066,594,369,3,-
4067,-1114,1264,3,2
4068,-65,157,1,-
4069,-189,371,2,-
4070,-1554,1367,5,-
4071,-315,292,-,-
4072,753,1394,17,-
4073,-756,1212,5,-
4074,-224,638,3,2
4075,-650,1504,13,5
4076,37,980,12,2
4077,-127,112,-,-
4078,1155,4511,60,1
4079,-120,79,-,-
4080,-1133,1076,1,-
4081,-2904,4022,18,2
4082,-332,2762,27,-
4083,-967,892,3,-
4084,-880,654,2,-
4085,1761,3036,41,-
4086,-1134,1407,9,-
4087,1551,4323,21,14
4088,1133,2693,14,6
4089,586,1448,7,5
4090,191,3656,14,10
4091,-67,1206,4,1
4092,150,1717,7,1
4093,-990,1588,4,-
4094,-1315,2179,4,4
4095,-549,1025,2,2
4096,807,1526,6,6
4097,134,2269,9,3
4098,-464,585,1,-
4099,0,-,-,-
4100,-187,205,-,1
4101,0,-,-,-
4102,-412,498,3,-
4103,-396,1769,4,6
4104,69,195,1,-
4105,117,585,2,2
4106,-1863,4317,8,17
4107,1401,2649,15,6
4108,-1175,2001,3,8
4109,-586,433,-,-
4110,-95,1333,5,2
4111,574,707,4,2
4112,439,3799,15,8
4113,-439,686,1,2
4114,-688,772,1,1
4115,-652,850,1,2
4116,67,4935,16,14
4117,-1160,2312,4,7
4118,-638,905,-,2
4119,-814,1351,3,1
4120,-112,48,-,-
4121,1699,2524,14,14
4122,-1614,1671,2,2
4123,-1964,2813,1,6
4124,-720,979,3,1
4125,-1527,2161,7,4
4126,-1437,1420,2,1
4127,1607,2499,5,36
4128,-453,448,1,-
