No,Payout,Rotation,Big,Reg
4129,2502,1974,8,15
4130,0,-,-,-
4131,1,864,7,1
4132,-423,331,-,-
4133,-231,203,-,-
4134,-1455,1919,4,3
4135,-667,1357,8,3
4136,393,877,12,5
4137,-804,1018,1,2
4138,0,-,-,-
4139,-234,508,2,1
4140,-1494,2442,6,6
4141,-95,67,-,-
4142,-15,675,9,-
4143,-239,184,-,-
4144,601,6140,20,19
4145,-10,163,2,-
4146,-496,827,5,1
4147,2299,3327,51,20
4148,-45,2396,18,14
4149,-752,1076,2,2
4150,-1622,2895,5,7
4151,-604,3465,10,12
4152,-819,1881,4,5
4153,266,5209,18,18
4154,-251,576,2,-
4155,-1062,3604,8,13
4156,-647,652,-,2
4157,-384,5200,15,19
4158,-922,1986,4,6
4159,-694,3121,11,5
4160,-565,1375,4,2
4161,-815,2929,7,9
4162,-1056,2189,5,4
4163,-1138,2328,5,5
4164,1022,3988,20,7
4165,-695,2740,7,10
4166,-531,1275,3,4
4167,2384,7869,34,25
4168,-63,1106,4,3
4169,206,5299,19,14
4170,337,1969,8,5
4171,792,3687,16,10
4172,190,2404,10,5
4173,-659,2554,6,10
4174,-425,2240,6,7
4175,-137,5601,18,22
4176,-26,1028,4,1
4177,2415,2855,18,9
4178,-1247,1225,1,2
4179,-687,526,-,1
4180,-125,3351,11,10
4181,-366,2928,9,9
4182,-816,1750,4,5
4183,-437,2405,6,11
4184,-564,2685,8,5
4185,-293,1109,4,1
4186,-574,540,1,-
4187,-155,793,3,1
4188,-1622,2816,4,9
4189,1426,4043,21,7
4190,-392,2458,7,8
4191,32,2141,9,3
4192,1509,6020,26,17
4193,1128,3989,16,17
4194,508,6349,24,18
4195,-783,596,-,1
4196,1243,3233,16,7
4197,-717,2574,8,6
4198,-906,1576,3,4
4199,89,4744,18,9
4200,690,5373,23,9
4201,-895,1072,2,1
4202,939,5597,20,27
4203,-216,4662,15,19
4204,540,1338,7,3
4205,153,6640,22,26
4206,-346,236,-,-
4207,132,4971,19,15
4208,-620,1291,2,6
4209,-436,3230,11,11
4210,-288,1128,3,3
4211,171,1792,7,5
4212,-65,2344,9,6
4213,558,2986,12,10
4214,384,3421,13,11
4215,-1271,2296,5,5
4216,-566,6346,21,19
4217,-14,1612,6,5
4218,407,1677,9,3
4219,33,3402,14,9
4220,1131,3838,20,5
4221,-225,578,2,1
4222,963,4685,19,19
4223,1621,6878,29,23
4224,-3436,2745,9,4
4225,1287,875,11,5
4226,696,802,9,3
4227,-1271,2035,10,6
4228,-1141,1311,5,4
4229,-1426,2153,7,11
4230,67,2573,21,8
4231,471,1026,10,4
4232,2088,3905,35,19
4233,-638,1993,12,7
4234,4895,2984,42,14
4235,-1071,1093,4,3
4236,865,1896,20,5
4237,-433,1012,6,3
4238,1061,1662,18,5
4239,-833,904,4,2
4240,-257,790,6,1
4241,-4441,3250,8,6
4242,-1251,2289,13,6
4243,2349,3854,40,14
4244,-2313,1522,2,3
4245,3371,1918,28,11
4246,331,1760,15,6
4247,-745,1807,13,2
4248,1037,522,9,1
4249,1007,2120,22,5
4250,-754,2462,17,5
4251,-2161,1853,5,5
4252,152,2300,10,4
4253,-1028,3578,9,13
4254,-542,883,2,1
4255,625,1507,8,2
4256,-1271,1499,2,2
4257,-544,1612,4,5
4258,-1226,1332,2,2
4259,-592,1319,3,2
4260,-205,1230,3,5
4261,1646,5860,25,17
4262,866,2651,12,8
4263,-791,1022,2,1
4264,-21,1554,6,2
4265,1517,7143,28,24
4266,90,2720,11,5
total,-14500,578084,-,-
