No,Payout,Rotation,Big,Reg
4001,-900,1007,2,-
4002,1262,2197,13,-
4003,-77,209,1,-
4004,-1779,1292,1,-
4005,-1725,1106,1,-
4006,-852,3325,23,-
4007,-1445,2093,10,-
4008,-466,1668,10,1
4009,-1554,2387,12,-
4010,-272,1496,9,-
4011,-1927,1086,1,-
4012,-146,71,-,-
4013,13582,1032,51,-
4014,-2124,1345,2,-
4015,-249,1096,7,-
4016,-186,269,1,-
4017,-34,1811,13,-
4018,3683,2560,30,1
4019,1767,7877,14,16
4020,-1213,1049,3,1
4021,-230,4503,11,9
4022,3325,3783,11,6
4023,9252,7695,26,15
4024,1564,5820,13,14
4025,-3800,3656,5,4
4026,2364,5393,16,6
4027,1551,6281,9,13
4028,1213,5712,14,11
4029,-1595,7930,26,22
4030,579,7111,39,26
4031,1240,8381,35,29
4032,3832,5338,26,20
4033,-403,7316,26,23
4034,240,123,3,1
4035,-24,109,1,1
4036,-171,422,2,1
4037,-418,487,1,1
4038,-93,72,-,-
4039,403,1198,17,2
4040,-185,1214,14,5
4041,-556,2205,23,5
4042,-1135,876,2,2
4043,584,7389,51,24
4044,733,2150,20,14
4045,970,6987,45,29
4046,1092,3847,27,18
4047,6310,5372,52,42
4048,7655,8769,73,58
4049,-463,2237,16,7
4050,-446,7472,52,33
4051,-229,3117,27,14
4052,-776,5376,39,23
4053,9564,6354,65,48
4054,-431,1986,15,3
4055,-1794,1670,2,-
4056,-193,1504,15,2
4057,626,2997,31,8
4058,-281,223,-,-
4059,6639,4150,98,15
4060,-198,129,-,-
4061,-1178,976,2,-
4062,-167,369,3,-
4063,3159,1524,13,-
4064,-380,2526,12,-
4065,-699,482,-,-
4066,-429,441,1,-
4067,-308,370,2,-
4068,-48,19,-,-
4069,-45,19,-,-
4070,-235,175,-,-
4071,-441,2286,18,-
4072,0,-,-,-
4073,3510,1032,33,-
4074,-378,384,-,-
4075,-92,109,-,-
4076,-166,190,-,-
4077,-88,102,-,-
4078,-147,1568,14,2
4079,-2355,5163,29,3
4080,1304,2212,36,2
4081,7307,985,81,2
4082,-905,610,1,-
4083,3523,2574,51,-
4084,-1332,1209,5,-
4085,-1256,1251,6,-
4086,-834,761,3,-
4087,-837,1495,4,1
4088,-688,2350,6,7
4089,-85,1807,6,4
4090,2270,3334,18,14
4091,-570,1231,2,4
4092,333,4615,16,13
4093,-89,1585,7,2
4094,248,6912,22,21
4095,269,785,3,1
4096,669,2144,9,4
4097,-80,692,2,1
4098,302,1787,6,3
4099,0,-,-,-
4100,-343,423,2,2
4101,196,2012,4,21
4102,918,2678,14,16
4103,-27,2116,6,8
4104,-282,504,1,1
4105,-677,1309,3,3
4106,-1181,2318,3,11
4107,3026,7941,36,27
4108,-160,7541,24,33
4109,-303,546,1,2
4110,3838,7912,37,30
4111,-234,397,1,-
4112,-620,5860,17,15
4113,129,2884,9,9
4114,18,1014,4,1
4115,201,2276,7,8
4116,-631,1500,3,2
4117,-172,2369,9,2
4118,-428,688,1,1
4119,-528,376,-,-
4120,-554,540,1,1
4121,689,1781,9,7
4122,-433,939,3,2
4123,0,-,-,-
4124,-1141,1894,6,2
4125,-296,333,1,1
4126,77,662,4,2
4127,-34,1991,2,19
4128,-186,1309,4,8
4129,-220,4395,20,19
4130,950,824,3,2
4131,-389,747,3,2
4132,-804,1545,3,3
4133,0,-,-,-
4134,-564,1801,14,10
4135,-415,2684,11,18
4136,-552,2599,22,9
4137,-491,709,1,1
4138,-987,790,-,3
4139,-597,928,3,2
4140,-787,1767,4,4
4141,-1355,1485,7,1
4142,540,941,16,-
4143,-160,100,-,-
4144,-687,1110,2,4
4145,1769,1580,5,7
4146,-236,946,2,2
4147,-1578,1839,9,7
4148,-970,742,3,1
4149,75,5256,19,15
4150,-897,3293,9,9
4151,-472,2756,9,7
4152,-306,3643,13,8
4153,-595,870,2,1
4154,-673,4770,13,20
4155,130,899,4,2
4156,347,5986,26,8
4157,-370,320,-,1
4158,1114,5061,22,15
4159,-326,960,3,2
4160,-662,1012,2,2
4161,550,5650,22,17
4162,-1573,3105,6,8
4163,-292,8542,26,29
4164,-795,885,1,2
4165,-172,1062,4,2
4166,2602,5724,28,19
4167,-684,4269,13,11
4168,-277,548,1,2
4169,383,6327,24,16
4170,-670,2002,4,7
4171,-752,3831,13,6
4172,-57,2006,7,6
4173,-406,1621,5,3
4174,-923,6659,20,22
4175,439,2056,10,3
4176,-2091,5489,15,13
4177,-356,2440,8,7
4178,-556,1423,3,5
4179,490,3603,12,14
