No,Payout,Rotation,Big,Reg
4001,-1053,3785,16,-
4002,5532,1979,12,-
4003,-1602,4173,14,-
4004,4358,3946,26,-
4005,-1084,3186,14,-
4006,-2368,2150,6,-
4007,1123,1522,15,1
4008,274,3333,25,1
4009,1532,2747,23,1
4010,5565,4218,47,4
4011,-4812,3689,9,-
4012,804,2750,23,-
4013,-4076,3887,13,1
4014,-188,4075,27,-
4015,-1883,2583,11,-
4016,15563,1924,63,1
4017,-4239,3663,10,-
4018,1850,4390,34,-
4019,6943,7067,28,9
4020,3478,6994,15,10
4021,-51,5751,15,12
4022,-1955,4307,9,9
4023,-1944,5073,12,10
4024,-355,6602,20,9
4025,7440,7812,23,15
4026,-2090,5620,14,8
4027,-1120,6242,18,11
4028,-2015,8138,16,17
4029,-250,6058,17,21
4030,-1219,8365,28,23
4031,-9,2089,6,6
4032,1369,8022,25,23
4033,660,4469,20,18
4034,-1452,2098,10,4
4035,-100,93,-,-
4036,-97,1656,10,6
4037,2053,724,21,1
4038,-234,1585,10,6
4039,-2275,3333,25,8
4040,-1514,2154,18,5
4041,-3068,4375,36,12
4042,1500,2545,43,10
4043,2140,8059,67,37
4044,1380,6757,51,36
4045,2541,6802,52,29
4046,96,8066,59,32
4047,-82,6703,51,30
4048,5279,8633,66,51
4049,4086,9016,76,51
4050,3032,8410,62,46
4051,-2088,6657,52,25
4052,8520,9076,89,71
4053,-3932,7174,55,21
4054,-4321,4992,15,2
4055,-116,2652,30,3
4056,2469,5127,72,10
4057,-747,5358,47,8
4058,89,3141,33,4
4059,2665,5482,68,14
4060,6167,4514,96,15
4061,884,3324,43,4
4062,-2730,4727,27,3
4063,-885,1230,5,-
4064,75,1746,5,-
4065,-787,1017,3,-
4066,-1199,3204,11,-
4067,828,1580,4,20
4068,-195,621,1,5
4069,-411,241,-,-
4070,-1187,3021,8,15
4071,-1941,3162,14,-
4072,-1074,1840,7,-
4073,-1440,3101,12,-
4074,-1548,2997,15,7
4075,-58,937,9,4
4076,-1794,2717,8,5
4077,-1150,1361,4,4
4078,-1033,5371,41,4
4079,129,3088,38,2
4080,-265,3613,35,2
4081,-4183,5159,12,1
4082,596,1908,29,-
4083,-2577,2613,13,-
4084,646,4188,52,-
4085,-3066,3783,20,-
4086,-5960,5931,28,-
4087,1504,6751,29,15
4088,-1055,3411,11,4
4089,-1604,4594,10,15
4090,-498,2988,10,5
4091,422,6258,21,16
4092,-174,5337,16,18
4093,2864,8647,33,27
4094,1966,4364,22,8
4095,-129,1133,3,4
4096,1723,5993,24,12
4097,-233,135,-,-
4098,353,1947,6,5
4099,1199,1946,5,11
4100,890,3509,18,17
4101,-573,771,3,2
4102,-1738,2647,12,5
4103,-239,3893,13,7
4104,2099,7591,28,27
4105,307,1524,8,-
4106,2512,6458,30,22
4107,-904,2280,6,5
4108,153,4073,16,9
4109,-67,1506,6,2
4110,210,1832,9,1
4111,-263,455,1,1
4112,443,4721,17,8
4113,294,2141,7,7
4114,3170,7766,30,34
4115,-63,1281,4,2
4116,-1416,2654,4,7
4117,-955,4171,12,6
4118,133,4482,10,16
4119,-1574,3899,21,2
4120,199,3329,14,12
4121,-1830,4827,28,10
4122,225,311,4,3
4123,-2309,4845,4,12
4124,-34,100,-,-
4125,3105,5738,59,26
4126,-196,119,-,-
4127,-436,1133,-,9
4128,1007,2112,9,20
4129,-366,4145,24,23
4130,-616,1226,2,2
4131,-532,1674,11,5
4132,-677,2054,5,2
4133,23,707,6,1
4134,1042,2725,26,16
4135,-1997,5042,22,27
4136,-892,1946,13,4
4137,-884,2127,6,4
4138,1533,2303,73,20
4139,-1188,2250,6,6
4140,-1288,4300,13,7
4141,4,1499,5,3
4142,779,1764,29,-
4143,-76,2465,41,4
4144,-2219,5070,11,15
4145,-1731,1414,6,-
4146,2625,2719,10,9
4147,-402,2625,27,8
4148,5205,6923,45,139
4149,-136,4250,15,12
4150,-1123,3541,8,10
4151,523,6685,26,17
4152,257,4749,18,13
4153,-219,2776,8,9
4154,-1297,4964,13,15
4155,-240,1464,5,1
4156,1346,6059,24,24
4157,-787,1330,2,2
4158,-1486,2278,4,3
4159,1774,7287,30,28
4160,887,4030,17,11
4161,-596,5065,16,15
4162,-415,4918,18,8
4163,-1093,3977,11,8
4164,-881,3276,9,8
4165,-606,808,1,2
4166,1508,7204,28,25
4167,-369,1886,6,5
4168,420,4806,17,17
4169,-21,3935,9,21
4170,313,3268,13,9
4171,-881,1991,6,1
4172,-686,2571,9,3
4173,-1523,2130,4,3
4174,-1165,3784,11,7
4175,3441,5264,29,16
4176,670,6608,27,17
4177,-1020,1402,2,3
4178,-1039,701,-,-
4179,-247,7437,24,27
4180,-213,2477,8,8
4181,-779,2698,8,5
4182,-1043,5505,16,16
4183,-616,1456,3,5
4184,1716,4061,20,13
4185,2484,4234,23,10
4186,-615,2129,5,6
4187,-1116,2315,5,6
4188,415,4265,15,18
4189,509,1785,9,3
4190,-454,2749,8,7
4191,1020,3049,14,9
4192,-557,977,2,2
4193,-850,793,1,-
4194,-606,5988,18,23
4195,-580,841,2,-
4196,1989,5291,25,17
4197,-340,2064,8,1
4198,2117,6460,23,37
4199,-1833,4935,10,19
4200,44,3771,13,13
4201,-1557,2533,5,6
4202,-423,3745,12,15
4203,2627,7397,34,28
4204,2037,6865,31,21
4205,-438,1923,7,2
4206,251,1407,5,7
4207,-337,4612,14,18
4208,-279,1106,4,1
4209,535,2189,10,6
4210,459,2607,13,4
4211,2211,5875,26,29
4212,-416,8160,26,30
4213,-507,3972,16,6
4214,1088,2632,14,5
4215,-1050,7673,24,31
4216,-469,299,-,-
4217,2764,6115,32,17
4218,1589,3246,16,13
4219,-1334,1672,3,3
4220,837,8224,32,29
4221,2951,3756,23,11
4222,266,4795,17,16
4223,-456,1721,6,1
4224,-3599,3761,13,10
4225,1654,5350,44,25
4226,-267,1596,13,2
4227,1523,3562,37,8
4228,-5367,3317,4,5
4229,-2025,2108,9,3
4230,1456,2904,31,8
4231,-1145,2516,17,7
4232,2944,3003,36,11
4233,17,3364,26,11
4234,-4343,3303,7,8
4235,-3164,5525,34,9
4236,-3525,3555,14,7
4237,-1837,1517,4,4
4238,-1699,4291,23,16
4239,-479,3276,24,9
4240,-1208,2132,11,6
4241,-2421,3200,17,5
4242,-1887,1820,7,3
4243,910,3711,34,11
4244,-187,4885,34,18
4245,2105,4385,42,17
4246,-750,3401,20,15
4247,-433,3817,24,16
4248,237,2394,21,6
4249,6896,3859,58,18
4250,333,1663,14,6
4251,-2582,3770,24,1
4252,-483,5138,17,17
4253,-495,590,1,1
4254,-475,1995,5,8
4255,-944,2319,7,2
4256,-1114,1084,1,2
4257,-913,3564,10,10
4258,648,2719,12,7
4259,1065,2270,11,7
4260,-537,3472,11,9
4261,-7,1280,5,3
4262,1042,3991,16,14
4263,905,2954,13,10
4264,-1037,1938,4,4
4265,-451,559,1,-
4266,4375,8260,41,29
total,11761,971850,-,-
