No,Payout,Rotation,Big,Reg
4001,-946,1558,6,-
4002,-558,1963,4,-
4003,94,2960,16,-
4004,-829,2665,10,-
4005,9021,2032,22,-
4006,-3061,3491,13,-
4007,441,1102,9,1
4008,-458,2253,13,1
4009,5711,1693,32,2
4010,1044,1199,12,1
4011,-992,1589,7,-
4012,1682,4047,34,-
4013,-393,2240,14,-
4014,-1185,2225,11,-
4015,6584,2825,40,1
4016,791,3283,26,1
4017,-1470,2238,10,-
4018,-2100,4525,23,1
4019,-1467,3281,8,6
4020,4157,7547,19,15
4021,-919,7409,22,8
4022,495,6554,15,18
4023,-1045,911,1,2
4024,2735,6400,21,15
4025,-3789,5712,17,11
4026,3430,4750,16,8
4027,-1774,1439,2,1
4028,1120,3475,4,10
4029,-445,3945,10,13
4030,-1567,1293,2,1
4031,4391,8046,31,27
4032,2922,6080,26,19
4033,272,3549,14,10
4034,279,2024,17,4
4035,-136,110,-,-
4036,-1305,1805,5,4
4037,-1550,2094,2,8
4038,-832,1459,2,6
4039,680,1238,21,5
4040,-1024,1803,14,4
4041,-284,5214,68,19
4042,-1601,2361,19,6
4043,7627,8405,88,64
4044,2917,7922,65,52
4045,2775,6900,59,39
4046,7946,9124,85,55
4047,-1569,5245,32,15
4048,-3539,6519,36,11
4049,598,3724,30,15
4050,2559,6826,59,39
4051,-2451,4687,28,13
4052,13643,8148,88,75
4053,-153,6655,50,30
4054,-759,2455,16,3
4055,-459,2599,24,2
4056,1176,5265,62,11
4057,-462,1223,11,-
4058,376,1097,13,1
4059,332,3712,40,7
4060,-1060,1359,4,-
4061,-1016,794,1,-
4062,3838,4365,87,8
4063,-511,917,2,-
4064,-334,1084,4,-
4065,-520,1007,3,-
4066,-1083,1363,3,-
4067,-800,645,1,-
4068,-782,1289,4,5
4069,-1343,2005,6,5
4070,325,3019,19,19
4071,-537,2253,14,-
4072,4626,2376,62,-
4073,-219,181,-,-
4074,-729,1374,9,3
4075,-607,1553,10,6
4076,-138,589,3,2
4077,-154,1068,9,5
4078,-1078,2794,15,3
4079,-319,2417,16,2
4080,6266,2282,88,2
4081,-460,5982,57,3
4082,-2426,2699,14,-
4083,-1702,2034,12,-
4084,-2084,1564,4,-
4085,1984,2609,40,-
4086,-4049,3274,10,-
4087,-472,1370,4,-
4088,16,1543,7,2
4089,-239,1581,5,4
4090,-584,1092,3,-
4091,985,3767,14,11
4092,-1027,857,1,1
4093,2593,6774,26,27
4094,-511,2674,7,7
4095,766,6021,19,14
4096,-797,1121,2,-
4097,37,1338,5,2
4098,-573,870,1,2
4099,-657,778,2,1
4100,2187,5935,24,36
4101,-225,827,3,3
4102,-983,1442,4,7
4103,-472,4473,11,19
4104,-347,2192,7,4
4105,-1088,1413,2,4
4106,2530,5395,28,13
4107,-746,3291,9,10
4108,1009,5231,24,12
4109,-277,259,-,1
4110,28,1611,6,4
4111,-131,1262,5,1
4112,-1230,1530,1,5
4113,-443,2442,8,4
4114,-1146,2021,4,5
4115,-486,1272,4,-
4116,-947,738,-,1
4117,2396,6591,29,15
4118,-1240,2998,4,9
4119,288,3573,17,5
4120,-1784,2436,7,3
4121,135,224,2,2
4122,-271,1989,13,3
4123,-1151,1655,-,3
4124,-524,1290,6,2
4125,-1214,4094,17,6
4126,-215,413,2,1
4127,1667,2055,4,33
4128,-1145,1211,1,3
4129,-1500,4454,14,15
4130,-406,506,-,1
4131,1096,3343,35,6
4132,-737,858,1,1
4133,-1346,1575,4,-
4134,770,2276,19,8
4135,-1694,3651,19,12
4136,-671,1451,13,3
4137,-2345,5135,13,14
4138,-342,1446,25,6
4139,-277,1052,1,8
4140,1268,4080,13,7
