No,Payout,Rotation,Big,Reg
4001,-999,1307,2,-
4002,-1311,911,2,-
4003,-818,554,1,-
4004,-884,1423,6,-
4005,1504,608,7,-
4006,-1717,1348,2,-
4007,-1189,1676,7,-
4008,-745,1082,5,-
4009,-853,2376,14,1
4010,-2185,1423,3,-
4011,-406,503,2,-
4012,-2327,2304,8,-
4013,4907,590,19,1
4014,4694,616,20,1
4015,711,875,8,-
4016,3947,1506,24,3
4017,-752,474,1,-
4018,1774,1245,14,-
4019,5837,7356,18,14
4020,8183,4096,10,7
4021,-2148,6107,11,8
4022,-929,2700,7,2
4023,1059,1360,6,3
4024,-1038,3523,12,4
4025,785,1880,4,4
4026,-1231,3634,14,6
4027,119,4227,15,7
4028,-967,1503,2,2
4029,40,6847,30,19
4030,48,226,1,1
4031,-516,546,1,1
4032,1172,4320,22,15
4033,-3284,2879,13,5
4034,-589,1004,9,5
4035,-1497,1213,4,2
4036,-1692,2540,20,7
4037,0,-,-,-
4038,-93,81,-,-
4039,0,-,-,-
4040,-469,439,-,-
4041,638,2054,21,5
4042,51,132,1,1
4043,-2851,6326,44,16
4044,-2325,3729,20,6
4045,310,7020,57,36
4046,-659,1579,10,5
4047,-1076,2929,17,10
4048,9747,8568,81,58
4049,-291,7078,51,24
4050,547,7193,57,38
4051,1480,6193,46,33
4052,837,4436,26,18
4053,-542,7080,50,31
4054,-109,905,10,1
4055,3363,2602,52,8
4056,-186,697,4,1
4057,-1008,1567,7,-
4058,-1373,1182,1,-
4059,-728,601,-,-
4060,5168,2045,56,17
4061,-1367,1524,4,-
4062,-1123,1077,1,-
4063,-143,107,-,-
4064,955,2594,9,-
4065,-225,175,-,-
4066,-412,1298,6,-
4067,-206,94,-,-
4068,-298,198,-,-
4069,-142,84,-,-
4070,-234,189,-,-
4071,-1695,3109,12,-
4072,6,1,-,-
4073,-177,1805,17,-
4074,-110,404,4,2
4075,-183,461,2,1
4076,-208,603,5,1
4077,59,1591,21,2
4078,-1860,3260,14,1
4079,-1063,1838,12,1
4080,876,532,15,1
4081,-1955,3154,16,1
4082,2866,948,29,-
4083,2014,2932,42,-
4084,-1048,806,2,-
4085,1940,4072,59,-
4086,795,1934,27,-
4087,-568,694,1,1
4088,-328,3075,10,8
4089,92,580,3,-
4090,-1028,1479,2,4
4091,-18,3443,12,9
4092,43,4132,14,10
4093,4,888,3,1
4094,5264,6724,37,15
4095,-646,545,-,1
4096,-702,853,1,1
4097,-1191,1218,1,2
4098,-595,450,-,1
4099,-234,143,-,-
4100,-356,698,2,3
4101,-441,305,1,-
4102,-282,177,-,-
4103,-501,1394,3,5
4104,1272,2260,11,6
4105,514,1732,8,2
4106,215,2154,9,3
4107,957,2764,12,15
4108,2293,5125,26,15
4109,142,2609,11,6
4110,1108,2020,10,9
4111,-24,696,3,-
4112,-444,674,1,2
4113,-971,1997,3,5
4114,-246,526,1,1
4115,68,799,3,1
4116,86,492,2,1
4117,2525,5499,23,22
4118,169,1740,5,5
4119,-574,343,-,-
4120,2462,1832,10,12
4121,-169,1333,7,5
4122,-32,17,-,-
4123,-1223,1226,-,2
4124,10,324,2,1
4125,-1083,1326,2,2
4126,-1307,1921,4,2
4127,3342,3433,8,55
4128,-190,114,-,-
4129,-528,2598,8,12
4130,-1653,3808,6,9
4131,-319,207,-,-
4132,-657,959,1,1
4133,-130,123,-,-
4134,-554,1207,3,2
4135,0,-,-,-
4136,-378,291,-,-
4137,-1383,3049,12,4
4138,1854,499,52,6
4139,-356,233,-,-
4140,0,-,-,-
4141,1657,527,11,-
4142,-279,415,3,-
4143,0,-,-,-
4144,-1751,5810,14,22
4145,0,-,-,-
4146,-862,3003,9,7
4147,-365,1132,11,6
4148,-699,651,3,1
4149,895,4038,17,10
4150,-414,2166,6,7
4151,1344,4203,21,11
4152,189,4730,17,12
4153,-467,586,1,-
4154,2942,7949,35,29
4155,-32,1406,4,7
4156,-860,2207,6,6
4157,-1275,4188,10,13
4158,946,3540,15,10
4159,3209,7085,33,26
4160,-308,3249,11,9
4161,1636,1688,14,2
4162,1188,4339,20,8
4163,1350,4425,21,10
4164,2336,4358,22,15
4165,-350,1270,4,2
4166,1273,2746,14,7
4167,-1252,5458,14,18
4168,-338,2975,9,8
4169,887,2614,13,5
4170,-711,1221,3,1
4171,-390,1691,3,9
4172,-1315,1739,3,3
4173,614,2336,11,5
4174,-763,1046,1,3
4175,-435,2267,5,8
4176,-1613,2210,5,-
4177,700,3416,14,12
4178,13,507,2,-
4179,1307,4642,19,18
4180,-1355,1939,2,7
4181,-260,433,1,-
4182,-15,907,4,-
4183,-476,1018,3,-
4184,1285,4013,16,18
4185,240,1640,7,4
4186,-408,412,-,1
4187,-429,1787,6,2
4188,-561,1493,5,2
4189,-858,1138,1,3
4190,601,2577,12,5
4191,583,2228,11,4
4192,-91,258,1,-
4193,491,1518,6,5
4194,193,3151,11,11
4195,487,2590,10,7
4196,252,761,4,-
4197,84,1497,6,3
4198,347,3819,14,11
4199,-438,785,2,2
4200,-481,5778,19,17
4201,-992,5841,16,23
4202,1499,6314,29,20
4203,-657,1037,2,3
4204,-265,1302,5,3
4205,-364,2761,8,10
4206,196,4302,17,12
4207,-411,256,-,-
4208,-355,1847,5,6
4209,2165,3545,21,9
4210,1794,6563,30,22
4211,-771,736,1,1
4212,618,2959,14,5
4213,-964,6566,19,27
4214,-427,863,2,2
4215,-994,4849,15,15
4216,-250,1054,4,2
4217,-256,206,-,-
4218,5058,6479,36,31
4219,-305,714,2,1
4220,-291,2911,11,6
4221,-937,726,-,2
4222,-56,3482,14,7
4223,-236,2467,9,6
4224,658,997,9,6
4225,4283,1985,29,15
4226,106,296,3,1
4227,-817,384,-,-
4228,2053,2778,27,14
4229,-1407,1694,8,3
4230,-904,1887,12,4
