No,Payout,Rotation,Big,Reg
4231,4348,1666,31,10
4232,-659,5854,38,22
4233,-603,542,1,2
4234,1906,2865,28,14
4235,-1349,3887,24,11
4236,1127,2849,27,10
4237,-591,276,-,-
4238,623,1167,11,5
4239,356,3103,26,9
4240,2391,3592,38,16
4241,144,388,2,4
4242,2161,3112,36,8
4243,-1253,964,2,2
4244,2126,2464,30,7
4245,-3028,3402,15,7
4246,-640,508,2,-
4247,1409,1119,17,2
4248,817,1701,17,6
4249,-2700,3931,24,5
4250,-633,307,-,-
4251,-452,2731,20,7
4252,-149,4025,11,17
4253,-236,3260,8,18
4254,-1416,1891,4,3
4255,620,3333,13,11
4256,-491,3797,12,12
4257,-733,563,-,1
4258,-595,3348,8,16
4259,1307,1973,10,7
4260,0,2637,8,12
4261,-489,1429,4,4
4262,-709,3746,12,10
4263,1103,4359,18,14
4264,509,3017,12,12
4265,-76,1801,7,3
4266,-1402,3669,10,11
total,34217,583388,-,-
