No,Payout,Rotation,Big,Reg
4001,1673,3343,24,-
4002,-2138,2183,4,-
4003,-4429,4071,6,-
4004,29,3712,12,-
4005,-1763,3342,12,-
4006,1491,2847,24,1
4007,-5460,3438,5,-
4008,-1590,1185,2,-
4009,335,2274,16,-
4010,-135,1374,8,1
4011,280,2687,19,1
4012,-2398,1681,3,-
4013,777,570,6,1
4014,-1078,1841,10,-
4015,-1021,787,2,-
4016,3231,1770,23,1
4017,-610,1876,11,-
4018,-2931,3418,13,-
4019,225,4784,13,6
4020,-367,1329,4,2
4021,-1739,2099,6,1
4022,1619,3995,11,7
4023,-1563,2396,7,2
4024,2316,5641,16,6
4025,-1652,4053,7,6
4026,1034,3545,6,6
4027,-590,5659,13,8
4028,1187,6450,28,14
4029,-1834,2092,7,1
4030,-2432,4515,19,10
4031,-892,1043,2,2
4032,1784,6112,20,21
4033,-1656,1690,5,1
4034,-21,493,3,2
4035,-623,692,1,1
4036,-1511,2240,7,5
4037,356,2446,25,10
4038,-1085,1824,1,6
4039,-62,2594,31,7
4040,-925,2128,20,4
4041,730,2407,34,4
4042,-1755,2372,16,4
4043,5122,6475,60,41
4044,-1632,5173,33,18
4045,210,8526,67,35
4046,2346,7613,63,45
4047,-1427,6975,50,28
4048,-108,7058,47,31
4049,640,7345,58,31
4050,-913,6173,47,29
4051,-568,5727,40,23
4052,-1899,7218,51,27
4053,1859,7649,76,48
4054,5268,2859,72,14
4055,-177,2023,23,1
4056,-761,827,3,-
4057,-1013,1114,3,-
4058,2336,4429,64,9
4059,-917,1068,2,-
4060,1193,4457,55,9
4061,-789,1176,5,-
4062,166,4659,45,8
4063,-180,168,-,-
4064,416,2733,14,-
4065,-48,69,-,-
4066,-585,2552,10,-
4067,-1715,1911,4,3
4068,243,1209,6,10
4069,12,997,3,5
4070,-1840,2120,8,3
4071,-1097,3565,24,-
4072,2028,2609,39,-
4073,-507,939,6,-
4074,-1021,2458,13,6
4075,-1468,2099,9,5
4076,1618,1993,39,8
4077,153,1755,22,7
4078,-1402,2976,19,3
4079,-1373,1951,5,1
4080,-961,3840,30,2
4081,-2087,5565,36,4
4082,1677,4949,65,-
4083,237,4754,52,-
4084,-3779,3847,19,-
4085,1446,5490,65,-
4086,2429,3825,56,-
4087,-371,3255,11,6
4088,31,2029,8,3
4089,-1630,1696,2,1
4090,-576,1085,3,-
4091,-1935,4100,7,9
4092,221,1163,4,3
4093,-237,3756,11,10
4094,-81,3574,10,12
4095,112,2104,7,4
4096,-316,957,2,2
4097,-1920,1503,-,3
4098,-923,1363,2,3
4099,578,1844,8,10
4100,-540,467,1,-
4101,-136,199,1,-
4102,-741,3505,12,15
