No,Payout,Rotation,Big,Reg
4251,2881,3161,39,9
4252,-75,2526,8,10
4253,1086,2892,13,9
4254,-411,568,1,2
4255,-310,1038,2,4
4256,2957,6365,28,27
4257,-92,172,-,1
4258,337,4935,16,21
4259,-1503,3527,8,9
4260,-220,382,1,-
4261,-458,3072,10,7
4262,-671,662,-,1
4263,1735,3753,20,6
4264,-150,3391,11,11
4265,925,3341,16,6
4266,1863,3534,17,12
total,-15623,580483,-,-
