No,Payout,Rotation,Big,Reg
4001,-771,570,1,-
4002,-137,1034,5,-
4003,-1892,1623,4,-
4004,-281,177,-,-
4005,-704,509,1,-
4006,-220,1214,7,-
4007,308,346,3,-
4008,0,-,-,-
4009,-745,596,1,-
4010,0,-,-,-
4011,61,120,1,-
4012,567,194,4,-
4013,-304,287,1,-
4014,-559,258,-,-
4015,-202,413,2,-
4016,0,-,-,-
4017,1417,591,9,1
4018,274,618,5,-
4019,-319,415,-,2
4020,-618,475,-,1
4021,-435,238,-,-
4022,-10,9,-,-
4023,-158,79,-,-
4024,1205,558,3,1
4025,0,-,-,-
4026,-137,192,2,-
4027,-331,806,3,-
4028,3502,1771,5,3
4029,-113,51,-,-
4030,-304,206,-,-
4031,107,618,1,1
4032,0,-,-,-
4033,1126,2443,12,12
4034,-281,230,-,-
4035,-392,435,-,-
4036,-385,306,-,-
4037,-64,47,-,-
4038,-1390,1621,-,3
4039,-416,242,-,-
4040,5003,306,38,1
4041,-1557,1102,3,2
4042,48,1003,13,3
4043,-233,1019,6,3
4044,-284,275,2,-
4045,391,1901,12,8
4046,-956,1068,5,1
4047,4844,2891,34,29
4048,-187,124,-,-
4049,-961,1679,9,4
4050,-94,92,1,-
4051,-831,1178,5,3
4052,-1083,920,4,1
4053,458,4066,30,22
4054,-1087,843,-,-
4055,-334,313,-,-
4056,-84,87,-,-
4057,-752,1319,9,-
4058,-281,231,1,-
4059,192,688,7,3
4060,-95,66,-,-
4061,426,477,9,2
4062,-262,420,1,-
4063,0,-,-,-
4064,665,297,3,-
4065,-99,89,-,-
4066,0,-,-,-
4067,-119,73,-,-
4068,-624,619,1,-
4069,-12,4,-,-
4070,-48,23,-,-
4071,0,-,-,-
4072,0,-,-,-
4073,0,-,-,-
4074,-377,826,6,2
4075,-627,749,1,1
4076,-80,90,-,-
4077,-252,312,1,1
4078,-47,55,-,-
4079,-186,158,-,-
4080,-610,689,1,-
4081,-1210,3882,27,3
4082,-224,123,-,-
4083,-783,738,4,-
4084,-1991,1676,5,-
4085,-190,126,-,-
4086,-55,419,4,-
4087,-38,658,3,-
4088,-489,349,-,-
4089,-112,1462,3,10
4090,-136,1119,4,3
4091,363,458,3,1
4092,-283,393,1,-
4093,-476,858,2,2
4094,341,895,4,2
4095,127,370,1,1
4096,-188,101,-,-
4097,-31,478,2,1
4098,-140,90,-,-
4099,-139,72,-,-
4100,0,-,-,-
4101,648,571,3,8
4102,-94,60,-,-
4103,6,506,2,1
4104,-27,15,-,-
4105,-288,204,-,-
4106,-347,211,-,-
4107,-59,2250,8,7
4108,-191,553,1,2
4109,0,-,-,-
4110,0,-,-,-
4111,-71,2108,8,4
4112,-300,636,1,2
4113,-330,206,-,-
4114,-544,500,-,2
4115,-141,397,1,1
4116,-103,54,-,-
4117,-390,266,-,-
4118,1353,1033,6,1
4119,0,-,-,-
4120,-89,91,1,-
4121,-805,841,4,1
4122,0,-,-,-
4123,0,-,-,-
4124,-93,75,-,-
4125,0,-,-,-
4126,0,-,-,-
4127,935,1682,3,24
4128,0,-,-,-
4129,-156,2203,12,8
4130,-179,735,-,3
4131,178,166,2,1
4132,0,-,-,-
4133,0,-,-,-
4134,-327,297,-,-
4135,1046,2539,16,23
4136,-37,21,-,-
4137,-299,546,2,1
4138,2175,487,60,5
4139,0,-,-,-
4140,1210,1883,4,4
4141,0,-,-,-
4142,-136,144,-,-
4143,80,61,2,1
4144,0,-,-,-
4145,-92,66,-,-
4146,0,-,-,-
4147,-544,1174,10,5
4148,-22,222,1,-
4149,55,1209,4,4
4150,-110,290,1,-
4151,1189,1898,11,4
4152,-48,20,-,-
4153,884,2440,10,11
4154,-718,2911,8,9
4155,0,-,-,-
4156,-234,4878,17,17
4157,0,-,-,-
4158,429,1445,6,6
4159,-46,53,-,-
4160,100,2983,9,14
4161,0,-,-,-
4162,793,1030,6,3
4163,-486,640,1,1
4164,-404,442,1,-
4165,-64,2195,7,8
4166,355,790,4,3
4167,-16,10,-,-
4168,-127,1300,4,5
4169,-55,244,1,-
4170,-266,266,-,1
4171,633,449,4,-
4172,-213,410,1,1
4173,-328,222,-,-
4174,-476,991,2,3
4175,-75,245,1,-
4176,-443,542,1,-
4177,-285,306,-,1
4178,-305,1680,4,7
4179,2244,3148,16,15
4180,-194,156,-,-
4181,-15,6,-,-
4182,-365,777,2,2
4183,-322,191,-,-
4184,1942,3438,17,13
4185,-159,194,-,1
4186,347,675,2,7
4187,-147,103,-,-
4188,-309,975,3,2
4189,-321,1536,3,9
4190,-382,271,-,-
4191,-230,1406,4,5
4192,202,2701,9,10
4193,320,410,3,-
4194,-73,384,1,1
4195,1523,1205,8,5
4196,766,645,5,1
4197,-711,765,1,1
4198,512,835,5,2
4199,37,949,4,1
4200,-258,810,2,3
4201,-184,1009,2,5
4202,-148,118,-,-
4203,466,965,6,1
4204,-201,1194,4,3
4205,-232,445,1,1
4206,-127,58,-,-
4207,-365,236,-,-
4208,-342,653,2,-
4209,-105,68,-,-
4210,-120,101,-,-
4211,-99,71,-,-
4212,705,2057,9,9
4213,-283,1116,4,2
4214,-94,61,-,-
4215,1082,2528,14,4
4216,237,425,2,2
4217,-20,336,1,1
4218,-9,3,-,-
4219,-69,961,3,3
4220,-227,254,-,1
4221,-18,679,3,1
4222,-424,1964,7,4
4223,197,926,3,5
4224,-836,876,3,2
4225,-431,214,-,-
4226,-743,343,-,-
4227,-850,501,-,1
4228,-842,1203,8,-
4229,473,1630,9,13
4230,-309,136,-,-
4231,177,445,4,2
4232,-742,644,2,1
4233,-1219,1238,5,2
4234,-1388,2492,14,6
4235,-1177,640,-,1
4236,-364,185,-,-
4237,-348,158,-,-
4238,-2731,2291,6,6
4239,-330,159,-,-
4240,3573,1630,23,14
4241,68,437,4,1
4242,-294,136,-,-
4243,-341,166,-,-
4244,2129,1070,16,7
4245,-1163,1077,4,1
4246,76,334,4,-
4247,-193,290,2,-
4248,-588,2065,16,2
4249,-635,381,-,1
4250,-1195,2695,18,5
4251,-99,987,8,2
4252,-75,458,2,-
4253,-94,90,-,-
4254,684,901,5,4
4255,-293,184,-,-
4256,-77,230,1,-
4257,-90,234,1,-
4258,-274,201,-,-
4259,728,1841,9,5
4260,-482,1493,3,6
4261,-176,142,-,-
4262,4,212,1,-
4263,-156,1191,4,2
4264,-148,109,-,-
4265,773,724,6,-
4266,840,809,6,2
total,-11815,183353,-,-
