No,Payout,Rotation,Big,Reg
4001,-1094,3549,12,-
4002,-1189,693,-,-
4003,802,525,3,-
4004,-1836,1655,2,-
4005,7402,3364,20,-
4006,-1431,945,2,-
4007,-1944,1711,5,-
4008,-719,668,2,-
4009,3604,972,20,1
4010,-1482,1577,5,-
4011,1224,543,7,1
4012,-1792,1259,2,-
4013,-1063,742,1,-
4014,-515,400,1,-
4015,1872,2521,21,-
4016,68,627,5,-
4017,-267,148,-,-
4018,-578,2867,18,1
4019,614,5226,16,10
4020,12,4741,17,9
4021,-1032,6956,21,17
4022,-2159,2012,3,3
4023,1879,3314,10,4
4024,3337,7088,20,15
4025,-529,389,-,1
4026,8283,6431,24,12
4027,-986,2494,12,5
4028,254,5615,18,9
4029,-56,35,-,-
4030,-1011,914,2,1
4031,414,2241,7,6
4032,-427,569,3,-
4033,-83,137,1,-
4034,-98,93,-,-
4035,1247,249,11,1
4036,3,215,1,1
4037,-422,2080,8,11
4038,-132,1195,9,4
4039,6868,3694,96,19
4040,-1771,1580,8,3
4041,-2309,3908,34,13
4042,-1007,1966,18,4
4043,-1348,1303,8,1
4044,-792,4169,30,15
4045,-2092,2536,16,6
4046,-1361,3685,23,13
4047,-23,6667,49,32
4048,-1998,2810,22,8
4049,42,1855,11,8
4050,-1588,5515,39,21
4051,-1855,2543,17,5
4052,535,3987,33,21
4053,1666,7099,48,36
4054,-137,1193,11,1
4055,-151,385,3,-
4056,-234,341,2,-
4057,-315,1257,13,1
4058,-348,1796,15,2
4059,-1131,1140,1,-
4060,-198,258,1,-
4061,-1281,1315,1,-
4062,-436,525,2,-
4063,286,693,6,-
4064,-305,1757,6,-
4065,395,306,2,-
4066,159,996,4,-
4067,0,-,-,-
4068,477,534,2,5
4069,-200,151,-,-
4070,-69,42,-,-
4071,-336,1488,15,-
4072,-561,1633,11,-
4073,-777,710,1,-
4074,1177,2109,36,6
4075,-21,185,1,1
4076,-336,969,5,3
4077,-303,506,1,1
4078,1155,436,13,2
4079,1,584,7,1
4080,-298,333,-,-
4081,-2110,2556,7,-
4082,-1910,1371,3,-
4083,-684,525,2,-
4084,-762,519,1,-
4085,419,786,10,-
4086,-1486,2014,12,-
4087,-55,2928,12,3
4088,-1219,931,-,1
4089,-10,2565,9,6
4090,-393,268,-,-
4091,-456,2369,6,7
4092,-760,1432,3,4
4093,583,3685,12,10
4094,-444,260,-,-
4095,-202,899,3,-
4096,-544,638,-,3
4097,1318,3929,14,10
4098,-555,729,1,1
4099,-260,2301,9,9
4100,-425,273,1,-
4101,-1195,991,-,3
4102,-1207,2766,11,5
4103,1323,5269,22,10
4104,-235,153,-,-
4105,120,1833,6,6
4106,500,2365,7,12
4107,-56,522,2,1
4108,-552,1780,5,5
4109,-176,2219,7,8
4110,163,99,1,-
4111,-80,80,-,-
4112,-1413,3120,6,8
4113,-295,230,-,1
4114,870,1197,6,3
4115,-754,818,1,1
4116,-216,139,-,-
4117,-22,1561,5,4
4118,-235,365,1,-
4119,-4,6138,28,11
4120,0,-,-,-
4121,-748,556,2,-
4122,556,1422,15,7
4123,-787,1030,-,2
4124,-516,1405,7,3
4125,0,-,-,-
4126,1749,3379,27,10
4127,-1586,1202,1,1
4128,1535,1898,5,26
4129,1389,3542,25,17
4130,1438,4164,13,9
4131,-330,366,-,-
4132,-299,2956,13,6
4133,-303,1855,14,5
4134,-270,2433,16,6
4135,-1909,4366,17,20
4136,-250,1175,6,5
4137,-720,935,2,2
4138,-285,216,-,-
4139,1236,1381,5,16
4140,-69,2263,10,4
4141,-813,902,6,1
4142,2075,510,26,-
4143,-109,163,-,-
4144,834,2072,8,14
4145,1309,2254,9,11
4146,488,2892,12,9
4147,-531,1112,9,6
4148,-420,1438,10,9
4149,2945,8163,35,32
4150,-601,666,1,-
4151,-1274,2119,4,8
4152,-486,3931,13,10
4153,-910,1449,4,-
4154,-571,1700,6,2
4155,-3059,3288,3,6
4156,-880,1730,4,3
4157,-893,1523,3,3
4158,516,3883,13,17
4159,469,5431,18,18
4160,262,2601,10,8
4161,-132,3049,10,10
4162,19,4218,16,10
4163,-96,7124,23,25
4164,-410,2732,9,5
4165,2701,4576,25,12
4166,1510,1675,9,11
4167,2822,7061,31,27
4168,-686,545,-,1
4169,-763,549,-,-
4170,228,1329,6,3
4171,198,1816,8,4
4172,-461,937,3,-
4173,429,1692,7,7
4174,-81,720,3,1
4175,-718,3972,13,10
4176,1106,6611,26,20
4177,-608,446,-,1
4178,-689,3170,9,10
4179,-366,770,2,1
4180,123,4091,14,12
4181,-684,852,1,1
4182,-359,1822,7,1
4183,2469,4655,25,11
4184,104,1823,7,5
4185,166,1848,7,5
4186,-452,425,-,1
4187,1519,2734,14,9
4188,-682,449,-,-
4189,1212,2042,11,5
4190,-93,2147,6,8
4191,66,583,3,-
4192,3021,2956,17,15
4193,-240,479,1,1
4194,-564,2631,8,7
4195,5052,6016,34,25
4196,1012,1079,7,1
4197,-71,4236,15,12
4198,-973,1605,3,3
4199,-936,1591,3,5
4200,-588,3073,8,9
4201,-331,2240,7,6
4202,-561,5640,14,31
4203,13,5255,19,17
4204,-805,3866,11,13
4205,-808,1262,2,3
4206,-207,1578,6,3
4207,-563,765,2,-
4208,2517,2909,17,12
4209,-300,284,-,1
4210,-122,1813,7,5
4211,937,6325,26,25
4212,-119,877,3,2
4213,-194,4641,17,13
4214,-12,4669,16,18
4215,-315,780,2,2
4216,-440,347,-,1
4217,1744,3075,17,7
4218,-193,110,-,-
4219,936,7024,27,29
4220,-655,472,-,-
4221,72,1747,6,6
4222,-709,3435,11,11
4223,-439,2418,8,7
4224,-2329,1705,4,3
4225,-624,987,6,1
4226,2597,4021,37,22
4227,-627,290,-,-
4228,-1329,708,1,-
4229,258,2160,17,8
4230,-2226,2439,9,8
4231,284,574,5,3
4232,5156,2050,35,14
4233,1991,5324,53,13
4234,-1338,1595,8,2
4235,-1782,2319,13,3
4236,-202,850,5,3
4237,-860,2314,15,6
4238,-1919,1248,3,1
4239,1454,2162,23,8
4240,-959,1276,6,3
4241,324,1489,11,7
4242,652,1908,14,11
4243,725,601,7,3
4244,2418,4273,43,16
4245,-2814,1846,3,3
4246,2521,1968,26,8
4247,265,688,7,2
4248,-934,4626,31,15
4249,-1507,1389,4,4
4250,-2763,4170,23,7
4251,3468,3103,34,20
4252,-563,1503,4,4
4253,-612,963,2,1
4254,-1118,2171,6,4
4255,-628,1168,3,1
4256,-329,1810,6,4
4257,117,3243,12,9
4258,173,3847,14,12
4259,-399,959,3,1
4260,-699,1852,4,7
4261,704,5080,18,19
4262,-426,1107,3,2
4263,-258,572,2,-
4264,554,2136,8,9
4265,-450,970,2,2
4266,308,3722,14,12
total,-7062,549560,-,-
