lotno,payout,rotation
4001,-501,722
4002,932,1574
4003,342,1329
4004,-632,513
4005,-346,341
4006,-668,538
4007,2341,1810
4008,2545,7113
4009,-819,3152
4010,-3211,5770
4011,-3452,4285
4012,-2652,3045
4013,-1820,3205
4014,-2265,2746
4015,-547,3730
4016,701,6649
4017,41,3477
4018,-2038,5939
4019,-694,3730
4020,-2266,3962
4021,-1835,2585
4022,-883,896
4023,-442,5910
4024,-418,327
4025,-859,3131
4026,-1378,1553
4027,-2254,3531
4028,0,-
4029,-897,1468
4030,1566,624
4031,0,-
4032,1423,2434
4033,363,4329
4034,-744,758
4035,-1050,1994
4036,-2465,4037
4037,-738,1502
4038,-346,2326
4039,-777,821
4040,1698,2047
4041,-191,1538
4042,-688,630
4043,-325,723
4044,-891,1643
4045,1430,4878
4046,-276,4374
4047,0,-
4048,-768,2840
4049,9039,3351
4050,-2098,3518
4051,3519,6075
4052,-286,213
4053,3581,4138
4054,-119,1835
4055,-229,486
4056,-297,1231
4057,-224,116
4058,-264,1173
4059,-1034,3321
4060,1448,1544
4061,-369,318
4062,2666,2115
4063,0,-
4064,174,761
4065,325,3388
4066,-143,109
4067,109,847
4068,722,2344
4069,-74,316
4070,-1459,1886
4071,-915,942
4072,-1752,2251
4073,388,497
4074,-416,1124
4075,2318,3147
4076,481,706
4077,1050,435
4078,-562,1010
4079,-317,427
4080,-1298,767
4081,-245,662
4082,-708,438
4083,-1712,1502
4084,-1178,1139
4085,-527,396
4086,-593,508
4087,-856,792
4088,1088,411
4089,-952,705
4090,-1770,1250
4091,-569,438
4092,2031,308
4093,-673,746
4094,-3476,1827
4095,-1846,1333
4096,-1010,777
4097,-688,573
4098,-681,624
4099,1301,646
4100,101,101
4101,-592,519
4102,83,2802
4103,-2331,1675
4104,1473,916
4105,-766,579
4106,-352,372
4107,5722,151
4108,-1135,972
4109,-802,1749
4110,-1544,1544
4111,-1688,1282
4112,-371,448
4113,-1881,1040
4114,-1195,1151
4115,-1841,995
4116,1330,1080
4117,-2054,1216
4118,-1775,2210
4119,558,1896
4120,-884,1991
4121,2011,837
4122,-94,335
4123,-853,996
4124,-110,395
4125,-911,662
4126,-942,1555
4127,-1844,1232
4128,-1846,1773
4129,-660,617
4130,2538,2425
4131,-478,472
4132,-2113,3669
4133,1773,3975
4134,1198,3122
4135,-1034,2952
4136,-1498,3210
4137,2235,2285
4138,-671,1291
4139,-292,415
4140,-2071,3722
4141,-1668,2847
4142,1453,1318
4143,-1871,1814
4144,-562,2283
4145,-1109,2428
4146,0,-
4147,-1026,2170
4148,-876,1183
4149,100,2053
4150,-921,2616
4151,-23,1384
4152,493,5101
4153,-636,2032
4154,145,2387
4155,-317,1152
4156,-108,2209
4157,-395,574
4158,-1552,4429
4159,-81,1319
4160,79,1789
4161,-306,1744
4162,263,2449
4163,1690,6811
4164,-1712,2438
4165,3760,7954
4166,-970,1850
4167,861,6746
4168,-420,360
4169,754,2329
4170,-723,2878
4171,0,2350
4172,-183,1103
4173,1466,6995
4174,626,1816
4175,-1051,3593
4176,210,5332
4177,-230,446
4178,-1370,4950
4179,-141,504
4180,-52,2820
4181,-88,490
4182,251,673
4183,-166,5052
4184,-525,1807
4185,264,781
4186,450,5839
4187,-275,416
4188,-1101,1160
4189,1896,4059
4190,911,3467
4191,143,907
4192,-293,1103
4193,474,4525
4194,-267,194
4195,-546,769
4196,-1023,3002
4197,-81,2079
4198,1100,4623
4199,-678,2750
4200,-2233,3162
4201,1458,5724
4202,586,4570
4203,-1184,2241
4204,1230,4090
4205,319,4764
4206,706,2960
4207,-530,5366
4208,591,5087
4209,-440,691
4210,-50,862
4211,-993,910
4212,671,3063
4213,-685,3101
4214,-372,483
4215,-210,825
4216,-737,3484
4217,1988,1875
4218,232,3915
4219,307,1583
4220,-368,711
4221,170,2906
4222,146,1469
4223,-202,3757
4224,1201,2092
4225,-2910,1894
4226,-826,1476
4227,-1655,1724
4228,-162,617
4229,-3157,3901
4230,-1024,1564
4231,-380,2041
4232,-1866,1138
4233,1895,799
4234,1576,1660
4235,1582,909
4236,-730,339
4237,-101,910
4238,-786,3236
4239,2657,1300
4240,-3956,2500
4241,-542,752
4242,99,452
4243,-468,661
4244,303,1674
4245,286,1962
4246,-1074,2698
4247,-470,1293
4248,-955,1472
4249,1623,2680
4250,-570,688
4251,-388,2292
4252,-647,5803
4253,-830,640
4254,-520,3352
4255,-143,2447
4256,-993,2395
4257,-283,842
4258,-690,1370
4259,181,6117
4260,858,5777
4261,-1492,6230
4262,1694,7636
4263,-724,2645
4264,873,4123
4265,-719,1479
4266,1332,6602
total,-59918,566657
