lotno,payout,rotation
4001,-561,592
4002,13057,4215
4003,-430,261
4004,-575,973
4005,-663,758
4006,-85,350
4007,-182,711
4008,-1085,3772
4009,-628,5842
4010,-607,5392
4011,-2711,6964
4012,-871,3382
4013,4748,6488
4014,-36,6498
4015,-567,3032
4016,1076,6579
4017,-382,5558
4018,-821,6730
4019,-1693,4136
4020,1697,2395
4021,1765,5000
4022,-1253,1585
4023,737,6051
4024,-901,1637
4025,2570,2382
4026,-145,6437
4027,-3253,3577
4028,0,-
4029,-2,21
4030,-839,2436
4031,0,-
4032,-1220,2345
4033,-358,1779
4034,8018,2520
4035,-240,1011
4036,-448,2162
4037,-2345,3368
4038,-1799,2926
4039,-1976,2149
4040,-538,1255
4041,109,3614
4042,-660,599
4043,628,1144
4044,-942,2525
4045,1981,2831
4046,-1770,5547
4047,-337,309
4048,-2544,3249
4049,10681,3116
4050,-2350,2377
4051,-2177,3179
4052,10141,3081
4053,2586,4334
4054,6057,7224
4055,-967,1443
4056,-1703,1255
4057,-1365,2094
4058,-2656,2958
4059,-1248,1797
4060,-1577,1581
4061,1042,3681
4062,-384,482
4063,-103,431
4064,-394,2518
4065,-261,214
4066,-96,93
4067,-1604,2809
4068,-231,139
4069,496,1386
4070,-3316,2447
4071,846,3643
4072,-1114,1411
4073,-2386,2559
4074,-2581,4739
4075,-3104,4125
4076,195,1273
4077,-2241,2463
4078,-1581,1540
4079,426,263
4080,1746,6840
4081,-145,106
4082,-262,151
4083,-539,321
4084,992,716
4085,551,1638
4086,-1293,1456
4087,1356,1368
4088,-498,404
4089,-1428,1137
4090,-3596,2656
4091,-3746,6482
4092,-575,431
4093,-160,1534
4094,4056,1787
4095,-1866,1188
4096,-690,667
4097,5049,965
4098,-13,1546
4099,-1564,954
4100,3378,1159
4101,12301,572
4102,-2277,1478
4103,-1145,765
4104,-1088,1439
4105,2829,1648
4106,-1986,1285
4107,3745,478
4108,-1476,1631
4109,-345,967
4110,3604,1397
4111,2229,2822
4112,-2089,1619
4113,2683,2082
4114,-1326,818
4115,3173,1095
4116,-569,280
4117,691,2422
4118,-801,935
4119,-14,367
4120,-144,373
4121,955,1483
4122,1832,3143
4123,-900,1041
4124,-637,587
4125,-349,1385
4126,-411,882
4127,-1155,1012
4128,-901,1911
4129,170,343
4130,522,1664
4131,-1157,1365
4132,-286,1342
4133,-1953,3961
4134,1103,5403
4135,-2028,4945
4136,705,3910
4137,-1062,1151
4138,-168,201
4139,-275,590
4140,-1257,6610
4141,342,5043
4142,-767,670
4143,-1838,3366
4144,496,986
4145,-1311,1550
4146,869,1143
4147,-1038,1656
4148,1223,3992
4149,-615,2469
4150,-1038,1725
4151,-917,1915
4152,529,2777
4153,-574,2322
4154,-159,2682
4155,1510,5525
4156,-964,1435
4157,122,1614
4158,-143,3184
4159,-705,2129
4160,-716,1812
4161,-457,1182
4162,-212,3177
4163,-107,4007
4164,-928,5532
4165,-1212,1962
4166,262,7078
4167,-195,3020
4168,-482,1631
4169,1491,5680
4170,-173,859
4171,169,4542
4172,-204,1200
4173,623,3065
4174,-74,972
4175,61,2203
4176,-219,1387
4177,1632,6723
4178,-762,587
4179,1233,4378
4180,-797,4195
4181,-478,852
4182,-835,1615
4183,102,1924
4184,109,4688
4185,-127,3009
4186,-641,3589
4187,-304,4458
4188,-900,2030
4189,-360,2271
4190,-72,5112
4191,-665,692
4192,-543,1702
4193,-923,1062
4194,-864,1106
4195,-214,2860
4196,430,6138
4197,-768,829
4198,-197,1616
4199,-658,2327
4200,-1479,1481
4201,-2363,4338
4202,-211,1422
4203,469,4325
4204,977,5030
4205,-292,6160
4206,-648,521
4207,-180,4790
4208,-584,394
4209,649,7034
4210,-360,1858
4211,451,5521
4212,-739,3304
4213,713,5273
4214,-348,523
4215,-948,3654
4216,-389,2474
4217,736,2089
4218,322,3736
4219,-1174,1633
4220,-1038,944
4221,1175,4765
4222,-706,720
4223,-2306,2393
4224,3244,3285
4225,-678,830
4226,3782,2362
4227,539,1066
4228,748,2615
4229,-772,1183
4230,1973,3160
4231,-1271,1127
4232,1056,982
4233,-3132,3166
4234,-1129,3526
4235,-2793,2084
4236,-532,1744
4237,-168,374
4238,-88,3605
4239,1768,712
4240,1769,926
4241,1444,3776
4242,609,427
4243,-1493,1580
4244,325,1682
4245,-1637,1479
4246,-983,1771
4247,-838,1292
4248,-280,1988
4249,-151,3015
4250,-1096,599
4251,-2957,2586
4252,-715,4072
4253,-560,1652
4254,-125,1215
4255,229,4735
4256,32,2550
4257,-426,620
4258,534,2834
4259,-393,902
4260,-1859,4054
4261,1028,4935
4262,-1348,4654
4263,874,2344
4264,-690,5459
4265,-92,1299
4266,-586,3472
total,-15618,646026
