lotno,payout,rotation
4001,-1752,4979
4002,-4041,3500
4003,-1033,5446
4004,-2665,5244
4005,-1677,5441
4006,-750,5391
4007,1185,5120
4008,1735,8278
4009,-4790,7850
4010,-79,7658
4011,-4479,7755
4012,-1299,6748
4013,-2445,8495
4014,-531,8538
4015,217,7493
4016,7165,8851
4017,-1677,7715
4018,4016,7719
4019,1869,4534
4020,5176,5177
4021,10758,3715
4022,-2230,6982
4023,1723,5521
4024,1822,5696
4025,-305,6454
4026,16708,2481
4027,8075,3890
4028,-2159,5148
4029,-235,2666
4030,793,5055
4031,-1575,4696
4032,933,6566
4033,-493,6870
4034,-1675,6746
4035,-64,6240
4036,-1396,6364
4037,-1373,5076
4038,-6902,5361
4039,-2775,5178
4040,1105,5151
4041,-2674,5537
4042,-1132,5686
4043,652,5295
4044,-3884,5420
4045,33,5744
4046,6958,4386
4047,7673,3575
4048,5144,4547
4049,19074,2226
4050,4174,6235
4051,1592,5115
4052,7629,4097
4053,-2321,6809
4054,750,6879
4055,3534,6931
4056,4244,4970
4057,2648,6402
4058,-2639,5497
4059,623,7451
4060,-698,6718
4061,3349,6488
4062,-1287,5441
4063,-434,4659
4064,-1777,4772
4065,2899,8480
4066,5185,3841
4067,3466,3776
4068,398,2204
4069,-1750,3618
4070,-423,4065
4071,-1839,7560
4072,-4004,4317
4073,-2818,4364
4074,3514,6591
4075,-782,4913
4076,-861,4804
4077,-2901,3193
4078,-2537,5263
4079,-541,4452
4080,4933,7505
4081,7868,7878
4082,3557,7739
4083,-1754,5794
4084,4712,8349
4085,-3618,6912
4086,-1855,7506
4087,-3051,4495
4088,-576,4103
4089,3972,3821
4090,-1363,3275
4091,-3023,4063
4092,-3966,3508
4093,-2864,3123
4094,-3084,4746
4095,1922,2977
4096,-2054,2942
4097,1688,4052
4098,-988,5378
4099,-938,4853
4100,1863,3816
4101,173,3614
4102,-3625,5748
4103,11708,2817
4104,-1684,3484
4105,781,4385
4106,-1387,3732
4107,864,4177
4108,-2182,3796
4109,443,3039
4110,3736,3876
4111,-1297,1911
4112,-4191,5829
4113,2045,4072
4114,31,3723
4115,-2673,3440
4116,-3535,5220
4117,-4426,5384
4118,-3203,5166
4119,-2196,6992
4120,-1826,4089
4121,1594,4272
4122,-1825,5374
4123,-2582,3489
4124,-3727,4012
4125,1226,4296
4126,-2819,3494
4127,-3485,4370
4128,-2812,3682
4129,919,4066
4130,-688,4256
4131,938,5259
4132,2228,2609
4133,-1950,6072
4134,-2337,6296
4135,-3024,3415
4136,-2296,5646
4137,2348,7367
4138,830,4135
4139,760,4190
4140,-2199,3809
4141,-1461,4480
4142,-3567,4413
4143,-2549,3641
4144,-1833,4087
4145,-2349,5604
4146,-3989,7459
4147,-2449,7130
4148,5150,8596
4149,2656,8436
4150,-1188,8278
4151,1696,9115
4152,1702,8542
4153,4841,8360
4154,6184,8580
4155,357,8021
4156,6509,8524
4157,2139,8074
4158,2280,8721
4159,3438,7303
4160,-342,4229
4161,535,6978
4162,-237,5438
4163,-108,6332
4164,-1260,4476
4165,-2083,4689
4166,-5,4014
4167,924,6095
4168,2954,8483
4169,3192,7314
4170,-269,7327
4171,-2312,6336
4172,2629,7317
4173,878,7278
4174,931,6322
4175,618,7295
4176,521,8509
4177,974,4933
4178,176,7476
4179,469,5960
4180,-1391,5127
4181,-607,5815
4182,-695,5162
4183,-382,4869
4184,-630,8167
4185,2556,6932
4186,-2104,4118
4187,0,-
4188,270,7214
4189,-1780,5035
4190,-662,2709
4191,3019,7011
4192,3234,6822
4193,92,5133
4194,-1269,6400
4195,1238,7647
4196,738,3774
4197,-113,4401
4198,-786,6603
4199,796,4462
4200,-247,6130
4201,1565,6939
4202,342,8228
4203,647,6379
4204,3702,8448
4205,-2577,6280
4206,493,6355
4207,-3061,6356
4208,-725,6411
4209,-648,4352
4210,-258,6887
4211,846,6958
4212,-2809,4861
4213,310,5547
4214,-1085,4793
4215,639,5259
4216,188,5140
4217,-44,6249
4218,1286,6236
4219,-2598,4633
4220,1229,7042
4221,1725,6993
4222,367,5138
4223,-473,7232
4224,-452,3974
4225,-2099,4014
4226,-3867,2640
4227,237,4964
4228,-1591,4409
4229,-4791,5514
4230,3652,3186
4231,6180,4566
4232,-4,5004
4233,-2841,4829
4234,2278,4317
4235,2810,3914
4236,-1776,4348
4237,-2183,4155
4238,8324,4318
4239,-1158,3531
4240,-2281,2900
4241,-3723,4961
4242,-574,4986
4243,-1434,2812
4244,8001,3510
4245,-1155,4437
4246,-87,2724
4247,3290,4431
4248,-364,3138
4249,2402,4088
4250,-1007,3074
4251,635,4838
4252,342,7483
4253,-3137,6022
4254,966,7232
4255,-743,7080
4256,423,5539
4257,3981,7251
4258,116,5707
4259,2348,6532
4260,1145,6802
4261,342,6584
4262,1642,7019
4263,-1127,7084
4264,514,5838
4265,-550,6170
4266,225,7568
total,72152,1455452
