lotno,payout,rotation
4001,3419,3147
4002,-370,247
4003,-559,4466
4004,-754,641
4005,8135,3510
4006,349,1853
4007,-154,1409
4008,5995,8488
4009,-2496,3911
4010,5431,5801
4011,2390,6881
4012,-1461,6827
4013,352,7412
4014,-1937,3805
4015,-1228,5579
4016,-2284,7011
4017,334,4039
4018,-2727,6322
4019,2062,4074
4020,10782,4647
4021,3661,5119
4022,2484,4322
4023,2146,5535
4024,-669,5685
4025,6167,5146
4026,-826,5804
4027,7894,5352
4028,-594,694
4029,-213,939
4030,-648,1374
4031,-559,1765
4032,-101,3756
4033,597,3968
4034,2726,2835
4035,-583,3096
4036,-1783,4646
4037,-944,1402
4038,-2191,2199
4039,-43,1106
4040,72,911
4041,4047,4254
4042,461,503
4043,-911,1024
4044,642,1681
4045,-1117,1469
4046,498,6014
4047,-876,2084
4048,-182,4831
4049,2281,3836
4050,-4224,4392
4051,-1052,4747
4052,13036,3345
4053,-1813,4863
4054,3949,5677
4055,4526,4655
4056,941,2976
4057,-777,2541
4058,-1285,1160
4059,3876,6291
4060,-19,983
4061,2582,3344
4062,3470,8261
4063,1867,3259
4064,-2861,3491
4065,-3495,6512
4066,636,5200
4067,39,335
4068,-3309,4083
4069,-243,253
4070,-2481,2526
4071,-860,1362
4072,2199,4862
4073,-755,1034
4074,-1158,997
4075,-775,991
4076,2179,4138
4077,-191,141
4078,1017,2010
4079,79,1986
4080,184,2883
4081,-2369,2096
4082,-2694,4059
4083,1412,2539
4084,1390,2518
4085,-2053,3273
4086,-1214,5671
4087,-1603,2663
4088,-62,1141
4089,-2445,1489
4090,-267,387
4091,-1457,1219
4092,-1616,977
4093,1234,491
4094,-2072,1253
4095,-2132,1421
4096,-1447,929
4097,-1195,670
4098,-1213,794
4099,-123,2846
4100,-176,104
4101,538,2109
4102,-1029,824
4103,-1698,1121
4104,-1444,2575
4105,-2049,2237
4106,4954,594
4107,-1007,548
4108,-889,777
4109,666,2126
4110,-659,283
4111,-2867,2053
4112,4780,395
4113,1233,640
4114,1209,2336
4115,106,2187
4116,-1248,1011
4117,-2283,2033
4118,-1614,2547
4119,-298,1323
4120,-1774,1971
4121,2692,2345
4122,-60,1717
4123,-687,832
4124,-485,2414
4125,-463,267
4126,614,1837
4127,0,-
4128,926,4204
4129,97,553
4130,-257,244
4131,810,2826
4132,-1199,1309
4133,363,3297
4134,-1049,4539
4135,-179,697
4136,-1969,5956
4137,1045,2298
4138,-303,1276
4139,681,4432
4140,-427,3181
4141,-977,1069
4142,-57,1817
4143,-3130,2698
4144,978,1759
4145,-1192,1647
4146,1685,6730
4147,1020,4646
4148,-1582,1768
4149,-558,4229
4150,-1876,2019
4151,-1282,4933
4152,3544,5431
4153,-957,2626
4154,1596,4644
4155,66,3501
4156,1825,6266
4157,-601,5018
4158,417,6300
4159,223,2791
4160,-1242,2376
4161,-1629,1739
4162,-165,4172
4163,-1145,4485
4164,-574,575
4165,-1639,6150
4166,-370,430
4167,872,2633
4168,-2636,2823
4169,302,1724
4170,-1172,3326
4171,-93,4498
4172,259,1115
4173,-273,1457
4174,1614,7834
4175,2467,4993
4176,-1251,1059
4177,650,5115
4178,-840,750
4179,3767,6042
4180,-631,6093
4181,383,2629
4182,-487,3491
4183,-180,3206
4184,-1311,1516
4185,2913,4551
4186,11,2360
4187,-405,3812
4188,1642,3934
4189,191,4180
4190,860,3600
4191,-895,1096
4192,1848,5542
4193,-1265,1799
4194,-160,1564
4195,-835,4145
4196,-623,2325
4197,881,2475
4198,-1453,2351
4199,344,4186
4200,178,4286
4201,-471,2705
4202,5420,5300
4203,651,5028
4204,-712,1199
4205,-188,3016
4206,169,5550
4207,125,5193
4208,-1341,1569
4209,-1110,1215
4210,1347,4917
4211,-167,1004
4212,1203,8603
4213,-1318,3934
4214,-217,2539
4215,-601,2971
4216,-1338,1077
4217,-447,3111
4218,525,3703
4219,-430,2428
4220,2936,5339
4221,-325,3390
4222,-1491,2056
4223,-564,4552
4224,2707,3490
4225,-640,1422
4226,-1329,3376
4227,-2675,2129
4228,-2459,2489
4229,1783,3384
4230,-1563,4001
4231,2241,3373
4232,-256,3095
4233,931,3279
4234,-2862,2838
4235,884,3088
4236,-60,2997
4237,-1662,2949
4238,-79,2201
4239,3767,2421
4240,-1699,4059
4241,-769,2239
4242,-1447,3346
4243,-184,2514
4244,2185,2359
4245,0,-
4246,-2559,1700
4247,-2460,2620
4248,-1422,1694
4249,2950,1800
4250,-1951,2408
4251,-2267,3855
4252,-1117,4003
4253,-250,1837
4254,-275,4295
4255,-399,1392
4256,-2,2662
4257,-580,1301
4258,1399,6220
4259,335,1854
4260,-1492,5065
4261,322,2045
4262,-2016,6307
4263,-645,3790
4264,-430,3380
4265,-914,4455
4266,-2459,6284
total,15960,803916
