No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-780,882,3,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-749,421,-,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1207,1034,1,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-34,22,-,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2005,1359,2,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-499,907,4,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-695,783,3,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-46,19,-,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4519,494,20,1
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,273,531,4,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1045,842,2,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1347,1924,8,1
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,0,-,-,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4138,54,13,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-232,103,-,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,470,988,9,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,344,675,6,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3710,291,15,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-657,556,1,1
4020,魔法少女まどか☆ﾏｷﾞｶ,-465,1533,5,2
4021,魔法少女まどか☆ﾏｷﾞｶ,-1164,1752,3,3
4022,魔法少女まどか☆ﾏｷﾞｶ,868,986,3,1
4023,魔法少女まどか☆ﾏｷﾞｶ,4887,2271,8,4
4024,魔法少女まどか☆ﾏｷﾞｶ,-809,812,3,3
4025,魔法少女まどか☆ﾏｷﾞｶ,-258,914,2,1
