No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-722,553,1,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-497,724,2,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1663,2256,8,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-409,306,1,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2706,1955,11,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1251,800,1,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-745,1310,7,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,481,956,8,1
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-291,3253,22,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-236,122,-,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1566,1072,2,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,229,1211,10,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-82,542,4,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-314,1859,11,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-765,840,3,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1099,645,1,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-714,2095,13,1
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-90,888,5,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-2141,2843,10,1
4020,魔法少女まどか☆ﾏｷﾞｶ,-1431,1816,2,4
4021,魔法少女まどか☆ﾏｷﾞｶ,1923,3253,9,6
4022,魔法少女まどか☆ﾏｷﾞｶ,4692,5696,23,15
4023,魔法少女まどか☆ﾏｷﾞｶ,79,805,1,1
4024,魔法少女まどか☆ﾏｷﾞｶ,-1226,2058,5,4
4025,魔法少女まどか☆ﾏｷﾞｶ,-29,4430,15,4
4026,魔法少女まどか☆ﾏｷﾞｶ,1494,4190,8,6
4027,魔法少女まどか☆ﾏｷﾞｶ,362,1358,2,4
4028,魔法少女まどか☆ﾏｷﾞｶ,458,1685,4,3
4029,魔法少女まどか☆ﾏｷﾞｶ,-2174,3756,13,7
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-405,2428,8,10
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-137,88,-,-
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-267,718,2,2
4033,SLOT魔法少女まどかﾏｷﾞｶ2,1979,4061,12,12
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-259,374,2,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-19,12,-,-
4036,SLOT魔法少女まどかﾏｷﾞｶ2,928,2542,9,10
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,963,858,19,5
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-20,41,-,-
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-784,987,6,2
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-143,1148,12,2
4041,ﾊﾟﾁｽﾛ北斗　転生の章,3971,1487,45,4
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-352,220,-,-
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,337,4814,38,20
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-954,1895,9,5
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1099,6727,60,34
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-727,1578,12,6
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,412,3811,27,15
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1091,1175,8,2
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,3326,5375,49,36
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-202,598,4,2
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,7856,5047,60,46
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,3436,6153,61,40
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4542,6168,55,42
4054,押忍!番長3,-607,1452,10,1
4055,押忍!番長3,-447,896,7,1
4056,押忍!番長3,-154,274,2,-
4057,押忍!番長3,236,680,10,1
4058,押忍!番長3,-177,119,-,-
4059,押忍!番長3,-443,519,2,-
4060,押忍!番長3,347,367,6,1
4061,押忍!番長3,-637,567,1,-
4062,押忍!番長3,-320,491,2,1
4063,押忍!番長3,-985,1703,9,-
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-113,95,-,-
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-47,114,-,-
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-299,375,2,2
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-779,529,1,-
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-101,68,-,-
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-152,83,-,-
