No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3649,2782,5,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3612,3155,6,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-14,3460,13,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,857,1485,4,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2272,5311,20,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4890,216,17,1
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-144,3309,22,1
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-4537,3083,5,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-89,577,4,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,16834,569,58,4
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-900,935,3,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,8882,1457,40,1
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,7277,1016,33,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,132,2192,15,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3158,2569,7,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-158,1621,11,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-6160,4098,7,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1306,2825,14,1
4019,魔法少女まどか☆ﾏｷﾞｶ,2610,6049,16,14
4020,魔法少女まどか☆ﾏｷﾞｶ,6680,6262,13,10
4021,魔法少女まどか☆ﾏｷﾞｶ,202,4879,11,7
4022,魔法少女まどか☆ﾏｷﾞｶ,15,1916,6,5
4023,魔法少女まどか☆ﾏｷﾞｶ,730,6425,22,8
4024,魔法少女まどか☆ﾏｷﾞｶ,-825,4071,11,14
4025,魔法少女まどか☆ﾏｷﾞｶ,-678,3134,9,5
4026,魔法少女まどか☆ﾏｷﾞｶ,-1340,2906,11,7
4027,魔法少女まどか☆ﾏｷﾞｶ,3186,5923,13,16
4028,魔法少女まどか☆ﾏｷﾞｶ,-2923,2690,6,3
4029,魔法少女まどか☆ﾏｷﾞｶ,-1387,4234,7,3
4030,SLOT魔法少女まどかﾏｷﾞｶ2,5067,6952,34,30
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-686,830,2,2
4032,SLOT魔法少女まどかﾏｷﾞｶ2,116,5640,19,18
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-1480,4179,11,10
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-1533,2254,4,3
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-127,4053,15,12
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-2284,2183,5,1
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-612,2401,6,12
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,1317,2763,45,9
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-1720,2267,18,10
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-351,2978,36,9
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-1507,2838,24,5
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-225,1999,22,4
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,3495,7463,66,40
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,484,5496,36,29
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1488,6219,43,22
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,2779,7775,77,48
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1178,7921,53,33
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,7848,8591,84,67
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,9144,8550,81,55
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,3397,6728,54,31
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,327,7338,58,34
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,116,5985,47,26
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2771,7040,41,21
4054,押忍!番長3,715,3530,41,6
4055,押忍!番長3,-1315,6203,43,12
4056,押忍!番長3,-839,4630,35,5
4057,押忍!番長3,-264,3631,33,5
4058,押忍!番長3,-2011,3782,22,3
4059,押忍!番長3,4633,4685,84,17
4060,押忍!番長3,-2192,2393,4,2
4061,押忍!番長3,-3685,4507,20,-
4062,押忍!番長3,-1588,3505,25,2
4063,押忍!番長3,-2959,3372,10,-
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-903,1555,6,4
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-1553,2266,7,7
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-2527,4271,16,15
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-306,2337,11,8
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1100,1671,9,3
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1365,2998,13,8
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,778,4258,21,24
4071,GI優駿倶楽部,-1266,1825,6,-
4072,GI優駿倶楽部,-861,1995,14,-
4073,GI優駿倶楽部,-576,961,2,-
4074,GI優駿倶楽部,-342,1164,12,-
4075,地獄少女 宵伽,267,553,2,-
4076,地獄少女 宵伽,764,1137,7,-
4077,地獄少女 宵伽,-248,325,1,-
4078,地獄少女 宵伽,-490,691,1,-
4079,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,1115,2504,40,3
4080,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,299,2045,23,2
4081,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-1257,1066,1,-
4082,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-72,4492,41,5
4083,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,8286,3070,87,-
4084,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-1800,1175,2,-
4085,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,4271,2610,53,-
4086,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,1235,3677,48,-
4087,ﾆｭｰﾊﾟﾙｻｰSPII,-1410,1818,2,5
4088,ﾆｭｰﾊﾟﾙｻｰSPII,187,2103,10,2
4089,ﾆｭｰﾊﾟﾙｻｰSPII,359,6325,23,18
4090,ﾆｭｰﾊﾟﾙｻｰSPII,-1497,2510,4,7
4091,ﾊﾞｰｻｽ,-101,3960,12,12
4092,ﾊﾞｰｻｽ,1405,816,7,2
4093,ﾊﾞｰｻｽ,6760,8459,42,31
4094,ﾊﾞｰｻｽ,-212,633,1,2
4095,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-517,640,1,1
4096,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,2190,1949,11,3
4097,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,360,776,4,-
4098,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,279,846,3,2
4099,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-732,481,1,-
4100,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-229,1639,8,4
4101,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-310,533,4,1
4102,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,2052,2521,8,25
4103,ｸﾚｱの秘宝伝 眠りの塔,201,3086,11,9
4104,ｸﾚｱの秘宝伝 眠りの塔,5298,7834,40,27
4105,ｸﾚｱの秘宝伝 眠りの塔,-74,2143,8,3
4106,押忍!番長A,182,1226,4,5
4107,押忍!番長A,-688,1290,3,3
4108,押忍!番長A,-648,952,2,2
4109,SLOT魔法少女まどかﾏｷﾞｶA,-363,406,1,-
4110,SLOT魔法少女まどかﾏｷﾞｶA,-16,3678,15,6
4111,SLOT魔法少女まどかﾏｷﾞｶA,-376,228,-,-
4112,ﾊﾅﾋﾞ,361,1517,6,2
4113,ﾊﾅﾋﾞ,1409,7021,26,19
4114,ﾊﾅﾋﾞ,-275,903,2,2
4115,ﾊﾅﾋﾞ,-1137,2584,6,5
4116,ﾊﾅﾋﾞ,-810,2110,6,3
4117,ﾊﾅﾋﾞ,434,4586,16,13
4118,ｴｳﾞｧﾝｹﾞﾘｵﾝ･ﾏｺﾞｺﾛを君に2,-943,2517,4,7
4119,ﾊﾟﾁｽﾛ 貞子vs伽椰子,-33,4101,14,9
4120,ﾊﾟﾁｽﾛ BLOOD+ 二人の女王,-1963,1792,1,2
4121,ﾊﾟﾁｽﾛ 織田信奈の野望,-1536,1719,8,3
4122,ﾊﾟﾁｽﾛ 討鬼伝,501,190,5,2
4123,ﾊﾟﾁｽﾛ ﾘﾝｸﾞ 終焉ﾉ刻,1106,2095,19,6
4124,盗忍!剛衛門,-615,585,-,-
4125,戦国乙女2,197,1031,9,5
4126,ﾊﾟﾁｽﾛ 呪怨,1114,1738,28,11
