No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2040,3231,14,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2658,1905,2,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1668,1406,3,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1680,1648,5,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-782,2557,9,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,395,858,7,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3052,2219,5,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3275,2378,5,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-836,2762,16,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1013,633,1,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2640,2545,8,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1769,1572,4,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,5599,1075,24,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,491,444,5,1
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1162,145,5,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,516,1074,9,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,379,745,6,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,6515,1687,32,-
4019,魔法少女まどか☆ﾏｷﾞｶ,11045,5471,20,8
4020,魔法少女まどか☆ﾏｷﾞｶ,-1903,4627,15,5
4021,魔法少女まどか☆ﾏｷﾞｶ,1294,1883,9,-
4022,魔法少女まどか☆ﾏｷﾞｶ,1095,3207,13,1
4023,魔法少女まどか☆ﾏｷﾞｶ,182,955,3,-
4024,魔法少女まどか☆ﾏｷﾞｶ,1847,3622,13,2
4025,魔法少女まどか☆ﾏｷﾞｶ,-1271,4965,6,12
4026,魔法少女まどか☆ﾏｷﾞｶ,-719,1501,2,3
4027,魔法少女まどか☆ﾏｷﾞｶ,-780,504,-,1
4028,魔法少女まどか☆ﾏｷﾞｶ,-1606,1628,3,4
4029,魔法少女まどか☆ﾏｷﾞｶ,2446,5028,14,11
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-140,95,-,-
4031,SLOT魔法少女まどかﾏｷﾞｶ2,1492,4371,16,16
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-57,31,-,-
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-740,611,1,-
4034,SLOT魔法少女まどかﾏｷﾞｶ2,678,1672,6,5
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-47,41,-,-
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-237,134,-,-
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-91,83,-,-
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,1919,265,19,2
4039,ﾊﾟﾁｽﾛ北斗　転生の章,4469,1356,48,5
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-1923,1302,3,2
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-759,1000,7,3
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-149,747,8,2
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,5051,8439,70,48
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-49,3818,27,18
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2642,6839,46,20
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-430,5543,39,33
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1307,4322,38,24
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1855,6189,45,29
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2010,2803,17,7
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2122,3332,20,6
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,515,7033,57,31
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-356,2956,19,10
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,411,7533,64,39
4054,押忍!番長3,540,3211,34,5
4055,押忍!番長3,-1892,2384,10,-
4056,押忍!番長3,-541,2422,15,4
4057,押忍!番長3,-86,531,4,-
4058,押忍!番長3,-932,1169,4,1
4059,押忍!番長3,1129,3426,52,4
4060,押忍!番長3,-317,1480,13,2
4061,押忍!番長3,174,3058,30,6
4062,押忍!番長3,-211,890,9,-
4063,押忍!番長3,-1,3201,31,2
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-512,2354,16,9
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,843,733,18,3
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,139,572,7,3
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-19,1353,4,10
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-59,962,3,7
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-790,671,1,-
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-899,593,1,-
4071,GI優駿倶楽部,-669,2300,21,-
4072,GI優駿倶楽部,42,188,3,-
4073,GI優駿倶楽部,-123,397,1,-
4074,GI優駿倶楽部,-582,562,1,-
4075,地獄少女 宵伽,-163,115,-,-
4076,地獄少女 宵伽,637,979,4,-
4077,地獄少女 宵伽,-280,1261,4,-
4078,地獄少女 宵伽,-722,498,-,-
4079,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-205,824,6,1
4080,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,4434,1016,54,1
4081,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-575,617,1,-
4082,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-376,408,-,-
4083,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-204,611,5,-
4084,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-376,861,8,-
4085,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,3096,986,28,-
4086,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-2124,1590,4,-
4087,ﾆｭｰﾊﾟﾙｻｰSPII,707,5728,24,13
4088,ﾆｭｰﾊﾟﾙｻｰSPII,-397,1892,5,7
4089,ﾆｭｰﾊﾟﾙｻｰSPII,2148,5098,25,11
4090,ﾆｭｰﾊﾟﾙｻｰSPII,-420,577,1,-
4091,ﾊﾞｰｻｽ,2369,7629,31,22
4092,ﾊﾞｰｻｽ,89,1330,4,4
4093,ﾊﾞｰｻｽ,-94,1327,5,3
4094,ﾊﾞｰｻｽ,-1262,5059,12,14
4095,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,4200,6579,30,19
4096,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,0,-,-,-
4097,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-40,28,-,-
4098,ﾊﾟﾁｽﾛ ｺｰﾄﾞｷﾞｱｽR2C.C.,-1163,1437,1,4
4099,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-282,159,-,-
4100,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,642,1400,11,4
4101,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,1419,2701,8,21
4102,ﾊﾟﾁｽﾛｴｳﾚｶｾﾌﾞﾝAO,-258,131,-,-
4103,ｸﾚｱの秘宝伝 眠りの塔,970,2198,11,4
4104,ｸﾚｱの秘宝伝 眠りの塔,923,778,5,2
4105,ｸﾚｱの秘宝伝 眠りの塔,-544,4969,13,18
4106,押忍!番長A,588,1949,9,5
4107,押忍!番長A,-710,1416,3,5
4108,押忍!番長A,532,2104,10,5
4109,SLOT魔法少女まどかﾏｷﾞｶA,197,2224,9,7
4110,SLOT魔法少女まどかﾏｷﾞｶA,-261,181,-,-
4111,SLOT魔法少女まどかﾏｷﾞｶA,-386,4817,13,21
4112,ﾊﾅﾋﾞ,-559,1484,4,2
4113,ﾊﾅﾋﾞ,-505,761,1,2
4114,ﾊﾅﾋﾞ,-708,1911,4,7
4115,ﾊﾅﾋﾞ,2984,6440,27,22
4116,ﾊﾅﾋﾞ,-261,269,-,1
4117,ﾊﾅﾋﾞ,-658,3120,10,6
4118,ｴｳﾞｧﾝｹﾞﾘｵﾝ･ﾏｺﾞｺﾛを君に2,-414,942,1,3
4119,ﾊﾟﾁｽﾛ 貞子vs伽椰子,-876,1709,3,6
4120,ﾊﾟﾁｽﾛ BLOOD+ 二人の女王,2422,2618,32,14
4121,ﾊﾟﾁｽﾛ 織田信奈の野望,0,-,-,-
4122,ﾊﾟﾁｽﾛ 討鬼伝,-138,61,-,-
