No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2921,2286,4,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1228,3375,14,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1627,530,7,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1745,1222,2,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3170,902,12,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,6833,1899,35,2
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1913,1063,1,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1123,1123,12,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2640,1563,2,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4458,765,20,1
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1989,1091,1,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2456,3181,14,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1831,1384,3,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1159,727,1,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1917,1895,19,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-247,114,-,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2880,2083,5,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-621,2558,15,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-1567,7541,17,9
4020,魔法少女まどか☆ﾏｷﾞｶ,-663,899,3,1
4021,魔法少女まどか☆ﾏｷﾞｶ,-601,3706,10,8
4022,魔法少女まどか☆ﾏｷﾞｶ,997,2044,7,6
4023,魔法少女まどか☆ﾏｷﾞｶ,-1738,2280,3,1
4024,魔法少女まどか☆ﾏｷﾞｶ,-1691,4670,7,13
4025,魔法少女まどか☆ﾏｷﾞｶ,-560,416,-,1
4026,魔法少女まどか☆ﾏｷﾞｶ,1988,1463,5,1
4027,魔法少女まどか☆ﾏｷﾞｶ,3901,3961,21,2
4028,魔法少女まどか☆ﾏｷﾞｶ,-80,31,-,-
4029,魔法少女まどか☆ﾏｷﾞｶ,503,4071,9,4
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-233,152,-,-
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-637,737,3,-
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-120,421,3,-
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-331,342,1,-
4034,SLOT魔法少女まどかﾏｷﾞｶ2,27,2733,11,10
