No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,952,2204,14,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3757,2337,11,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,6709,2888,26,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1076,2574,9,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2724,4078,17,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2803,3035,17,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,377,1506,11,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-456,1181,6,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,465,1632,13,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4530,1005,23,2
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,5320,990,25,2
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-4192,3388,8,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3367,3477,11,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1862,1600,5,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1117,1670,7,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1045,2727,21,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2830,2478,7,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2016,4563,23,-
4019,魔法少女まどか☆ﾏｷﾞｶ,2097,6606,14,19
4020,魔法少女まどか☆ﾏｷﾞｶ,7030,7222,25,13
4021,魔法少女まどか☆ﾏｷﾞｶ,2157,7469,20,19
4022,魔法少女まどか☆ﾏｷﾞｶ,-2619,4868,12,11
4023,魔法少女まどか☆ﾏｷﾞｶ,146,5015,12,8
4024,魔法少女まどか☆ﾏｷﾞｶ,13,5034,10,8
4025,魔法少女まどか☆ﾏｷﾞｶ,-647,3580,10,5
4026,魔法少女まどか☆ﾏｷﾞｶ,-1644,6018,22,14
4027,魔法少女まどか☆ﾏｷﾞｶ,1828,5085,14,9
4028,魔法少女まどか☆ﾏｷﾞｶ,-1570,3274,7,3
4029,魔法少女まどか☆ﾏｷﾞｶ,6357,6593,15,10
4030,魔法少女まどか☆ﾏｷﾞｶ,-1868,4465,5,7
4031,SLOT魔法少女まどかﾏｷﾞｶ2,113,4194,8,10
4032,SLOT魔法少女まどかﾏｷﾞｶ2,511,1362,5,6
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-545,669,3,1
4034,SLOT魔法少女まどかﾏｷﾞｶ2,306,7481,26,22
4035,SLOT魔法少女まどかﾏｷﾞｶ2,138,3086,14,9
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-517,2587,9,6
4037,ﾘﾉ,-348,2496,14,8
4038,ﾘﾉ,886,2240,19,6
4039,ﾊﾟﾁｽﾛ北斗　転生の章,1213,1528,27,5
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-2089,4367,42,11
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-1625,2240,17,6
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-1810,3914,37,10
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1560,4113,30,13
