No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-891,2748,13,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,847,1001,5,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1531,1845,6,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-753,530,1,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1981,1364,1,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2511,1621,2,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,10777,3513,27,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1490,2138,6,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1728,1425,7,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3522,1180,20,2
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2361,1393,2,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2813,3928,18,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1760,1637,6,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,341,1280,10,1
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-744,1741,9,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,10645,3109,56,4
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,4788,1258,25,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1423,2957,26,1
4019,魔法少女まどか☆ﾏｷﾞｶ,4769,3478,6,11
4020,魔法少女まどか☆ﾏｷﾞｶ,-381,226,-,-
4021,魔法少女まどか☆ﾏｷﾞｶ,4715,3810,11,10
4022,魔法少女まどか☆ﾏｷﾞｶ,331,2053,7,5
4023,魔法少女まどか☆ﾏｷﾞｶ,-754,600,1,2
4024,魔法少女まどか☆ﾏｷﾞｶ,207,1331,5,2
4025,魔法少女まどか☆ﾏｷﾞｶ,1818,5983,16,15
4026,魔法少女まどか☆ﾏｷﾞｶ,-608,383,-,1
