No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-482,695,2,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1033,1718,7,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-881,954,2,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-855,499,-,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-444,758,2,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3590,2293,18,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-136,75,-,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-357,179,-,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1727,3464,15,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-244,565,3,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1756,1075,1,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1127,560,-,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,147,2418,18,2
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,61,2162,13,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3955,2524,4,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1622,2956,15,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,858,1480,13,1
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-153,629,4,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-2022,2868,7,6
4020,魔法少女まどか☆ﾏｷﾞｶ,-378,284,1,-
4021,魔法少女まどか☆ﾏｷﾞｶ,1758,6481,20,11
4022,魔法少女まどか☆ﾏｷﾞｶ,582,5966,13,8
4023,魔法少女まどか☆ﾏｷﾞｶ,-435,253,-,-
4024,魔法少女まどか☆ﾏｷﾞｶ,-1094,711,1,-
4025,魔法少女まどか☆ﾏｷﾞｶ,1061,1628,9,4
4026,魔法少女まどか☆ﾏｷﾞｶ,1991,3074,8,7
4027,魔法少女まどか☆ﾏｷﾞｶ,203,1178,3,1
4028,魔法少女まどか☆ﾏｷﾞｶ,-534,738,-,2
4029,魔法少女まどか☆ﾏｷﾞｶ,2313,2719,9,2
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-398,616,1,2
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-257,306,1,1
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-184,429,1,2
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-162,109,-,-
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-138,65,-,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-307,577,3,1
4036,SLOT魔法少女まどかﾏｷﾞｶ2,74,1118,7,7
4037,ﾘﾉ,187,906,6,4
4038,ﾘﾉ,-373,228,-,-
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-801,1017,8,3
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-369,2384,27,7
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-2289,1947,10,4
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-1358,1298,7,3
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4654,7804,61,46
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1614,2851,14,8
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2303,4725,30,14
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1776,5156,52,32
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4706,5988,57,43
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4404,4876,45,37
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1175,2696,16,9
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1275,2470,14,6
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,2839,8026,65,41
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1152,2611,19,9
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2677,5410,35,14
4054,押忍!番長3,-1044,1438,5,1
4055,押忍!番長3,6785,889,75,11
4056,押忍!番長3,2473,1403,42,4
4057,押忍!番長3,359,412,8,-
4058,押忍!番長3,-1817,2948,17,1
4059,押忍!番長3,-23,62,-,-
4060,押忍!番長3,1301,2444,38,3
4061,押忍!番長3,-1070,1819,7,1
4062,押忍!番長3,-1179,1907,10,-
4063,押忍!番長3,-173,755,9,-
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-237,183,-,-
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,44,213,2,1
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-199,205,1,1
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-725,1051,1,4
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-939,881,2,-
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-51,1134,6,4
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-887,2768,11,9
4071,GI優駿倶楽部,-993,2836,18,-
4072,GI優駿倶楽部,0,-,-,-
4073,GI優駿倶楽部,0,-,-,-
4074,GI優駿倶楽部,-663,1879,16,-
4075,地獄少女 宵伽,-163,175,-,-
