No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-5253,4759,8,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2183,517,5,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-271,899,3,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2425,2220,3,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-848,1059,4,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3884,1814,14,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-176,536,2,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1339,804,1,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1209,978,2,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2808,4774,24,1
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-7,567,4,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,711,2782,23,2
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1038,752,1,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1089,2222,12,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2054,3274,14,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-404,547,2,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,2214,3661,33,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,733,1122,9,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-1006,2922,5,6
4020,魔法少女まどか☆ﾏｷﾞｶ,-424,263,1,-
4021,魔法少女まどか☆ﾏｷﾞｶ,9801,6981,22,10
4022,魔法少女まどか☆ﾏｷﾞｶ,-564,545,2,1
4023,魔法少女まどか☆ﾏｷﾞｶ,-1125,3466,16,5
4024,魔法少女まどか☆ﾏｷﾞｶ,-708,515,2,-
4025,魔法少女まどか☆ﾏｷﾞｶ,-696,1753,6,-
4026,魔法少女まどか☆ﾏｷﾞｶ,1757,5484,24,22
4027,魔法少女まどか☆ﾏｷﾞｶ,-984,864,2,1
4028,魔法少女まどか☆ﾏｷﾞｶ,3557,2555,5,6
4029,魔法少女まどか☆ﾏｷﾞｶ,-792,587,1,-
4030,SLOT魔法少女まどかﾏｷﾞｶ2,1979,557,8,9
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-451,376,1,1
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-669,943,4,1
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-283,285,1,-
4034,SLOT魔法少女まどかﾏｷﾞｶ2,3016,577,12,12
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-281,329,1,-
4036,SLOT魔法少女まどかﾏｷﾞｶ2,791,429,3,5
4037,ﾘﾉ,-1369,938,-,2
4038,ﾘﾉ,-1555,1294,2,3
4039,ﾊﾟﾁｽﾛ北斗　転生の章,843,187,8,1
4040,ﾊﾟﾁｽﾛ北斗　転生の章,132,145,3,1
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-459,273,-,-
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-155,184,2,1
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1217,7159,65,35
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,7167,7493,70,48
