No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1522,898,1,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2577,2118,4,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1098,2018,5,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,7080,1821,27,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-4048,5369,10,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1193,2059,7,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,392,1221,6,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-892,829,2,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2031,2765,18,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1695,1127,12,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2454,1725,3,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2058,1601,4,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1350,1732,6,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-422,195,-,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-789,850,3,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,62,628,5,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3738,743,18,2
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-888,1509,8,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-987,694,1,1
4020,魔法少女まどか☆ﾏｷﾞｶ,994,1419,4,3
4021,魔法少女まどか☆ﾏｷﾞｶ,1174,802,3,-
4022,魔法少女まどか☆ﾏｷﾞｶ,911,3405,10,8
4023,魔法少女まどか☆ﾏｷﾞｶ,-280,131,-,-
4024,魔法少女まどか☆ﾏｷﾞｶ,-84,844,4,1
4025,魔法少女まどか☆ﾏｷﾞｶ,5639,5389,13,11
4026,魔法少女まどか☆ﾏｷﾞｶ,-186,582,1,3
4027,魔法少女まどか☆ﾏｷﾞｶ,-242,216,-,1
4028,魔法少女まどか☆ﾏｷﾞｶ,-752,613,-,2
4029,魔法少女まどか☆ﾏｷﾞｶ,2555,4196,10,5
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-99,202,1,-
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-691,1071,2,3
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-479,596,1,1
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-789,1714,7,4
4034,SLOT魔法少女まどかﾏｷﾞｶ2,321,1012,1,3
4035,SLOT魔法少女まどかﾏｷﾞｶ2,207,374,1,1
4036,SLOT魔法少女まどかﾏｷﾞｶ2,1729,3995,18,19
4037,ﾘﾉ,-1048,1141,3,2
4038,ﾘﾉ,-514,295,-,-
4039,ﾊﾟﾁｽﾛ北斗　転生の章,1738,1975,39,8
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-446,262,-,-
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-1794,2093,12,4
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-2,422,5,2
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1744,2509,11,3
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-936,6051,46,24
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-899,3812,25,14
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1456,1390,9,1
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,807,6001,50,30
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1018,4357,28,21
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-403,3695,36,16
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-521,2975,18,10
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-222,4910,36,18
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1984,2269,18,2
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4210,8595,74,47
4054,押忍!番長3,3343,4443,74,8
4055,押忍!番長3,-1064,1094,2,-
4056,押忍!番長3,-1929,2231,3,-
4057,押忍!番長3,-933,1675,9,-
4058,押忍!番長3,-746,736,1,-
4059,押忍!番長3,-1279,1161,2,-
4060,押忍!番長3,-1899,2593,8,3
4061,押忍!番長3,3870,3093,68,9
4062,押忍!番長3,-180,512,3,1
4063,押忍!番長3,-148,1490,16,1
4064,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-104,96,-,-
4065,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-7,128,1,1
4066,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-421,1275,8,5
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-409,371,2,-
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-129,530,3,-
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1370,1315,1,4
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-29,13,-,-
4071,GI優駿倶楽部,-168,178,-,-
4072,GI優駿倶楽部,-162,782,5,-
4073,GI優駿倶楽部,-567,1897,14,-
4074,GI優駿倶楽部,-237,205,-,-
