No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-377,2402,7,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-871,980,1,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3329,3328,7,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-877,1102,3,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1335,993,1,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1150,1051,2,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3289,1138,4,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,498,1803,3,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1578,1680,3,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-516,1125,6,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1643,1120,2,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1004,602,1,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-804,1506,8,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-377,179,-,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-406,1661,10,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1030,640,1,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-472,1678,10,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2836,2749,9,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-1252,3955,9,10
4020,魔法少女まどか☆ﾏｷﾞｶ,-328,333,-,2
4021,魔法少女まどか☆ﾏｷﾞｶ,-789,735,2,1
4022,魔法少女まどか☆ﾏｷﾞｶ,-329,236,-,-
4023,魔法少女まどか☆ﾏｷﾞｶ,-160,109,-,-
4024,魔法少女まどか☆ﾏｷﾞｶ,-1670,2017,5,7
4025,魔法少女まどか☆ﾏｷﾞｶ,-1438,1007,1,1
4026,魔法少女まどか☆ﾏｷﾞｶ,-416,476,1,1
4027,魔法少女まどか☆ﾏｷﾞｶ,-679,536,-,1
4028,魔法少女まどか☆ﾏｷﾞｶ,-633,960,2,2
4029,魔法少女まどか☆ﾏｷﾞｶ,-281,475,1,2
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-744,3559,9,13
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-35,13,-,-
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-503,670,-,1
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-24,18,-,-
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-86,75,-,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,421,1328,5,7
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-1423,1696,5,3
4037,ﾘﾉ,-762,695,1,1
4038,ﾘﾉ,-417,370,1,-
4039,ﾊﾟﾁｽﾛ北斗　転生の章,1050,695,15,2
4040,ﾊﾟﾁｽﾛ北斗　転生の章,1386,774,19,3
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-1711,1673,10,3
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-33,1563,21,5
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1280,4793,37,21
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1259,4134,32,19
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-447,3888,36,18
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,267,1735,15,9
