No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1274,4732,16,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1562,3299,13,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3731,3858,8,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,418,3208,10,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2594,3392,9,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,299,2586,7,-
4007,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-4314,5689,15,-
4008,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1961,2218,13,-
4009,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-4229,5410,15,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-686,2010,12,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,165,4014,28,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-543,777,3,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1907,2886,14,1
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-4540,4424,14,1
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1067,1966,16,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-6059,4504,10,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2263,2049,6,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3257,4356,42,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-3058,3255,8,6
4020,魔法少女まどか☆ﾏｷﾞｶ,6260,6761,32,18
4021,魔法少女まどか☆ﾏｷﾞｶ,-2264,2270,4,4
4022,魔法少女まどか☆ﾏｷﾞｶ,-908,4718,16,7
4023,魔法少女まどか☆ﾏｷﾞｶ,-505,4749,14,19
4024,魔法少女まどか☆ﾏｷﾞｶ,-675,672,1,1
4025,魔法少女まどか☆ﾏｷﾞｶ,-1493,1443,2,2
4026,魔法少女まどか☆ﾏｷﾞｶ,1455,3731,12,4
4027,魔法少女まどか☆ﾏｷﾞｶ,2411,5171,12,14
4028,魔法少女まどか☆ﾏｷﾞｶ,2894,5692,17,7
4029,魔法少女まどか☆ﾏｷﾞｶ,2979,4154,9,9
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-366,342,1,-
4031,SLOT魔法少女まどかﾏｷﾞｶ2,1405,3166,17,12
4032,SLOT魔法少女まどかﾏｷﾞｶ2,1075,2022,10,5
4033,SLOT魔法少女まどかﾏｷﾞｶ2,95,1272,7,5
4034,SLOT魔法少女まどかﾏｷﾞｶ2,425,1648,12,8
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-718,690,2,-
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-960,2951,13,10
4037,ﾘﾉ,3247,3825,35,31
4038,ﾘﾉ,-215,2123,13,7
4039,ﾊﾟﾁｽﾛ北斗　転生の章,1810,3041,53,12
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-1036,2137,18,4
