No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2186,3184,8,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1416,3010,12,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-324,489,2,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3602,2025,14,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3666,4827,11,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1877,1566,2,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1767,4852,29,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-534,700,3,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3118,2139,4,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2506,2407,9,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1350,2350,13,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1460,1216,4,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,2982,2401,26,1
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2741,2329,7,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,738,1256,12,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1216,1434,5,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1057,1859,10,1
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,251,2595,20,-
4019,魔法少女まどか☆ﾏｷﾞｶ,2202,7149,24,14
4020,魔法少女まどか☆ﾏｷﾞｶ,58,5252,11,10
4021,魔法少女まどか☆ﾏｷﾞｶ,-1279,2226,7,4
4022,魔法少女まどか☆ﾏｷﾞｶ,-2212,2469,6,3
4023,魔法少女まどか☆ﾏｷﾞｶ,-370,3920,12,6
4024,魔法少女まどか☆ﾏｷﾞｶ,1283,4691,14,10
4025,魔法少女まどか☆ﾏｷﾞｶ,-1192,1778,5,1
4026,魔法少女まどか☆ﾏｷﾞｶ,-961,2057,5,4
4027,魔法少女まどか☆ﾏｷﾞｶ,1646,4527,11,10
4028,魔法少女まどか☆ﾏｷﾞｶ,2448,6273,26,11
4029,魔法少女まどか☆ﾏｷﾞｶ,6514,8517,25,16
4030,魔法少女まどか☆ﾏｷﾞｶ,-282,4231,10,2
4031,SLOT魔法少女まどかﾏｷﾞｶ2,1354,2902,16,10
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-88,58,-,-
4033,SLOT魔法少女まどかﾏｷﾞｶ2,377,945,3,3
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-273,1052,4,2
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-203,239,-,1
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-926,700,-,1
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-289,376,-,1
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,660,911,11,7
4039,ﾊﾟﾁｽﾛ北斗　転生の章,4383,2331,56,5
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-2256,2447,14,4
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-1041,708,1,1
4042,ﾊﾟﾁｽﾛ北斗　転生の章,795,1170,22,5
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1066,2677,18,6
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,6867,6777,53,43
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,335,5657,40,19
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1679,7645,45,24
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1696,1959,10,3
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,5503,7911,76,56
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-958,1584,11,3
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1331,4581,38,17
