No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3920,4315,7,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2612,2326,5,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1820,2933,11,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-3589,4175,12,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1518,3266,10,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,1329,3640,13,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1475,3124,24,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1845,1191,2,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3279,1902,2,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1010,673,1,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,11247,1601,48,2
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3720,1669,26,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3487,1293,19,2
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1960,1224,15,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,197,1714,12,1
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3065,2205,5,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,513,1858,14,2
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,6068,3444,42,2
4019,魔法少女まどか☆ﾏｷﾞｶ,-1517,4411,16,7
4020,魔法少女まどか☆ﾏｷﾞｶ,2606,4488,10,8
4021,魔法少女まどか☆ﾏｷﾞｶ,-1219,2198,6,2
4022,魔法少女まどか☆ﾏｷﾞｶ,3541,4465,17,10
4023,魔法少女まどか☆ﾏｷﾞｶ,-1576,2931,7,3
4024,魔法少女まどか☆ﾏｷﾞｶ,-890,734,2,-
4025,魔法少女まどか☆ﾏｷﾞｶ,9566,5997,19,8
4026,魔法少女まどか☆ﾏｷﾞｶ,376,2276,5,2
4027,魔法少女まどか☆ﾏｷﾞｶ,1863,4198,15,12
4028,魔法少女まどか☆ﾏｷﾞｶ,-2984,2533,4,4
4029,魔法少女まどか☆ﾏｷﾞｶ,-2618,4846,3,10
4030,魔法少女まどか☆ﾏｷﾞｶ,-1787,3549,9,8
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-1282,3511,13,10
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-835,941,2,1
4033,SLOT魔法少女まどかﾏｷﾞｶ2,-1102,761,-,1
4034,SLOT魔法少女まどかﾏｷﾞｶ2,2151,4732,16,12
4035,SLOT魔法少女まどかﾏｷﾞｶ2,2333,5953,29,27
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-940,3110,8,5
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-424,1070,11,3
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,271,1342,15,7
4039,ﾊﾟﾁｽﾛ北斗　転生の章,733,2073,31,5
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-4035,4699,28,8
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-999,2386,22,7
4042,ﾊﾟﾁｽﾛ北斗　転生の章,1702,3816,57,7
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1321,7547,66,39
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-213,6978,61,30
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1158,7522,52,27
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,4669,7883,58,42
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-4166,6051,34,14
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-866,7743,57,25
