No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-4119,4742,10,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-167,2509,12,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1859,3675,10,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2499,3345,26,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,3935,3815,27,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,504,1871,14,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1491,1214,13,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1577,1171,3,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-917,1467,7,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3254,1935,3,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2233,2268,8,1
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1408,1373,4,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1609,560,9,1
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1898,1583,17,1
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1915,1417,4,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-469,598,2,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3288,3551,35,2
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,1815,2656,25,1
4019,魔法少女まどか☆ﾏｷﾞｶ,-393,4893,11,7
4020,魔法少女まどか☆ﾏｷﾞｶ,1151,5831,26,10
4021,魔法少女まどか☆ﾏｷﾞｶ,361,3558,15,5
4022,魔法少女まどか☆ﾏｷﾞｶ,420,5440,18,13
4023,魔法少女まどか☆ﾏｷﾞｶ,1889,4592,6,9
4024,魔法少女まどか☆ﾏｷﾞｶ,433,5135,14,8
4025,魔法少女まどか☆ﾏｷﾞｶ,-274,291,1,-
4026,魔法少女まどか☆ﾏｷﾞｶ,-2750,3983,11,10
4027,魔法少女まどか☆ﾏｷﾞｶ,273,2483,6,5
