No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2104,1245,1,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2453,2244,6,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2039,1862,5,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-1313,1001,1,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-693,1814,7,-
4006,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-820,2070,11,-
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-139,66,-,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-221,94,-,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,197,408,3,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-920,976,4,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-181,106,-,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1871,1052,1,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-179,93,-,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1042,2061,11,-
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-187,104,-,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,314,352,3,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1365,1538,5,-
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1789,1089,2,-
4019,魔法少女まどか☆ﾏｷﾞｶ,-467,3322,8,4
4020,魔法少女まどか☆ﾏｷﾞｶ,-2093,3573,10,7
4021,魔法少女まどか☆ﾏｷﾞｶ,145,2544,6,3
4022,魔法少女まどか☆ﾏｷﾞｶ,-338,3318,10,4
4023,魔法少女まどか☆ﾏｷﾞｶ,1548,3440,9,10
4024,魔法少女まどか☆ﾏｷﾞｶ,4836,3735,11,5
4025,魔法少女まどか☆ﾏｷﾞｶ,-1319,2966,6,5
4026,魔法少女まどか☆ﾏｷﾞｶ,-1277,2542,6,4
4027,魔法少女まどか☆ﾏｷﾞｶ,4269,3732,12,7
4028,魔法少女まどか☆ﾏｷﾞｶ,-562,3304,15,3
4029,魔法少女まどか☆ﾏｷﾞｶ,4383,3682,10,11
4030,魔法少女まどか☆ﾏｷﾞｶ,-43,3710,9,7
4031,SLOT魔法少女まどかﾏｷﾞｶ2,-972,949,2,2
4032,SLOT魔法少女まどかﾏｷﾞｶ2,514,2910,9,10
4033,SLOT魔法少女まどかﾏｷﾞｶ2,113,2718,12,13
4034,SLOT魔法少女まどかﾏｷﾞｶ2,900,1987,10,8
4035,SLOT魔法少女まどかﾏｷﾞｶ2,364,2232,6,9
4036,SLOT魔法少女まどかﾏｷﾞｶ2,-2592,3714,17,3
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-478,998,2,4
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-36,151,-,1
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-1963,1663,8,3
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-76,1289,16,3
4041,ﾊﾟﾁｽﾛ北斗　転生の章,-859,805,4,2
4042,ﾊﾟﾁｽﾛ北斗　転生の章,-21,12,-,-
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1060,2142,16,6
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-705,475,1,-
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,569,2048,16,8
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-450,3082,22,8
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-144,495,3,2
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1478,3380,25,18
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,2300,2242,22,19
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-511,535,4,1
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-964,1103,9,2
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1396,4024,22,14
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-259,3272,21,13
4054,押忍!番長3,-612,734,2,-
4055,押忍!番長3,-263,1039,9,2
4056,押忍!番長3,-338,263,-,-
4057,押忍!番長3,-1300,1945,11,2
4058,押忍!番長3,3458,594,42,3
4059,押忍!番長3,-90,69,-,-
4060,押忍!番長3,-237,148,-,-
