No,lotName,Payout,Rotation,Big,Reg
4001,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2216,2931,7,-
4002,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-252,146,-,-
4003,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,2618,1850,10,-
4004,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,7344,684,19,-
4005,ｱﾅｻﾞｰｺﾞｯﾄﾞﾊｰﾃﾞｽ-奪われた,-2148,1782,1,-
4006,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-594,3214,19,1
4007,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1798,1395,4,-
4008,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,854,1566,15,-
4009,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2109,4296,22,-
4010,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-2224,1741,5,-
4011,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1844,1406,3,-
4012,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3969,2180,2,-
4013,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1367,1013,2,-
4014,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,3483,2349,28,3
4015,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-602,390,1,-
4016,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-1396,1489,5,-
4017,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,2188,1710,18,1
4018,ﾐﾘｵﾝｺﾞｯﾄﾞ~神々の凱旋~,-3053,3132,11,-
4019,魔法少女まどか☆ﾏｷﾞｶ,428,5744,20,11
4020,魔法少女まどか☆ﾏｷﾞｶ,-1462,1398,3,2
4021,魔法少女まどか☆ﾏｷﾞｶ,1007,6266,19,10
4022,魔法少女まどか☆ﾏｷﾞｶ,-2298,6349,12,11
4023,魔法少女まどか☆ﾏｷﾞｶ,1492,5898,16,9
4024,魔法少女まどか☆ﾏｷﾞｶ,-1072,2046,5,4
4025,魔法少女まどか☆ﾏｷﾞｶ,-302,2710,8,2
4026,魔法少女まどか☆ﾏｷﾞｶ,581,2416,8,1
4027,魔法少女まどか☆ﾏｷﾞｶ,1019,1262,7,1
4028,魔法少女まどか☆ﾏｷﾞｶ,-327,1157,1,2
4029,魔法少女まどか☆ﾏｷﾞｶ,-389,1466,3,3
4030,SLOT魔法少女まどかﾏｷﾞｶ2,-1167,2679,10,5
4031,SLOT魔法少女まどかﾏｷﾞｶ2,1218,6782,23,22
4032,SLOT魔法少女まどかﾏｷﾞｶ2,-1032,1288,3,2
4033,SLOT魔法少女まどかﾏｷﾞｶ2,1207,3956,15,12
4034,SLOT魔法少女まどかﾏｷﾞｶ2,-701,651,2,-
4035,SLOT魔法少女まどかﾏｷﾞｶ2,-1210,6664,20,18
4036,花の慶次~天を穿つ戦槍~,375,120,5,1
4037,ﾊﾟﾁｽﾛ 北斗 新伝説創造,-1627,1763,3,3
4038,ﾊﾟﾁｽﾛ 北斗 新伝説創造,2240,1116,39,3
4039,ﾊﾟﾁｽﾛ北斗　転生の章,-2592,2890,17,4
4040,ﾊﾟﾁｽﾛ北斗　転生の章,-4560,5937,43,13
4041,ﾊﾟﾁｽﾛ北斗　転生の章,214,1410,19,4
4042,ﾊﾟﾁｽﾛ北斗　転生の章,2202,1426,33,6
4043,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1413,2072,14,6
4044,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,3059,7623,73,40
4045,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1066,7197,55,28
4046,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,253,3395,29,19
4047,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1195,2778,14,7
4048,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-1617,3757,28,11
4049,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,1075,5772,38,23
4050,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-87,4134,33,19
4051,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-338,4143,34,16
4052,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,-2609,6576,42,23
4053,ﾊﾞｼﾞﾘｽｸ 甲賀忍法帖 絆,2864,5530,49,30
4054,押忍!番長3,-1350,1521,5,-
4055,押忍!番長3,-809,4164,29,7
4056,押忍!番長3,-909,999,1,-
4057,押忍!番長3,-16,998,11,1
4058,押忍!番長3,-221,506,4,-
4059,押忍!番長3,4528,2839,68,11
4060,押忍!番長3,-136,94,-,-
4061,押忍!番長3,-1314,2015,9,-
4062,押忍!番長3,-1160,1717,6,-
4063,地獄少女 宵伽,-180,824,3,-
4064,地獄少女 宵伽,-328,218,-,-
4065,地獄少女 宵伽,-1000,908,2,-
4066,地獄少女 宵伽,-567,725,1,-
4067,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,135,885,5,3
4068,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-1736,1191,-,1
4069,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-231,140,-,-
4070,ｺｰﾄﾞｷﾞｱｽR2反逆のﾙﾙｰｼｭ,-281,2338,14,8
4071,GI優駿倶楽部,-24,10,-,-
4072,GI優駿倶楽部,-15,10,-,-
4073,GI優駿倶楽部,-519,866,7,-
4074,GI優駿倶楽部,-204,120,-,-
4075,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-152,335,1,1
4076,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-199,242,1,1
4077,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-192,333,1,1
4078,ﾊﾟﾁｽﾛ 笑ｩせぇるすまん3,-148,100,-,-
4079,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-174,2014,18,3
4080,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-1774,1792,3,-
4081,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,3884,1573,53,4
4082,ﾊﾟﾁｽﾛ 聖闘士星矢海皇覚醒,-631,662,1,-
4083,ﾊﾟﾁｽﾛﾓﾝｽﾀｰﾊﾝﾀｰ月下雷鳴,-36,20,-,-
