lotno,payout,rotation
4001,-425,4229
4002,-996,5899
4003,-2896,3988
4004,2893,6913
4005,3048,5841
4006,-3278,4865
4007,-2742,4928
4008,-2193,8776
4009,8368,9465
4010,1608,8094
4011,5529,8973
4012,262,7042
4013,3443,9083
4014,-296,7601
4015,6649,7508
4016,3378,8814
4017,6281,8848
4018,-3918,6662
4019,-153,5698
4020,-807,5577
4021,-3027,6564
4022,4976,5620
4023,-1573,5196
4024,5192,2883
4025,-804,6728
4026,1328,4781
4027,-3716,6457
4028,-929,3202
4029,-975,3079
4030,4523,3303
4031,1485,4818
4032,197,6356
4033,987,5817
4034,2607,5021
4035,2691,4855
4036,-2435,6619
4037,3868,5470
4038,-290,4319
4039,-1771,6598
4040,-1602,5345
4041,-4963,5005
4042,-1673,2597
4043,-817,3473
4044,-341,2972
4045,6174,4695
4046,-2297,5566
4047,2611,5879
4048,1795,5002
4049,1189,4830
4050,605,5531
4051,1930,4825
4052,-2656,5572
4053,6546,4282
4054,3467,5662
4055,7104,7312
4056,431,7293
4057,-302,6382
4058,983,6887
4059,188,4191
4060,-487,5223
4061,-3287,5290
4062,-3550,6375
4063,-3722,7403
4064,-1319,4598
4065,-564,8008
4066,-2590,4413
4067,-3773,2979
4068,-231,3898
4069,-382,3649
4070,-2779,5737
4071,2564,8330
4072,-2113,3609
4073,722,5922
4074,-2788,3657
4075,5163,5835
4076,7740,7950
4077,2513,3367
4078,198,2223
4079,-38,2824
4080,-792,6539
4081,6484,7927
4082,-548,7636
4083,-1637,7015
4084,2982,8550
4085,3850,7090
4086,435,6751
4087,-6065,4304
4088,-4437,4033
4089,-2537,2405
4090,2417,4261
4091,-1903,3559
4092,1693,4052
4093,6207,3775
4094,340,2988
4095,-2568,3956
4096,-3187,4426
4097,7442,3931
4098,-3548,5048
4099,-3851,4399
4100,-3311,4147
4101,-4544,2954
4102,-386,3693
4103,-3130,3783
4104,4871,2365
4105,6340,3608
4106,-2339,4448
4107,-1403,3728
4108,-1055,3184
4109,-1413,3805
4110,-526,2094
4111,-1867,3728
4112,1662,2560
4113,-3224,3495
4114,-3196,4006
4115,1020,4050
4116,-450,3519
4117,-2855,4043
4118,153,4612
4119,3826,4468
4120,3374,5207
4121,-3400,3910
4122,3996,2535
4123,-600,2997
4124,313,3412
4125,-3239,2749
4126,-860,2859
4127,-797,3876
4128,-4624,4645
4129,-2489,4718
4130,-3281,3292
4131,-2504,5832
4132,-1218,4294
4133,-2484,3975
4134,4861,6853
4135,-989,4595
4136,-2438,6018
4137,1952,6375
4138,3167,2722
4139,-1477,1924
4140,-1547,3714
4141,1223,4016
4142,-828,2869
4143,-2065,4981
4144,2036,2973
4145,-614,2989
4146,-828,2436
4147,-3266,3874
4148,-3350,6491
4149,678,6964
4150,2407,9045
4151,2731,4824
4152,962,6519
4153,-16,4477
4154,-1110,3666
4155,-1458,5821
4156,-1630,2357
4157,2868,7160
4158,-475,4895
4159,-367,5920
4160,255,6863
4161,1531,6554
4162,-910,3410
4163,-2451,4666
4164,-1122,2691
4165,-1571,3545
4166,-2712,4403
4167,-194,4002
4168,-714,4321
4169,3014,8257
4170,999,4618
4171,286,6763
4172,-703,5993
4173,1567,4816
4174,-1738,3650
4175,131,6892
4176,4570,7416
4177,212,5474
4178,-1168,3967
4179,473,5561
4180,848,6728
4181,1325,7621
4182,-1511,2542
4183,-818,3116
4184,2776,8102
4185,-398,2567
4186,-41,5534
4187,0,-
4188,-1620,4735
4189,-949,7622
4190,110,3588
4191,2656,6173
4192,-1741,3404
4193,-1248,3693
4194,2418,6878
4195,-265,2505
4196,-160,4992
4197,-416,5187
4198,-1135,5008
4199,970,5587
4200,-443,4576
4201,-580,6430
4202,-2339,6255
4203,-619,7335
4204,-1588,3566
4205,-554,5319
4206,1261,7629
4207,406,5752
4208,-722,7294
4209,-792,6849
4210,-1994,2869
4211,-2025,5400
4212,2,6806
4213,-905,5866
4214,-2134,4030
4215,-630,6637
4216,-698,5418
4217,-999,6733
4218,-282,3757
4219,-446,5913
4220,-1485,6188
4221,-2220,2997
4222,-402,3788
4223,-301,6913
4224,3990,3769
4225,318,4315
4226,2387,3539
4227,-3854,3887
4228,3970,4478
4229,7091,2870
4230,1478,5017
4231,-1692,4664
4232,-1803,4371
4233,-3254,4776
4234,-2423,5421
4235,2749,2731
4236,-119,5623
4237,-2225,4245
4238,-2937,5151
4239,-708,3558
4240,2851,4467
4241,705,3762
4242,1441,3441
4243,-2248,3693
4244,7106,3976
4245,7105,4324
4246,4014,4593
4247,2615,2564
4248,1639,3350
4249,-231,3671
4250,6296,3810
4251,6041,3416
4252,-2090,5555
4253,472,7756
4254,-635,2973
4255,-418,5221
4256,-338,6134
4257,-1872,6879
4258,-1527,4800
4259,-380,4775
4260,-210,5141
4261,684,7674
4262,-2513,4377
4263,2770,8399
4264,-171,7130
4265,2103,8787
4266,-1415,5882
total,32131,1333524
