lotno,payout,rotation
4001,-4381,6438
4002,-388,1639
4003,-2022,4299
4004,1052,2654
4005,-1737,2012
4006,-2098,1729
4007,3007,5407
4008,-2847,6248
4009,-2582,5621
4010,3773,8297
4011,3215,8525
4012,-663,8011
4013,464,7723
4014,306,6702
4015,-3766,7178
4016,-577,6538
4017,-4241,8722
4018,-3894,5823
4019,303,5600
4020,11334,4051
4021,-2811,4649
4022,-1915,5873
4023,4333,4130
4024,4256,4269
4025,-128,5808
4026,3110,4425
4027,2881,5085
4028,2292,4052
4029,-1586,2330
4030,58,3280
4031,-1200,1466
4032,141,5698
4033,-1910,2875
4034,-1972,4961
4035,1399,4936
4036,838,6048
4037,4321,2328
4038,1143,4032
4039,-521,3942
4040,-982,4209
4041,1550,2857
4042,127,3182
4043,-484,3719
4044,-5849,6376
4045,1845,5171
4046,-2206,5946
4047,0,-
4048,-2489,4790
4049,-1004,5206
4050,-1118,5645
4051,-3503,6311
4052,3324,4658
4053,3991,4587
4054,1072,6264
4055,-1230,1347
4056,-2425,4567
4057,1414,3169
4058,-2077,1945
4059,-520,4822
4060,-364,2234
4061,-796,2572
4062,-3526,5743
4063,-1447,1727
4064,743,7979
4065,441,1350
4066,1604,5000
4067,-1376,1965
4068,-1539,2579
4069,-1035,1459
4070,-310,3201
4071,-1691,5358
4072,-596,5807
4073,-360,4387
4074,-546,3974
4075,3753,4800
4076,1655,3499
4077,707,2532
4078,373,1721
4079,2674,1795
4080,1018,3739
4081,-110,4093
4082,6799,5137
4083,462,5765
4084,-1079,1033
4085,701,4106
4086,-671,6924
4087,-3738,3415
4088,-1899,1183
4089,3033,1101
4090,-1207,4395
4091,9,1804
4092,-2756,4031
4093,-3020,1900
4094,881,2789
4095,-512,972
4096,-1896,2743
4097,-471,699
4098,-534,2513
4099,-132,1316
4100,-3941,2632
4101,-1204,981
4102,-1583,3417
4103,14567,1158
4104,6931,553
4105,2611,632
4106,654,3868
4107,-4286,4305
4108,-1846,3119
4109,-1851,1232
4110,6413,2407
4111,-1903,2452
4112,266,2357
4113,2078,2248
4114,-1206,3213
4115,2326,4612
4116,-3545,2634
4117,-3000,2992
4118,-2163,5840
4119,2606,5171
4120,-1414,1181
4121,132,4110
4122,-1766,1842
4123,931,3316
4124,247,2324
4125,5501,4181
4126,-3355,4718
4127,-2322,3412
4128,-1013,942
4129,-1601,3479
4130,-1901,2204
4131,-419,1613
4132,-2024,3628
4133,-87,3286
4134,-2277,5104
4135,-1296,4200
4136,-181,5624
4137,-654,1672
4138,-2056,2626
4139,1224,2094
4140,-2886,5137
4141,-2138,2768
4142,-741,1796
4143,-515,2397
4144,-1241,2428
4145,-2063,2965
4146,-1407,3591
4147,1189,3441
4148,1606,4937
4149,384,4744
4150,138,6040
4151,236,3021
4152,2864,6600
4153,-1136,1480
4154,4308,7519
4155,-2196,3347
4156,72,7911
4157,-567,3137
4158,199,3245
4159,-161,1462
4160,-765,6511
4161,869,2299
4162,-1039,3461
4163,-425,5399
4164,1772,4550
4165,-1449,7054
4166,-723,2499
4167,-515,4334
4168,-1491,2508
4169,-258,1962
4170,420,4654
4171,-1914,3136
4172,-1193,3705
4173,-731,2548
4174,3034,9567
4175,-1290,3976
4176,368,7324
4177,-680,6043
4178,-1534,3588
4179,-1432,3748
4180,-2238,3408
4181,-533,5081
4182,-1763,2744
4183,-104,1461
4184,1361,8399
4185,-630,1105
4186,69,5358
4187,-120,2490
4188,-882,5126
4189,-1584,4925
4190,1096,6037
4191,708,5359
4192,-226,4161
4193,-919,6095
4194,457,4700
4195,-637,2821
4196,-431,5155
4197,635,7102
4198,549,3309
4199,2087,6259
4200,1359,6117
4201,-478,7961
4202,974,6432
4203,1473,4464
4204,96,6948
4205,-633,3580
4206,-597,3758
4207,-526,3494
4208,-1284,6281
4209,-1548,2082
4210,-856,5739
4211,-597,866
4212,-670,5847
4213,-370,8379
4214,526,3497
4215,-456,1605
4216,5238,6671
4217,-921,1779
4218,-1304,2893
4219,-1662,2012
4220,2193,6683
4221,-1589,1850
4222,-659,4956
4223,-1524,5474
4224,-3866,3792
4225,-7142,6373
4226,-1523,4125
4227,6322,3531
4228,922,5373
4229,2438,3820
4230,-69,4238
4231,-1699,4494
4232,-7337,5308
4233,-1515,4244
4234,-601,3676
4235,-455,4244
4236,283,4438
4237,-2093,3639
4238,-1539,4331
4239,1909,3130
4240,5367,3625
4241,-1493,3699
4242,1474,4097
4243,-4256,3817
4244,214,3460
4245,-4670,5640
4246,4719,3395
4247,-3094,3360
4248,4218,4178
4249,5805,1385
4250,3150,4127
4251,1011,4583
4252,22,5009
4253,258,3681
4254,-2041,3315
4255,-375,1511
4256,1590,5198
4257,-90,2363
4258,-1007,5602
4259,-570,995
4260,1006,6088
4261,2615,6665
4262,560,4845
4263,-537,4227
4264,1625,5204
4265,-1012,4105
4266,2056,5845
total,-32113,1070964
